Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,2629,50.0%,347,48.8%,494,50.1%,132,52.2%,1629,49.9%,126,57.5%,24,64.9%,1,975,47.7%
Female,2633,50.0%,364,51.2%,493,49.9%,121,47.8%,1637,50.1%,93,42.5%,13,35.1%,2,1069,52.3%
Unknown Sex,1,0.0%,0,0.0%,0,0.0%,0,0.0%,1,0.0%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,251,4.8%,13,1.8%,65,6.6%,8,3.2%,165,5.1%,1,0.5%,0,0.0%,4,96,4.7%
10-19 Years,559,10.6%,52,7.3%,92,9.3%,36,14.2%,368,11.3%,1,0.5%,0,0.0%,5,223,10.9%
20-29 Years,1252,23.8%,186,26.2%,255,25.8%,44,17.4%,756,23.1%,14,6.4%,0,0.0%,6,520,25.4%
30-39 Years,970,18.4%,142,20.0%,180,18.2%,48,19.0%,592,18.1%,20,9.1%,2,5.4%,7,401,19.6%
40-49 Years,734,13.9%,118,16.6%,111,11.2%,40,15.8%,456,14.0%,27,12.3%,2,5.4%,8,271,13.3%
50-59 Years,691,13.1%,85,12.0%,138,14.0%,35,13.8%,432,13.2%,40,18.3%,4,10.8%,9,256,12.5%
60-69 Years,484,9.2%,71,10.0%,84,8.5%,26,10.3%,300,9.2%,42,19.2%,5,13.5%,10,179,8.8%
70-79 Years,229,4.4%,34,4.8%,37,3.7%,15,5.9%,143,4.4%,47,21.5%,15,40.5%,11,75,3.7%
80+ Years,93,1.8%,10,1.4%,25,2.5%,1,0.4%,55,1.7%,27,12.3%,9,24.3%,12,23,1.1%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,265,5.0%,55,7.7%,91,9.2%,26,10.3%,90,2.8%,13,5.9%,0,0.0%,14,149,7.3%
Non-Hispanic,1941,36.9%,525,73.8%,646,65.5%,176,69.6%,575,17.6%,168,76.7%,36,97.3%,15,1169,57.2%
UI Ethnicity,2602,49.4%,0,0.0%,0,0.0%,0,0.0%,2602,79.6%,27,12.3%,0,0.0%,16,456,22.3%
Unknown Ethnicity,455,8.6%,131,18.4%,250,25.3%,51,20.2%,0,0.0%,11,5.0%,1,2.7%,17,270,13.2%
White,1213,23.0%,310,43.6%,402,40.7%,164,64.8%,331,10.1%,70,32.0%,15,40.5%,18,772,37.8%
Black,175,3.3%,42,5.9%,50,5.1%,15,5.9%,65,2.0%,6,2.7%,0,0.0%,19,85,4.2%
AI/AN,820,15.6%,156,21.9%,163,16.5%,12,4.7%,479,14.7%,53,24.2%,13,35.1%,20,292,14.3%
Asian,127,2.4%,26,3.7%,50,5.1%,8,3.2%,42,1.3%,12,5.5%,3,8.1%,21,80,3.9%
NHOPI,214,4.1%,48,6.8%,67,6.8%,2,0.8%,96,2.9%,42,19.2%,5,13.5%,22,104,5.1%
Multiple,168,3.2%,28,3.9%,35,3.5%,10,4.0%,93,2.8%,4,1.8%,0,0.0%,23,67,3.3%
Other,147,2.8%,15,2.1%,29,2.9%,10,4.0%,92,2.8%,7,3.2%,0,0.0%,24,56,2.7%
UI Race,2069,39.3%,0,0.0%,0,0.0%,0,0.0%,2069,63.3%,16,7.3%,0,0.0%,25,389,19.0%
Unknown Race,330,6.3%,86,12.1%,191,19.4%,32,12.6%,0,0.0%,9,4.1%,1,2.7%,26,199,9.7%
