ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,1268,48.4%,215,49.3%,302,48.7%,100,54.3%,639,47.0%,60.3%,52.4%,70,11,408,49.9%
2,Female,1354,51.6%,221,50.7%,318,51.3%,84,45.7%,720,53.0%,39.7%,47.6%,46,10,409,50.1%
3,Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,125,4.8%,8,1.8%,41,6.6%,3,1.6%,73,5.4%,0.0%,0.0%,0,0,34,4.2%
5,10-19 Years,255,9.7%,35,8.0%,47,7.6%,19,10.3%,149,11.0%,0.9%,0.0%,1,0,69,8.4%
6,20-29 Years,635,24.2%,113,25.9%,147,23.7%,28,15.2%,340,25.0%,7.8%,0.0%,9,0,181,22.2%
7,30-39 Years,504,19.2%,88,20.2%,119,19.2%,37,20.1%,256,18.8%,12.1%,9.5%,14,2,166,20.3%
8,40-49 Years,357,13.6%,71,16.3%,75,12.1%,34,18.5%,174,12.8%,6.9%,0.0%,8,0,122,14.9%
9,50-59 Years,340,13.0%,56,12.8%,101,16.3%,25,13.6%,157,11.6%,20.7%,9.5%,24,2,117,14.3%
10,60-69 Years,251,9.6%,38,8.7%,59,9.5%,23,12.5%,129,9.5%,19.0%,14.3%,22,3,86,10.5%
11,70-79 Years,115,4.4%,21,4.8%,21,3.4%,14,7.6%,59,4.3%,23.3%,47.6%,27,10,35,4.3%
12,80+ Years,40,1.5%,6,1.4%,10,1.6%,1,0.5%,22,1.6%,9.5%,19.0%,11,4,7,0.9%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,144,5.5%,36,8.3%,58,9.4%,23,12.5%,27,2.0%,6.0%,0.0%,7,0,85,10.4%
15,Non-Hispanic,1155,44.1%,358,82.1%,462,74.5%,140,76.1%,183,13.5%,81.0%,95.2%,94,20,675,82.6%
16,UI Ethnicity,1149,43.8%,0,0.0%,0,0.0%,0,0.0%,1149,84.5%,9.5%,4.8%,11,1,0,0.0%
17,Unknown Ethnicity,174,6.6%,42,9.6%,100,16.1%,21,11.4%,0,0.0%,3.4%,0.0%,4,0,57,7.0%
18,White,816,31.1%,223,51.1%,320,51.6%,131,71.2%,138,10.2%,40.5%,52.4%,47,11,490,60.0%
19,Black,72,2.7%,23,5.3%,14,2.3%,10,5.4%,24,1.8%,1.7%,0.0%,2,0,27,3.3%
20,AI/AN,339,12.9%,90,20.6%,98,15.8%,8,4.3%,137,10.1%,20.7%,28.6%,24,6,109,13.3%
21,Asian,79,3.0%,19,4.4%,45,7.3%,6,3.3%,9,0.7%,8.6%,9.5%,10,2,59,7.2%
22,NHOPI,96,3.7%,20,4.6%,34,5.5%,1,0.5%,41,3.0%,14.7%,4.8%,17,1,29,3.5%
23,Multiple,58,2.2%,17,3.9%,21,3.4%,8,4.3%,11,0.8%,0.0%,0.0%,0,0,33,4.0%
24,Other,46,1.8%,7,1.6%,15,2.4%,8,4.3%,15,1.1%,4.3%,0.0%,5,0,22,2.7%
25,UI Race,984,37.5%,0,0.0%,0,0.0%,0,0.0%,984,72.4%,6.0%,4.8%,7,1,2,0.2%
26,Unknown Race,132,5.0%,37,8.5%,73,11.8%,12,6.5%,0,0.0%,3.4%,0.0%,4,0,46,5.6%
