Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,17904,51.2%,742,52.5%,935,51.0%,196,52.7%,15807,51.1%,427,54.5%,83,58.5%,1
Female,16992,48.6%,672,47.5%,897,49.0%,176,47.3%,15046,48.7%,356,45.4%,59,41.5%,2
Unknown Sex,67,0.2%,0,0.0%,0,0.0%,0,0.0%,67,0.2%,1,0.1%,0,0.0%,3
<10 Years,2086,6.0%,30,2.1%,121,6.6%,9,2.4%,1917,6.2%,8,1.0%,0,0.0%,4
10-19 Years,4128,11.8%,121,8.6%,211,11.5%,55,14.8%,3691,11.9%,7,0.9%,0,0.0%,5
20-29 Years,7181,20.5%,400,28.3%,474,25.9%,62,16.7%,6155,19.9%,41,5.2%,2,1.4%,6
30-39 Years,6725,19.2%,260,18.4%,327,17.8%,77,20.7%,5974,19.3%,68,8.7%,5,3.5%,7
40-49 Years,5026,14.4%,215,15.2%,232,12.7%,58,15.6%,4460,14.4%,78,9.9%,7,4.9%,8
50-59 Years,4495,12.9%,175,12.4%,239,13.0%,49,13.2%,3985,12.9%,127,16.2%,8,5.6%,9
60-69 Years,3242,9.3%,144,10.2%,134,7.3%,39,10.5%,2874,9.3%,173,22.1%,29,20.4%,10
70-79 Years,1466,4.2%,52,3.7%,61,3.3%,22,5.9%,1307,4.2%,166,21.2%,41,28.9%,11
80+ Years,614,1.8%,17,1.2%,33,1.8%,1,0.3%,557,1.8%,116,14.8%,50,35.2%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,1632,4.7%,72,5.1%,103,5.6%,25,6.7%,1425,4.6%,26,3.3%,1,0.7%,14
Non-Hispanic,16846,48.2%,1108,78.4%,1393,76.0%,286,76.9%,13966,45.2%,563,71.8%,118,83.1%,15
UI Ethnicity,15529,44.4%,0,0.0%,0,0.0%,0,0.0%,15529,50.2%,177,22.6%,18,12.7%,16
Unknown Ethnicity,956,2.7%,234,16.5%,336,18.3%,61,16.4%,0,0.0%,18,2.3%,5,3.5%,17
White,10384,29.7%,637,45.0%,781,42.6%,225,60.5%,8674,28.1%,239,30.5%,50,35.2%,18
Black,943,2.7%,91,6.4%,115,6.3%,21,5.6%,708,2.3%,33,4.2%,6,4.2%,19
AI/AN,7206,20.6%,348,24.6%,409,22.3%,43,11.6%,6354,20.5%,216,27.6%,54,38.0%,20
Asian,1291,3.7%,72,5.1%,95,5.2%,18,4.8%,1101,3.6%,59,7.5%,13,9.2%,21
NHOPI,1053,3.0%,73,5.2%,133,7.3%,4,1.1%,840,2.7%,87,11.1%,9,6.3%,22
Multiple,2416,6.9%,71,5.0%,89,4.9%,13,3.5%,2215,7.2%,56,7.1%,6,4.2%,23
Other,4136,11.8%,35,2.5%,49,2.7%,15,4.0%,3926,12.7%,32,4.1%,3,2.1%,24
UI Race,7102,20.3%,0,0.0%,0,0.0%,0,0.0%,7102,23.0%,55,7.0%,1,0.7%,25
Unknown Race,432,1.2%,87,6.2%,161,8.8%,33,8.9%,0,0.0%,7,0.9%,0,0.0%,26
