Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,3955,50.5%,500,52.9%,650,51.0%,145,50.5%,2625,50.0%,159,54.3%,37,66.1%,1,1989,49.0%
Female,3869,49.5%,446,47.1%,624,49.0%,142,49.5%,2629,50.0%,134,45.7%,19,33.9%,2,2068,51.0%
Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,399,5.1%,16,1.7%,77,6.0%,8,2.8%,297,5.7%,3,1.0%,0,0.0%,4,200,4.9%
10-19 Years,802,10.3%,75,7.9%,126,9.9%,42,14.6%,546,10.4%,2,0.7%,0,0.0%,5,446,11.0%
20-29 Years,1936,24.7%,264,27.9%,346,27.2%,53,18.5%,1259,24.0%,17,5.8%,0,0.0%,6,981,24.2%
30-39 Years,1473,18.8%,188,19.9%,237,18.6%,56,19.5%,980,18.7%,26,8.9%,2,3.6%,7,800,19.7%
40-49 Years,1059,13.5%,146,15.4%,150,11.8%,45,15.7%,706,13.4%,40,13.7%,4,7.1%,8,545,13.4%
50-59 Years,1017,13.0%,114,12.1%,173,13.6%,37,12.9%,692,13.2%,54,18.4%,6,10.7%,9,526,13.0%
60-69 Years,699,8.9%,97,10.3%,93,7.3%,28,9.8%,477,9.1%,57,19.5%,9,16.1%,10,367,9.0%
70-79 Years,308,3.9%,36,3.8%,44,3.5%,17,5.9%,208,4.0%,60,20.5%,21,37.5%,11,144,3.5%
80+ Years,131,1.7%,10,1.1%,28,2.2%,1,0.3%,89,1.7%,34,11.6%,14,25.0%,12,48,1.2%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,587,7.5%,78,8.2%,128,10.0%,30,10.5%,344,6.5%,16,5.5%,1,1.8%,14,416,10.3%
Non-Hispanic,4184,53.5%,723,76.4%,919,72.1%,212,73.9%,2296,43.7%,231,78.8%,50,89.3%,15,2936,72.4%
UI Ethnicity,2614,33.4%,0,0.0%,0,0.0%,0,0.0%,2614,49.8%,30,10.2%,1,1.8%,16,448,11.0%
Unknown Ethnicity,439,5.6%,145,15.3%,227,17.8%,45,15.7%,0,0.0%,16,5.5%,4,7.1%,17,257,6.3%
White,2473,31.6%,408,43.1%,537,42.2%,186,64.8%,1325,25.2%,83,28.3%,23,41.1%,18,1779,43.9%
Black,339,4.3%,65,6.9%,90,7.1%,18,6.3%,162,3.1%,8,2.7%,2,3.6%,19,209,5.2%
AI/AN,1663,21.3%,234,24.7%,255,20.0%,19,6.6%,1138,21.7%,93,31.7%,19,33.9%,20,811,20.0%
Asian,309,3.9%,32,3.4%,62,4.9%,9,3.1%,204,3.9%,18,6.1%,4,7.1%,21,202,5.0%
NHOPI,380,4.9%,61,6.4%,95,7.5%,2,0.7%,221,4.2%,50,17.1%,7,12.5%,22,250,6.2%
Multiple,339,4.3%,50,5.3%,53,4.2%,10,3.5%,223,4.2%,12,4.1%,0,0.0%,23,188,4.6%
Other,269,3.4%,21,2.2%,33,2.6%,12,4.2%,202,3.8%,11,3.8%,0,0.0%,24,138,3.4%
UI Race,1779,22.7%,0,0.0%,0,0.0%,0,0.0%,1779,33.9%,9,3.1%,0,0.0%,25,308,7.6%
Unknown Race,273,3.5%,75,7.9%,149,11.7%,31,10.8%,0,0.0%,9,3.1%,1,1.8%,26,172,4.2%
