ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,662,50.0%,144,50.0%,201,46.9%,81,57.0%,236,51.1%,58.8%,52.9%,47,9,297,50.5%
2,Female,661,50.0%,144,50.0%,228,53.1%,61,43.0%,226,48.9%,41.3%,47.1%,33,8,291,49.5%
3,Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,48,3.6%,4,1.4%,21,4.9%,2,1.4%,21,4.5%,0.0%,0.0%,0,0,15,2.6%
5,10-19 Years,112,8.5%,20,6.9%,35,8.2%,11,7.7%,46,10.0%,1.3%,0.0%,1,0,44,7.5%
6,20-29 Years,293,22.1%,58,20.1%,90,21.0%,20,14.1%,125,27.1%,8.8%,0.0%,7,0,111,18.9%
7,30-39 Years,249,18.8%,58,20.1%,78,18.2%,26,18.3%,85,18.4%,8.8%,11.8%,7,2,119,20.2%
8,40-49 Years,200,15.1%,54,18.8%,61,14.2%,27,19.0%,58,12.6%,5.0%,0.0%,4,0,97,16.5%
9,50-59 Years,199,15.0%,44,15.3%,76,17.7%,21,14.8%,58,12.6%,20.0%,5.9%,16,1,97,16.5%
10,60-69 Years,130,9.8%,27,9.4%,43,10.0%,21,14.8%,39,8.4%,17.5%,11.8%,14,2,69,11.7%
11,70-79 Years,70,5.3%,18,6.3%,16,3.7%,13,9.2%,23,5.0%,30.0%,52.9%,24,9,29,4.9%
12,80+ Years,22,1.7%,5,1.7%,9,2.1%,1,0.7%,7,1.5%,8.8%,17.6%,7,3,7,1.2%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,79,6.0%,19,6.6%,35,8.2%,15,10.6%,10,2.2%,6.3%,0.0%,5,0,50,8.5%
15,Non-Hispanic,812,61.4%,244,84.7%,361,84.1%,118,83.1%,88,19.0%,82.5%,100.0%,66,17,505,85.9%
16,Unknown Ethnicity,432,32.7%,25,8.7%,33,7.7%,9,6.3%,364,78.8%,11.3%,0.0%,9,0,33,5.6%
17,White,609,46.0%,176,61.1%,257,59.9%,112,78.9%,63,13.6%,55.0%,64.7%,44,11,384,65.3%
18,Black,31,2.3%,13,4.5%,8,1.9%,6,4.2%,4,0.9%,1.3%,0.0%,1,0,17,2.9%
19,AI/AN,157,11.9%,48,16.7%,55,12.8%,2,1.4%,52,11.3%,16.3%,17.6%,13,3,60,10.2%
20,Asian,62,4.7%,13,4.5%,41,9.6%,5,3.5%,3,0.6%,10.0%,11.8%,8,2,54,9.2%
21,NHOPI,35,2.6%,10,3.5%,16,3.7%,1,0.7%,8,1.7%,7.5%,5.9%,6,1,14,2.4%
22,Multiple,39,2.9%,12,4.2%,16,3.7%,7,4.9%,4,0.9%,0.0%,0.0%,0,0,25,4.3%
23,Other,26,2.0%,4,1.4%,10,2.3%,5,3.5%,7,1.5%,5.0%,0.0%,4,0,14,2.4%
24,Unknown Race,364,27.5%,12,4.2%,26,6.1%,4,2.8%,321,69.5%,5.0%,0.0%,4,0,20,3.4%
