Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,2412,49.30%,336,48.90%,475,49.60%,127,52.50%,1447,48.80%,118,57.00%,24,64.90%,1,904,47.60%
Female,2482,50.70%,351,51.10%,482,50.40%,115,47.50%,1517,51.20%,89,43.00%,13,35.10%,2,995,52.40%
Unknown Sex,1,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.00%,0,0.00%,0,0.00%,3,0,0.00%
<10 Years,250,5.10%,14,2.00%,64,6.70%,8,3.30%,164,5.50%,1,0.50%,0,0.00%,4,89,4.70%
10-19 Years,528,10.80%,53,7.70%,90,9.40%,32,13.20%,342,11.50%,1,0.50%,0,0.00%,5,203,10.70%
20-29 Years,1168,23.90%,178,25.90%,243,25.40%,41,16.90%,695,23.40%,12,5.80%,0,0.00%,6,481,25.30%
30-39 Years,901,18.40%,136,19.80%,175,18.30%,48,19.80%,534,18.00%,19,9.20%,2,5.40%,7,375,19.70%
40-49 Years,690,14.10%,115,16.70%,108,11.30%,39,16.10%,419,14.10%,25,12.10%,2,5.40%,8,253,13.30%
50-59 Years,621,12.70%,81,11.80%,134,14.00%,32,13.20%,373,12.60%,37,17.90%,4,10.80%,9,236,12.40%
60-69 Years,441,9.00%,67,9.80%,82,8.60%,26,10.70%,264,8.90%,41,19.80%,5,13.50%,10,167,8.80%
70-79 Years,211,4.30%,33,4.80%,36,3.80%,15,6.20%,127,4.30%,45,21.70%,15,40.50%,11,73,3.80%
80+ Years,85,1.70%,10,1.50%,25,2.60%,1,0.40%,47,1.60%,26,12.60%,9,24.30%,12,22,1.20%
Unknown Age,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,13,0,0.00%
Hispanic,255,5.20%,54,7.90%,92,9.60%,26,10.70%,80,2.70%,13,6.30%,0,0.00%,14,146,7.70%
Non-Hispanic,1815,37.10%,510,74.20%,631,65.90%,173,71.50%,483,16.30%,155,74.90%,36,97.30%,15,1108,58.30%
UI Ethnicity,2402,49.10%,0,0.00%,0,0.00%,0,0.00%,2402,81.00%,28,13.50%,0,0.00%,16,404,21.30%
Unknown Ethnicity,423,8.60%,123,17.90%,234,24.50%,43,17.80%,0,0.00%,11,5.30%,1,2.70%,17,241,12.70%
White,1162,23.70%,309,45.00%,400,41.80%,160,66.10%,287,9.70%,69,33.30%,15,40.50%,18,752,39.60%
Black,166,3.40%,42,6.10%,43,4.50%,15,6.20%,63,2.10%,6,2.90%,0,0.00%,19,79,4.20%
AI/AN,719,14.70%,145,21.10%,161,16.80%,11,4.50%,393,13.30%,48,23.20%,13,35.10%,20,268,14.10%
Asian,121,2.50%,25,3.60%,49,5.10%,8,3.30%,38,1.30%,12,5.80%,3,8.10%,21,75,3.90%
NHOPI,198,4.00%,47,6.80%,64,6.70%,2,0.80%,84,2.80%,38,18.40%,5,13.50%,22,92,4.80%
Multiple,152,3.10%,28,4.10%,35,3.70%,11,4.50%,76,2.60%,2,1.00%,0,0.00%,23,67,3.50%
Other,135,2.80%,14,2.00%,29,3.00%,10,4.10%,81,2.70%,6,2.90%,0,0.00%,24,54,2.80%
UI Race,1943,39.70%,0,0.00%,0,0.00%,0,0.00%,1943,65.50%,19,9.20%,0,0.00%,25,344,18.10%
Unknown Race,299,6.10%,77,11.20%,176,18.40%,25,10.30%,0,0.00%,7,3.40%,1,2.70%,26,168,8.80%
