Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,4080,50.5%,509,52.9%,653,51.0%,147,50.7%,2736,50.0%,162,54.4%,38,66.7%,1,2207,49.2%
Female,3994,49.5%,454,47.1%,628,49.0%,143,49.3%,2741,50.0%,136,45.6%,19,33.3%,2,2281,50.8%
Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,411,5.1%,17,1.8%,77,6.0%,8,2.8%,308,5.6%,3,1.0%,0,0.0%,4,227,5.1%
10-19 Years,838,10.4%,78,8.1%,129,10.1%,42,14.5%,576,10.5%,2,0.7%,0,0.0%,5,486,10.8%
20-29 Years,1993,24.7%,271,28.1%,346,27.0%,53,18.3%,1309,23.9%,17,5.7%,0,0.0%,6,1106,24.6%
30-39 Years,1524,18.9%,190,19.7%,239,18.7%,57,19.7%,1026,18.7%,26,8.7%,2,3.5%,7,893,19.9%
40-49 Years,1087,13.5%,149,15.5%,150,11.7%,46,15.9%,730,13.3%,40,13.4%,4,7.0%,8,596,13.3%
50-59 Years,1044,12.9%,115,11.9%,174,13.6%,37,12.8%,717,13.1%,54,18.1%,6,10.5%,9,567,12.6%
60-69 Years,725,9.0%,97,10.1%,93,7.3%,29,10.0%,502,9.2%,57,19.1%,10,17.5%,10,400,8.9%
70-79 Years,317,3.9%,36,3.7%,45,3.5%,17,5.9%,216,3.9%,63,21.1%,21,36.8%,11,158,3.5%
80+ Years,135,1.7%,10,1.0%,28,2.2%,1,0.3%,93,1.7%,36,12.1%,14,24.6%,12,55,1.2%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,651,8.1%,80,8.3%,131,10.2%,30,10.3%,403,7.4%,19,6.4%,1,1.8%,14,468,10.4%
Non-Hispanic,4632,57.4%,739,76.7%,943,73.6%,217,74.8%,2698,49.3%,236,79.2%,50,87.7%,15,3367,75.0%
UI Ethnicity,2376,29.4%,0,0.0%,0,0.0%,0,0.0%,2376,43.4%,28,9.4%,1,1.8%,16,405,9.0%
Unknown Ethnicity,415,5.1%,144,15.0%,207,16.2%,43,14.8%,0,0.0%,15,5.0%,5,8.8%,17,248,5.5%
White,2689,33.3%,411,42.7%,542,42.3%,186,64.1%,1532,28.0%,84,28.2%,23,40.4%,18,1995,44.5%
Black,355,4.4%,66,6.9%,93,7.3%,18,6.2%,174,3.2%,8,2.7%,2,3.5%,19,229,5.1%
AI/AN,1785,22.1%,246,25.5%,261,20.4%,21,7.2%,1240,22.6%,92,30.9%,20,35.1%,20,927,20.7%
Asian,358,4.4%,35,3.6%,62,4.8%,9,3.1%,250,4.6%,20,6.7%,4,7.0%,21,241,5.4%
NHOPI,424,5.3%,62,6.4%,97,7.6%,3,1.0%,261,4.8%,51,17.1%,7,12.3%,22,298,6.6%
Multiple,354,4.4%,51,5.3%,52,4.1%,10,3.4%,238,4.3%,11,3.7%,0,0.0%,23,213,4.7%
Other,277,3.4%,21,2.2%,35,2.7%,12,4.1%,208,3.8%,11,3.7%,0,0.0%,24,151,3.4%
UI Race,1574,19.5%,0,0.0%,0,0.0%,0,0.0%,1574,28.7%,13,4.4%,0,0.0%,25,267,5.9%
Unknown Race,258,3.2%,71,7.4%,139,10.9%,31,10.7%,0,0.0%,8,2.7%,1,1.8%,26,167,3.7%
