Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,26989,52.0%,870,52.0%,1071,51.3%,224,52.7%,24445,52.0%,651,55.4%,158,61.0%,1
Female,24954,48.0%,802,48.0%,1016,48.7%,201,47.3%,22599,48.0%,525,44.6%,101,39.0%,2
Unknown Sex,8,0.0%,0,0.0%,0,0.0%,0,0.0%,7,0.0%,0,0.0%,0,0.0%,3
<10 Years,3400,6.5%,38,2.3%,149,7.1%,14,3.3%,3175,6.7%,10,0.9%,0,0.0%,4
10-19 Years,6198,11.9%,142,8.5%,254,12.2%,62,14.6%,5666,12.0%,9,0.8%,0,0.0%,5
20-29 Years,10790,20.8%,435,26.0%,504,24.1%,70,16.5%,9636,20.5%,52,4.4%,3,1.2%,6
30-39 Years,9892,19.0%,289,17.3%,362,17.3%,81,19.1%,9029,19.2%,92,7.8%,6,2.3%,7
40-49 Years,7171,13.8%,247,14.8%,253,12.1%,68,16.0%,6517,13.9%,107,9.1%,9,3.5%,8
50-59 Years,6716,12.9%,210,12.6%,262,12.6%,59,13.9%,6101,13.0%,192,16.3%,18,6.9%,9
60-69 Years,4788,9.2%,179,10.7%,150,7.2%,48,11.3%,4314,9.2%,262,22.3%,52,20.1%,10
70-79 Years,2103,4.0%,86,5.1%,91,4.4%,21,4.9%,1855,3.9%,263,22.4%,83,32.0%,11
80+ Years,893,1.7%,46,2.8%,62,3.0%,2,0.5%,758,1.6%,189,16.1%,88,34.0%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2775,5.3%,126,7.5%,185,8.9%,44,10.4%,2393,5.1%,61,5.2%,11,4.2%,14
Non-Hispanic,27040,52.0%,1321,79.0%,1610,77.1%,327,76.9%,23523,50.0%,886,75.3%,242,93.4%,15
UI Ethnicity,21135,40.7%,0,0.0%,0,0.0%,0,0.0%,21135,44.9%,210,17.9%,6,2.3%,16
Unknown Ethnicity,1001,1.9%,225,13.5%,292,14.0%,54,12.7%,0,0.0%,19,1.6%,0,0.0%,17
White,16125,31.0%,739,44.2%,877,42.0%,261,61.4%,14058,29.9%,389,33.1%,105,40.5%,18
Black,1307,2.5%,94,5.6%,116,5.6%,21,4.9%,1061,2.3%,46,3.9%,9,3.5%,19
AI/AN,11222,21.6%,467,27.9%,535,25.6%,51,12.0%,10054,21.4%,318,27.0%,99,38.2%,20
Asian,2056,4.0%,80,4.8%,104,5.0%,19,4.5%,1829,3.9%,112,9.5%,27,10.4%,21
NHOPI,1413,2.7%,77,4.6%,139,6.7%,4,0.9%,1187,2.5%,120,10.2%,16,6.2%,22
Multiple,4057,7.8%,77,4.6%,94,4.5%,14,3.3%,3842,8.2%,67,5.7%,2,0.8%,23
Other,6461,12.4%,44,2.6%,56,2.7%,16,3.8%,6217,13.2%,49,4.2%,0,0.0%,24
UI Race,8803,16.9%,0,0.0%,0,0.0%,0,0.0%,8803,18.7%,66,5.6%,1,0.4%,25
Unknown Race,507,1.0%,94,5.6%,166,8.0%,39,9.2%,0,0.0%,9,0.8%,0,0.0%,26
