ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,921,49.1%,185,49.3%,261,48.9%,93,55.0%,380,48.0%,59.6%,50.0%,59,9,357,50.1%
2,Female,953,50.9%,190,50.7%,273,51.1%,76,45.0%,411,52.0%,40.4%,50.0%,40,9,355,49.9%
3,Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,79,4.2%,5,1.3%,33,6.2%,2,1.2%,39,4.9%,0.0%,0.0%,0,0,25,3.5%
5,10-19 Years,181,9.7%,30,8.0%,43,8.1%,17,10.1%,91,11.5%,1.0%,0.0%,1,0,60,8.4%
6,20-29 Years,453,24.2%,92,24.5%,116,21.7%,25,14.8%,219,27.7%,9.1%,0.0%,9,0,151,21.2%
7,30-39 Years,366,19.5%,73,19.5%,102,19.1%,34,20.1%,154,19.5%,10.1%,11.1%,10,2,148,20.8%
8,40-49 Years,264,14.1%,65,17.3%,67,12.5%,31,18.3%,101,12.8%,5.1%,0.0%,5,0,110,15.4%
9,50-59 Years,244,13.0%,52,13.9%,90,16.9%,24,14.2%,78,9.9%,21.2%,11.1%,21,2,102,14.3%
10,60-69 Years,174,9.3%,31,8.3%,53,9.9%,22,13.0%,67,8.5%,19.2%,11.1%,19,2,76,10.7%
11,70-79 Years,86,4.6%,21,5.6%,21,3.9%,13,7.7%,31,3.9%,25.3%,50.0%,25,9,33,4.6%
12,80+ Years,27,1.4%,6,1.6%,9,1.7%,1,0.6%,11,1.4%,9.1%,16.7%,9,3,7,1.0%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,110,5.9%,27,7.2%,45,8.4%,21,12.4%,17,2.1%,7.1%,0.0%,7,0,67,9.4%
15,Non-Hispanic,1000,53.4%,312,83.2%,424,79.4%,132,78.1%,128,16.2%,81.8%,100.0%,81,18,596,83.7%
16,Unknown Ethnicity,764,40.8%,36,9.6%,65,12.2%,16,9.5%,646,81.7%,11.1%,0.0%,11,0,49,6.9%
17,White,726,38.7%,207,55.2%,300,56.2%,123,72.8%,94,11.9%,47.5%,61.1%,47,11,445,62.5%
18,Black,45,2.4%,19,5.1%,9,1.7%,9,5.3%,7,0.9%,1.0%,0.0%,1,0,21,2.9%
19,AI/AN,247,13.2%,72,19.2%,76,14.2%,5,3.0%,93,11.8%,18.2%,22.2%,18,4,83,11.7%
20,Asian,67,3.6%,17,4.5%,43,8.1%,5,3.0%,2,0.3%,9.1%,11.1%,9,2,55,7.7%
21,NHOPI,66,3.5%,17,4.5%,25,4.7%,1,0.6%,23,2.9%,11.1%,5.6%,11,1,23,3.2%
22,Multiple,53,2.8%,16,4.3%,22,4.1%,7,4.1%,8,1.0%,0.0%,0.0%,0,0,33,4.6%
23,Other,38,2.0%,7,1.9%,14,2.6%,8,4.7%,9,1.1%,5.1%,0.0%,5,0,20,2.8%
24,Unknown Race,632,33.7%,20,5.3%,45,8.4%,11,6.5%,555,70.2%,8.1%,0.0%,8,0,32,4.5%
