ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases
1,Male,478,50.9%,117,51.3%,176,48.1%,78,59.1%,107,50.0%,59.7%,50.0%,40,7
2,Female,462,49.1%,111,48.7%,190,51.9%,54,40.9%,107,50.0%,40.3%,50.0%,27,7
3,Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0
4,<10 Years,34,3.6%,4,1.8%,19,5.2%,2,1.5%,9,4.2%,0.0%,0.0%,0,0
5,10-19 Years,74,7.9%,17,7.5%,32,8.7%,9,6.8%,16,7.5%,1.5%,0.0%,1,0
6,20-29 Years,187,19.9%,39,17.1%,78,21.3%,16,12.1%,54,25.2%,7.5%,0.0%,5,0
7,30-39 Years,184,19.6%,49,21.5%,63,17.2%,26,19.7%,46,21.5%,9.0%,14.3%,6,2
8,40-49 Years,146,15.5%,38,16.7%,49,13.4%,26,19.7%,33,15.4%,6.0%,0.0%,4,0
9,50-59 Years,148,15.7%,36,15.8%,68,18.6%,19,14.4%,25,11.7%,16.4%,7.1%,11,1
10,60-69 Years,97,10.3%,24,10.5%,33,9.0%,20,15.2%,20,9.3%,17.9%,14.3%,12,2
11,70-79 Years,53,5.6%,16,7.0%,15,4.1%,13,9.8%,9,4.2%,31.3%,50.0%,21,7
12,80+ Years,17,1.8%,5,2.2%,9,2.5%,1,0.8%,2,0.9%,10.4%,14.3%,7,2
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0
14,Hispanic,59,6.3%,13,5.7%,29,7.9%,14,10.6%,3,1.4%,7.5%,0.0%,5,0
15,Non-Hispanic,673,71.6%,197,86.4%,311,85.0%,111,84.1%,54,25.2%,88.1%,100.0%,59,14
16,Unknown Ethnicity,208,22.1%,18,7.9%,26,7.1%,7,5.3%,157,73.4%,4.5%,0.0%,3,0
17,White,500,53.2%,142,62.3%,221,60.4%,104,78.8%,33,15.4%,59.7%,64.3%,40,9
18,Black,24,2.6%,9,3.9%,7,1.9%,6,4.5%,2,0.9%,0.0%,0.0%,0,0
19,AI/AN,111,11.8%,38,16.7%,40,10.9%,3,2.3%,30,14.0%,13.4%,14.3%,9,2
20,Asian,60,6.4%,13,5.7%,41,11.2%,5,3.8%,1,0.5%,11.9%,14.3%,8,2
21,NHOPI,26,2.8%,6,2.6%,14,3.8%,1,0.8%,5,2.3%,7.5%,7.1%,5,1
22,Multiple,32,3.4%,10,4.4%,14,3.8%,5,3.8%,3,1.4%,0.0%,0.0%,0,0
23,Other,20,2.1%,2,0.9%,8,2.2%,4,3.0%,6,2.8%,6.0%,0.0%,4,0
24,Unknown Race,167,17.8%,8,3.5%,21,5.7%,4,3.0%,134,62.6%,1.5%,0.0%,1,0
