Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,7393,49.8%,730,52.4%,914,50.8%,191,52.9%,5496,49.2%,229,53.3%,50,61.7%,1,3202,49.7%
Female,7442,50.2%,664,47.6%,885,49.2%,170,47.1%,5672,50.8%,201,46.7%,31,38.3%,2,3247,50.3%
Unknown Sex,2,0.0%,0,0.0%,0,0.0%,0,0.0%,2,0.0%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,805,5.4%,29,2.1%,117,6.5%,8,2.2%,648,5.8%,4,0.9%,0,0.0%,4,324,5.0%
10-19 Years,1706,11.5%,120,8.6%,208,11.6%,53,14.7%,1308,11.7%,3,0.7%,0,0.0%,5,688,10.7%
20-29 Years,3249,21.9%,394,28.3%,469,26.1%,62,17.2%,2295,20.5%,22,5.1%,1,1.2%,6,1550,24.0%
30-39 Years,2820,19.0%,255,18.3%,323,18.0%,74,20.5%,2146,19.2%,37,8.6%,2,2.5%,7,1241,19.2%
40-49 Years,2057,13.9%,213,15.3%,227,12.6%,57,15.8%,1543,13.8%,53,12.3%,5,6.2%,8,861,13.4%
50-59 Years,1925,13.0%,172,12.3%,235,13.1%,47,13.0%,1464,13.1%,71,16.5%,7,8.6%,9,846,13.1%
60-69 Years,1407,9.5%,142,10.2%,129,7.2%,39,10.8%,1087,9.7%,95,22.1%,14,17.3%,10,614,9.5%
70-79 Years,612,4.1%,52,3.7%,58,3.2%,20,5.5%,477,4.3%,86,20.0%,26,32.1%,11,237,3.7%
80+ Years,256,1.7%,17,1.2%,33,1.8%,1,0.3%,202,1.8%,59,13.7%,26,32.1%,12,88,1.4%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,893,6.0%,110,7.9%,171,9.5%,38,10.5%,567,5.1%,20,4.7%,1,1.2%,14,597,9.3%
Non-Hispanic,7314,49.3%,1066,76.5%,1338,74.4%,274,75.9%,4580,41.0%,318,74.0%,69,85.2%,15,4919,76.3%
UI Ethnicity,6023,40.6%,0,0.0%,0,0.0%,0,0.0%,6023,53.9%,76,17.7%,8,9.9%,16,565,8.8%
Unknown Ethnicity,607,4.1%,218,15.6%,290,16.1%,49,13.6%,0,0.0%,16,3.7%,3,3.7%,17,368,5.7%
White,4452,30.0%,622,44.6%,753,41.9%,216,59.8%,2834,25.4%,110,25.6%,30,37.0%,18,2787,43.2%
Black,511,3.4%,89,6.4%,114,6.3%,21,5.8%,282,2.5%,21,4.9%,3,3.7%,19,290,4.5%
AI/AN,3392,22.9%,338,24.2%,403,22.4%,41,11.4%,2578,23.1%,135,31.4%,27,33.3%,20,1443,22.4%
Asian,633,4.3%,70,5.0%,94,5.2%,18,5.0%,449,4.0%,29,6.7%,8,9.9%,21,417,6.5%
NHOPI,598,4.0%,73,5.2%,130,7.2%,4,1.1%,389,3.5%,60,14.0%,7,8.6%,22,388,6.0%
Multiple,756,5.1%,71,5.1%,88,4.9%,13,3.6%,580,5.2%,22,5.1%,1,1.2%,23,351,5.4%
Other,630,4.2%,33,2.4%,47,2.6%,14,3.9%,535,4.8%,15,3.5%,1,1.2%,24,196,3.0%
UI Race,3523,23.7%,0,0.0%,0,0.0%,0,0.0%,3523,31.5%,30,7.0%,4,4.9%,25,360,5.6%
Unknown Race,342,2.3%,98,7.0%,170,9.4%,34,9.4%,0,0.0%,8,1.9%,0,0.0%,26,217,3.4%
