ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,1989,48.8%,301,48.3%,436,49.2%,116,53.2%,1116,48.3%,56.5%,63.0%,95,17,587,49.2%
2,Female,2083,51.1%,322,51.7%,450,50.8%,102,46.8%,1194,51.7%,43.5%,37.0%,73,10,605,50.8%
3,Unknown Sex,1,0.0%,0,0.0%,0,0.0%,0,0.0%,1,0.0%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,200,4.9%,13,2.1%,56,6.3%,3,1.4%,128,5.5%,0.0%,0.0%,0,0,50,4.2%
5,10-19 Years,429,10.5%,47,7.5%,83,9.4%,24,11.0%,267,11.6%,0.6%,0.0%,1,0,114,9.6%
6,20-29 Years,979,24.0%,162,26.0%,224,25.3%,37,17.0%,547,23.7%,7.1%,0.0%,12,0,295,24.7%
7,30-39 Years,755,18.5%,127,20.4%,163,18.4%,44,20.2%,416,18.0%,9.5%,7.4%,16,2,241,20.2%
8,40-49 Years,578,14.2%,100,16.1%,105,11.9%,38,17.4%,327,14.1%,10.7%,3.7%,18,1,165,13.8%
9,50-59 Years,511,12.5%,77,12.4%,128,14.4%,30,13.8%,275,11.9%,17.3%,11.1%,29,3,159,13.3%
10,60-69 Years,382,9.4%,57,9.1%,76,8.6%,26,11.9%,220,9.5%,20.8%,14.8%,35,4,114,9.6%
11,70-79 Years,174,4.3%,31,5.0%,30,3.4%,15,6.9%,98,4.2%,24.4%,48.1%,41,13,44,3.7%
12,80+ Years,65,1.6%,9,1.4%,21,2.4%,1,0.5%,33,1.4%,9.5%,14.8%,16,4,10,0.8%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,209,5.1%,46,7.4%,82,9.3%,26,11.9%,53,2.3%,5.4%,0.0%,9,0,118,9.9%
15,Non-Hispanic,1579,38.8%,471,75.6%,590,66.6%,156,71.6%,347,15.0%,76.8%,100.0%,129,27,911,76.4%
16,UI Ethnicity,1911,46.9%,0,0.0%,0,0.0%,0,0.0%,1911,82.7%,13.1%,0.0%,22,0,15,1.3%
17,Unknown Ethnicity,374,9.2%,106,17.0%,214,24.2%,36,16.5%,0,0.0%,4.8%,0.0%,8,0,148,12.4%
18,White,1032,25.3%,284,45.6%,379,42.8%,148,67.9%,216,9.3%,33.3%,40.7%,56,11,607,50.9%
19,Black,130,3.2%,40,6.4%,36,4.1%,14,6.4%,38,1.6%,3.6%,0.0%,6,0,61,5.1%
20,AI/AN,564,13.8%,133,21.3%,148,16.7%,9,4.1%,266,11.5%,23.8%,37.0%,40,10,191,16.0%
21,Asian,109,2.7%,25,4.0%,47,5.3%,8,3.7%,28,1.2%,7.1%,7.4%,12,2,69,5.8%
22,NHOPI,174,4.3%,41,6.6%,58,6.5%,1,0.5%,74,3.2%,17.9%,14.8%,30,4,66,5.5%
23,Multiple,114,2.8%,26,4.2%,32,3.6%,8,3.7%,47,2.0%,0.6%,0.0%,1,0,50,4.2%
24,Other,100,2.5%,11,1.8%,23,2.6%,10,4.6%,55,2.4%,3.6%,0.0%,6,0,36,3.0%
25,UI Race,1587,39.0%,0,0.0%,0,0.0%,0,0.0%,1587,68.7%,7.7%,0.0%,13,0,13,1.1%
26,Unknown Race,263,6.5%,63,10.1%,163,18.4%,20,9.2%,0,0.0%,2.4%,0.0%,4,0,99,8.3%
