Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,2448,49.20%,337,48.90%,480,49.80%,128,52.70%,1476,48.60%,122,57.30%,24,64.90%,1,,
Female,2524,50.70%,352,51.10%,484,50.20%,115,47.30%,1555,51.30%,91,42.70%,13,35.10%,2,,
Unknown Sex,3,0.10%,0,0.00%,0,0.00%,0,0.00%,3,0.10%,0,0.00%,0,0.00%,3,,
<10 Years,253,5.10%,14,2.00%,64,6.60%,8,3.30%,167,5.50%,1,0.50%,0,0.00%,4,,
10-19 Years,535,10.80%,53,7.70%,90,9.30%,32,13.20%,349,11.50%,1,0.50%,0,0.00%,5,,
20-29 Years,1186,23.80%,178,25.80%,246,25.50%,41,16.90%,710,23.40%,13,6.10%,0,0.00%,6,,
30-39 Years,918,18.50%,137,19.90%,176,18.30%,48,19.80%,549,18.10%,19,8.90%,2,5.40%,7,,
40-49 Years,704,14.20%,115,16.70%,108,11.20%,40,16.50%,432,14.20%,27,12.70%,2,5.40%,8,,
50-59 Years,635,12.80%,81,11.80%,136,14.10%,32,13.20%,385,12.70%,39,18.30%,4,10.80%,9,,
60-69 Years,444,8.90%,68,9.90%,83,8.60%,26,10.70%,264,8.70%,41,19.20%,5,13.50%,10,,
70-79 Years,215,4.30%,33,4.80%,36,3.70%,15,6.20%,131,4.30%,46,21.60%,15,40.50%,11,,
80+ Years,85,1.70%,10,1.50%,25,2.60%,1,0.40%,47,1.50%,26,12.20%,9,24.30%,12,,
Unknown Age,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,13,,
Hispanic,260,5.20%,54,7.80%,92,9.50%,26,10.70%,85,2.80%,13,6.10%,0,0.00%,14,,
Non-Hispanic,1838,36.90%,511,74.20%,637,66.10%,173,71.20%,498,16.40%,162,76.10%,36,97.30%,15,,
UI Ethnicity,2451,49.30%,0,0.00%,0,0.00%,0,0.00%,2451,80.80%,27,12.70%,0,0.00%,16,,
Unknown Ethnicity,426,8.60%,124,18.00%,235,24.40%,44,18.10%,0,0.00%,11,5.20%,1,2.70%,17,,
White,1172,23.60%,309,44.80%,400,41.50%,161,66.30%,296,9.80%,69,32.40%,15,40.50%,18,,
Black,167,3.40%,42,6.10%,45,4.70%,15,6.20%,62,2.00%,6,2.80%,0,0.00%,19,,
AI/AN,744,15.00%,146,21.20%,163,16.90%,11,4.50%,414,13.60%,52,24.40%,13,35.10%,20,,
Asian,121,2.40%,25,3.60%,49,5.10%,8,3.30%,38,1.30%,12,5.60%,3,8.10%,21,,
NHOPI,200,4.00%,47,6.80%,66,6.80%,2,0.80%,84,2.80%,39,18.30%,5,13.50%,22,,
Multiple,156,3.10%,28,4.10%,35,3.60%,11,4.50%,80,2.60%,3,1.40%,0,0.00%,23,,
Other,139,2.80%,14,2.00%,29,3.00%,10,4.10%,85,2.80%,6,2.80%,0,0.00%,24,,
UI Race,1975,39.70%,0,0.00%,0,0.00%,0,0.00%,1975,65.10%,18,8.50%,0,0.00%,25,,
Unknown Race,301,6.10%,78,11.30%,177,18.40%,25,10.30%,0,0.00%,8,3.80%,1,2.70%,26,,
