Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,5822,50.2%,676,52.4%,859,50.6%,178,52.2%,4053,49.6%,196,52.3%,43,63.2%,1,3013,49.3%
Female,5782,49.8%,615,47.6%,838,49.4%,163,47.8%,4120,50.4%,179,47.7%,25,36.8%,2,3097,50.7%
Unknown Sex,1,0.0%,0,0.0%,0,0.0%,0,0.0%,1,0.0%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,613,5.3%,27,2.1%,106,6.2%,8,2.3%,469,5.7%,3,0.8%,0,0.0%,4,310,5.1%
10-19 Years,1254,10.8%,111,8.6%,188,11.1%,50,14.7%,890,10.9%,3,0.8%,0,0.0%,5,645,10.6%
20-29 Years,2721,23.4%,369,28.6%,452,26.6%,60,17.6%,1814,22.2%,20,5.3%,1,1.5%,6,1476,24.2%
30-39 Years,2215,19.1%,240,18.6%,309,18.2%,68,19.9%,1577,19.3%,32,8.5%,2,2.9%,7,1185,19.4%
40-49 Years,1583,13.6%,196,15.2%,213,12.6%,54,15.8%,1104,13.5%,52,13.9%,4,5.9%,8,806,13.2%
50-59 Years,1509,13.0%,155,12.0%,221,13.0%,47,13.8%,1081,13.2%,66,17.6%,7,10.3%,9,791,12.9%
60-69 Years,1065,9.2%,130,10.1%,119,7.0%,34,10.0%,773,9.5%,75,20.0%,13,19.1%,10,583,9.5%
70-79 Years,446,3.8%,48,3.7%,58,3.4%,19,5.6%,317,3.9%,76,20.3%,23,33.8%,11,226,3.7%
80+ Years,199,1.7%,15,1.2%,31,1.8%,1,0.3%,149,1.8%,48,12.8%,18,26.5%,12,88,1.4%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,812,7.0%,104,8.1%,167,9.8%,37,10.9%,497,6.1%,19,5.1%,1,1.5%,14,588,9.6%
Non-Hispanic,6547,56.4%,979,75.8%,1257,74.1%,259,76.0%,4003,49.0%,287,76.5%,61,89.7%,15,4634,75.8%
UI Ethnicity,3674,31.7%,0,0.0%,0,0.0%,0,0.0%,3674,44.9%,53,14.1%,3,4.4%,16,547,9.0%
Unknown Ethnicity,572,4.9%,208,16.1%,273,16.1%,45,13.2%,0,0.0%,16,4.3%,3,4.4%,17,341,5.6%
White,3841,33.1%,566,43.8%,722,42.5%,209,61.3%,2319,28.4%,95,25.3%,25,36.8%,18,2665,43.6%
Black,464,4.0%,87,6.7%,112,6.6%,19,5.6%,241,2.9%,16,4.3%,3,4.4%,19,283,4.6%
AI/AN,2651,22.8%,311,24.1%,373,22.0%,35,10.3%,1905,23.3%,121,32.3%,24,35.3%,20,1350,22.1%
Asian,553,4.8%,67,5.2%,87,5.1%,18,5.3%,379,4.6%,28,7.5%,7,10.3%,21,391,6.4%
NHOPI,543,4.7%,71,5.5%,121,7.1%,4,1.2%,345,4.2%,55,14.7%,7,10.3%,22,366,6.0%
Multiple,555,4.8%,62,4.8%,74,4.4%,11,3.2%,404,4.9%,15,4.0%,0,0.0%,23,311,5.1%
Other,415,3.6%,33,2.6%,44,2.6%,13,3.8%,324,4.0%,12,3.2%,0,0.0%,24,188,3.1%
UI Race,2257,19.4%,0,0.0%,0,0.0%,0,0.0%,2257,27.6%,25,6.7%,2,2.9%,25,349,5.7%
Unknown Race,326,2.8%,94,7.3%,164,9.7%,32,9.4%,0,0.0%,8,2.1%,0,0.0%,26,207,3.4%
