,"All People Tested
 (Positive and Negative)",,Cases,,Hospitalizations,,Deaths,
Sex,"N=368,006",,"N=27,274",,"N=3,058",,"N=1,155",
Female,192928,55%,14864,55%,1481,48%,615,53%
Male,156258,45%,12271,45%,1569,51%,540,47%
Other,79,<1%,11,<1%,<5,--,0,0%
Pending further information,18741,--,128,--,<5,--,0,--
Age Group,,,,,,,,
0-4,8286,2%,456,2%,25,1%,0,0%
5-9,9061,2%,490,2%,11,<1%,0,0%
10-14,8913,2%,583,2%,16,1%,<5,--
15-18,16946,5%,1073,4%,24,1%,0,0%
19-24,48455,13%,3283,12%,89,3%,<5,--
25-29,32891,9%,2445,9%,101,3%,<5,--
30-39,57131,16%,4299,16%,233,8%,7,1%
40-49,45820,12%,3856,14%,337,11%,16,1%
50-59,54058,15%,3955,15%,468,15%,51,4%
60-69,44171,12%,2746,10%,596,20%,122,11%
70-79,23953,7%,1709,6%,569,19%,266,23%
80-89,12198,3%,1427,5%,406,13%,374,32%
90+,5794,2%,949,3%,180,6%,314,27%
Pending further information,329,--,<5,--,<5,--,0,--
Race and Ethnicity,,,,,,,,
Hispanic or Latino†,27771,20%,10015,43%,912,36%,108,11%
American Indian or Alaska Native*,3283,2%,86,<1%,5,<1%,<5,--
Asian*,3300,2%,420,2%,46,2%,13,1%
Black or African American*,10136,7%,2734,12%,316,12%,58,6%
Native Hawaiian or Other Pacific Islander*,353,<1%,0,0%,0,0%,0,0%
White*,80171,59%,9206,40%,1207,47%,770,81%
Other race*,11447,8%,364,2%,51,2%,0,0%
Multiple race*,125,<1%,204,1%,8,<1%,0,0%
Declined,2709,--,243,--,9,--,0,--
Unknown or pending further information,228711,--,4002,--,504,--,205,--
† Includes people who identify as any race.,,,,,,,,
* Includes people who identify as non-Hispanic ethnicity or have unknown or declined ethnicity.,,,,,,,,
Source: Rhode Island Department of Health,,,,,,,,
"Notes: Percentages for counts of less than five are not shown. Percentages do not include people with unknown demographics or those that are pending further information. People tested for COVID-19, COVID-19 cases, and COVID-19 associated deaths exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents.",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Last updated:,10/21/2020,,,,,,,
