Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,10626,49.9%,739,52.4%,930,50.9%,195,52.8%,8690,49.6%,280,52.9%,59,60.8%,1,3236,49.7%
Female,10635,50.0%,671,47.6%,897,49.1%,174,47.2%,8832,50.4%,248,46.9%,38,39.2%,2,3276,50.3%
Unknown Sex,14,0.1%,0,0.0%,0,0.0%,0,0.0%,14,0.1%,1,0.2%,0,0.0%,3,0,0.0%
<10 Years,1196,5.6%,30,2.1%,121,6.6%,9,2.4%,1033,5.9%,5,0.9%,0,0.0%,4,329,5.1%
10-19 Years,2531,11.9%,120,8.5%,211,11.5%,54,14.6%,2126,12.1%,4,0.8%,0,0.0%,5,693,10.6%
20-29 Years,4592,21.6%,400,28.4%,474,25.9%,62,16.8%,3622,20.7%,27,5.1%,2,2.1%,6,1559,23.9%
30-39 Years,4053,19.1%,258,18.3%,328,18.0%,76,20.6%,3366,19.2%,43,8.1%,3,3.1%,7,1255,19.3%
40-49 Years,3012,14.2%,214,15.2%,230,12.6%,58,15.7%,2490,14.2%,60,11.3%,6,6.2%,8,867,13.3%
50-59 Years,2706,12.7%,175,12.4%,238,13.0%,48,13.0%,2238,12.8%,90,17.0%,7,7.2%,9,856,13.1%
60-69 Years,1960,9.2%,144,10.2%,131,7.2%,39,10.6%,1634,9.3%,124,23.4%,17,17.5%,10,623,9.6%
70-79 Years,859,4.0%,52,3.7%,61,3.3%,22,6.0%,716,4.1%,102,19.3%,28,28.9%,11,242,3.7%
80+ Years,366,1.7%,17,1.2%,33,1.8%,1,0.3%,311,1.8%,74,14.0%,34,35.1%,12,88,1.4%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,1074,5.0%,110,7.8%,171,9.4%,38,10.3%,748,4.3%,27,5.1%,1,1.0%,14,597,9.2%
Non-Hispanic,9048,42.5%,1081,76.7%,1362,74.5%,281,76.2%,6254,35.7%,370,69.9%,81,83.5%,15,4968,76.3%
UI Ethnicity,10534,49.5%,0,0.0%,0,0.0%,0,0.0%,10534,60.1%,116,21.9%,12,12.4%,16,574,8.8%
Unknown Ethnicity,619,2.9%,219,15.5%,294,16.1%,50,13.6%,0,0.0%,16,3.0%,3,3.1%,17,373,5.7%
White,5738,27.0%,630,44.7%,769,42.1%,222,60.2%,4088,23.3%,145,27.4%,32,33.0%,18,2799,43.0%
Black,608,2.9%,89,6.3%,114,6.2%,21,5.7%,379,2.2%,29,5.5%,4,4.1%,19,292,4.5%
AI/AN,4845,22.8%,345,24.5%,407,22.3%,43,11.7%,4006,22.8%,154,29.1%,31,32.0%,20,1473,22.6%
Asian,757,3.6%,70,5.0%,94,5.1%,18,4.9%,573,3.3%,32,6.0%,8,8.2%,21,419,6.4%
NHOPI,688,3.2%,73,5.2%,132,7.2%,4,1.1%,477,2.7%,64,12.1%,9,9.3%,22,392,6.0%
Multiple,1212,5.7%,71,5.0%,88,4.8%,13,3.5%,1035,5.9%,29,5.5%,4,4.1%,23,353,5.4%
Other,1290,6.1%,33,2.3%,48,2.6%,14,3.8%,1194,6.8%,21,4.0%,2,2.1%,24,196,3.0%
UI Race,5784,27.2%,0,0.0%,0,0.0%,0,0.0%,5784,33.0%,47,8.9%,7,7.2%,25,367,5.6%
Unknown Race,353,1.7%,99,7.0%,175,9.6%,34,9.2%,0,0.0%,8,1.5%,0,0.0%,26,221,3.4%
