Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,34909,52.1%,1182,52.0%,1526,50.1%,302,51.8%,31353,52.2%,848,54.8%,220,60.8%,1
Female,32025,47.8%,1093,48.0%,1521,49.9%,281,48.2%,28627,47.7%,700,45.2%,142,39.2%,2
Unknown Sex,29,0.0%,0,0.0%,0,0.0%,0,0.0%,29,0.0%,0,0.0%,0,0.0%,3
<10 Years,4935,7.4%,79,3.5%,297,9.7%,22,3.8%,4487,7.5%,16,1.0%,0,0.0%,4
10-19 Years,8774,13.1%,230,10.1%,424,13.9%,77,13.2%,7933,13.2%,15,1.0%,0,0.0%,5
20-29 Years,13730,20.5%,561,24.7%,639,21.0%,97,16.6%,12222,20.4%,66,4.3%,6,1.7%,6
30-39 Years,12626,18.9%,399,17.5%,484,15.9%,105,18.0%,11470,19.1%,126,8.1%,8,2.2%,7
40-49 Years,9090,13.6%,311,13.7%,351,11.5%,86,14.8%,8204,13.7%,158,10.2%,16,4.4%,8
50-59 Years,8458,12.6%,281,12.4%,377,12.4%,81,13.9%,7595,12.7%,269,17.4%,27,7.5%,9
60-69 Years,5815,8.7%,241,10.6%,228,7.5%,74,12.7%,5131,8.6%,347,22.4%,72,19.9%,10
70-79 Years,2508,3.7%,111,4.9%,141,4.6%,36,6.2%,2150,3.6%,326,21.1%,111,30.7%,11
80+ Years,1027,1.5%,62,2.7%,106,3.5%,5,0.9%,817,1.4%,225,14.5%,122,33.7%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3403,5.1%,143,6.3%,225,7.4%,58,9.9%,2937,4.9%,83,5.4%,18,5.0%,14
Non-Hispanic,35112,52.4%,1825,80.2%,2399,78.7%,444,76.2%,30006,50.0%,1150,74.3%,336,92.8%,15
UI Ethnicity,27066,40.4%,0,0.0%,0,0.0%,0,0.0%,27066,45.1%,290,18.7%,4,1.1%,16
Unknown Ethnicity,1382,2.1%,307,13.5%,423,13.9%,81,13.9%,0,0.0%,25,1.6%,4,1.1%,17
White,22187,33.1%,959,42.2%,1209,39.7%,341,58.5%,19386,32.3%,568,36.7%,165,45.6%,18
Black,1614,2.4%,104,4.6%,135,4.4%,22,3.8%,1333,2.2%,56,3.6%,10,2.8%,19
AI/AN,13885,20.7%,757,33.3%,924,30.3%,79,13.6%,11894,19.8%,393,25.4%,121,33.4%,20
Asian,2574,3.8%,99,4.4%,185,6.1%,28,4.8%,2228,3.7%,126,8.1%,35,9.7%,21
NHOPI,1730,2.6%,83,3.6%,165,5.4%,10,1.7%,1463,2.4%,141,9.1%,21,5.8%,22
Multiple,5029,7.5%,95,4.2%,136,4.5%,24,4.1%,4732,7.9%,83,5.4%,7,1.9%,23
Other,7717,11.5%,60,2.6%,77,2.5%,23,3.9%,7414,12.4%,74,4.8%,1,0.3%,24
UI Race,11559,17.3%,0,0.0%,0,0.0%,0,0.0%,11559,19.3%,96,6.2%,1,0.3%,25
Unknown Race,668,1.0%,118,5.2%,216,7.1%,56,9.6%,0,0.0%,11,0.7%,1,0.3%,26
