ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,2214,49.0%,324,48.4%,458,49.0%,123,52.8%,1284,48.6%,57.2%,65.5%,107,19,654,49.2%
2,Female,2304,51.0%,346,51.6%,476,51.0%,110,47.2%,1356,51.3%,42.8%,34.5%,80,10,674,50.8%
3,Unknown Sex,2,0.0%,0,0.0%,0,0.0%,0,0.0%,2,0.1%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,225,5.0%,13,1.9%,61,6.5%,4,1.7%,147,5.6%,0.0%,0.0%,0,0,60,4.5%
5,10-19 Years,470,10.4%,52,7.8%,87,9.3%,30,12.9%,292,11.1%,0.5%,0.0%,1,0,128,9.6%
6,20-29 Years,1094,24.2%,174,26.0%,240,25.7%,40,17.2%,629,23.8%,6.4%,0.0%,12,0,337,25.4%
7,30-39 Years,840,18.6%,134,20.0%,169,18.1%,46,19.7%,483,18.3%,9.1%,6.9%,17,2,263,19.8%
8,40-49 Years,635,14.0%,110,16.4%,106,11.3%,39,16.7%,371,14.0%,10.7%,3.4%,20,1,180,13.6%
9,50-59 Years,570,12.6%,79,11.8%,133,14.2%,32,13.7%,325,12.3%,17.1%,10.3%,32,3,171,12.9%
10,60-69 Years,414,9.2%,67,10.0%,79,8.5%,26,11.2%,240,9.1%,20.9%,13.8%,39,4,124,9.3%
11,70-79 Years,196,4.3%,31,4.6%,34,3.6%,15,6.4%,116,4.4%,23.0%,44.8%,43,13,52,3.9%
12,80+ Years,76,1.7%,10,1.5%,25,2.7%,1,0.4%,39,1.5%,12.3%,20.7%,23,6,13,1.0%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,239,5.3%,51,7.6%,89,9.5%,26,11.2%,70,2.6%,5.3%,0.0%,10,0,131,9.9%
15,Non-Hispanic,1718,38.0%,498,74.3%,613,65.6%,165,70.8%,427,16.2%,75.4%,100.0%,141,29,989,74.5%
16,UI Ethnicity,2145,47.5%,0,0.0%,0,0.0%,0,0.0%,2145,81.2%,13.4%,0.0%,25,0,20,1.5%
17,Unknown Ethnicity,418,9.2%,121,18.1%,232,24.8%,42,18.0%,0,0.0%,5.9%,0.0%,11,0,188,14.2%
18,White,1103,24.4%,302,45.1%,391,41.9%,154,66.1%,251,9.5%,33.7%,44.8%,63,13,656,49.4%
19,Black,155,3.4%,42,6.3%,42,4.5%,14,6.0%,54,2.0%,3.2%,0.0%,6,0,70,5.3%
20,AI/AN,652,14.4%,140,20.9%,156,16.7%,11,4.7%,337,12.8%,23.5%,34.5%,44,10,210,15.8%
21,Asian,114,2.5%,25,3.7%,48,5.1%,8,3.4%,32,1.2%,6.4%,6.9%,12,2,70,5.3%
22,NHOPI,186,4.1%,45,6.7%,63,6.7%,2,0.9%,76,2.9%,17.6%,13.8%,33,4,78,5.9%
23,Multiple,138,3.1%,28,4.2%,34,3.6%,9,3.9%,65,2.5%,1.1%,0.0%,2,0,57,4.3%
24,Other,120,2.7%,13,1.9%,29,3.1%,10,4.3%,67,2.5%,3.2%,0.0%,6,0,45,3.4%
25,UI Race,1760,38.9%,0,0.0%,0,0.0%,0,0.0%,1760,66.6%,8.0%,0.0%,15,0,18,1.4%
26,Unknown Race,292,6.5%,75,11.2%,171,18.3%,25,10.7%,0,0.0%,3.2%,0.0%,6,0,124,9.3%
