Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,7220,49.9%,727,52.4%,912,50.8%,191,53.1%,5328,49.3%,225,52.9%,48,62.3%,1,3200,49.6%
Female,7235,50.0%,660,47.6%,884,49.2%,169,46.9%,5471,50.7%,200,47.1%,29,37.7%,2,3247,50.4%
Unknown Sex,1,0.0%,0,0.0%,0,0.0%,0,0.0%,1,0.0%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,787,5.4%,29,2.1%,117,6.5%,8,2.2%,630,5.8%,4,0.9%,0,0.0%,4,324,5.0%
10-19 Years,1665,11.5%,119,8.6%,208,11.6%,53,14.7%,1268,11.7%,3,0.7%,0,0.0%,5,688,10.7%
20-29 Years,3190,22.1%,391,28.2%,469,26.1%,62,17.2%,2239,20.7%,22,5.2%,1,1.3%,6,1548,24.0%
30-39 Years,2747,19.0%,254,18.3%,323,18.0%,74,20.6%,2074,19.2%,37,8.7%,2,2.6%,7,1241,19.2%
40-49 Years,1990,13.8%,213,15.4%,227,12.6%,56,15.6%,1477,13.7%,53,12.5%,5,6.5%,8,861,13.4%
50-59 Years,1885,13.0%,169,12.2%,235,13.1%,47,13.1%,1427,13.2%,71,16.7%,7,9.1%,9,845,13.1%
60-69 Years,1361,9.4%,142,10.2%,127,7.1%,39,10.8%,1043,9.7%,93,21.9%,13,16.9%,10,613,9.5%
70-79 Years,588,4.1%,53,3.8%,58,3.2%,20,5.6%,452,4.2%,86,20.2%,26,33.8%,11,238,3.7%
80+ Years,243,1.7%,17,1.2%,32,1.8%,1,0.3%,190,1.8%,56,13.2%,23,29.9%,12,89,1.4%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,879,6.1%,108,7.8%,171,9.5%,38,10.6%,555,5.1%,19,4.5%,1,1.3%,14,596,9.2%
Non-Hispanic,7226,50.0%,1061,76.5%,1334,74.3%,273,75.8%,4502,41.7%,317,74.6%,66,85.7%,15,4917,76.3%
UI Ethnicity,5743,39.7%,0,0.0%,0,0.0%,0,0.0%,5743,53.2%,73,17.2%,7,9.1%,16,566,8.8%
Unknown Ethnicity,608,4.2%,218,15.7%,291,16.2%,49,13.6%,0,0.0%,16,3.8%,3,3.9%,17,368,5.7%
White,4361,30.2%,621,44.8%,749,41.7%,216,60.0%,2748,25.4%,109,25.6%,28,36.4%,18,2786,43.2%
Black,502,3.5%,89,6.4%,114,6.3%,20,5.6%,274,2.5%,21,4.9%,3,3.9%,19,290,4.5%
AI/AN,3312,22.9%,334,24.1%,403,22.4%,41,11.4%,2502,23.2%,133,31.3%,25,32.5%,20,1444,22.4%
Asian,623,4.3%,70,5.0%,94,5.2%,18,5.0%,439,4.1%,29,6.8%,8,10.4%,21,417,6.5%
NHOPI,593,4.1%,73,5.3%,130,7.2%,4,1.1%,384,3.6%,60,14.1%,7,9.1%,22,388,6.0%
Multiple,733,5.1%,70,5.0%,88,4.9%,13,3.6%,558,5.2%,21,4.9%,1,1.3%,23,350,5.4%
Other,605,4.2%,33,2.4%,47,2.6%,14,3.9%,510,4.7%,14,3.3%,1,1.3%,24,196,3.0%
UI Race,3385,23.4%,0,0.0%,0,0.0%,0,0.0%,3385,31.3%,30,7.1%,4,5.2%,25,360,5.6%
Unknown Race,342,2.4%,97,7.0%,171,9.5%,34,9.4%,0,0.0%,8,1.9%,0,0.0%,26,216,3.4%
