ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,1845,48.9%,283,48.5%,394,48.6%,112,53.6%,1038,48.5%,59.1%,65.4%,91,17,565,49.0%
2,Female,1930,51.1%,301,51.5%,416,51.4%,97,46.4%,1102,51.5%,40.9%,34.6%,63,9,588,51.0%
3,Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,175,4.6%,12,2.1%,52,6.4%,3,1.4%,108,5.0%,0.0%,0.0%,0,0,50,4.3%
5,10-19 Years,397,10.5%,47,8.0%,74,9.1%,23,11.0%,245,11.4%,0.6%,0.0%,1,0,112,9.7%
6,20-29 Years,928,24.6%,153,26.2%,207,25.6%,36,17.2%,523,24.4%,7.8%,0.0%,12,0,282,24.5%
7,30-39 Years,710,18.8%,121,20.7%,156,19.3%,42,20.1%,386,18.0%,10.4%,7.7%,16,2,239,20.7%
8,40-49 Years,524,13.9%,92,15.8%,93,11.5%,37,17.7%,296,13.8%,9.1%,3.8%,14,1,156,13.5%
9,50-59 Years,475,12.6%,73,12.5%,117,14.4%,28,13.4%,256,12.0%,17.5%,11.5%,27,3,152,13.2%
10,60-69 Years,350,9.3%,50,8.6%,72,8.9%,25,12.0%,201,9.4%,19.5%,15.4%,30,4,113,9.8%
11,70-79 Years,160,4.2%,28,4.8%,25,3.1%,14,6.7%,93,4.3%,25.3%,46.2%,39,12,40,3.5%
12,80+ Years,56,1.5%,8,1.4%,14,1.7%,1,0.5%,32,1.5%,9.7%,15.4%,15,4,9,0.8%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,202,5.4%,46,7.9%,78,9.6%,26,12.4%,50,2.3%,5.8%,0.0%,9,0,117,10.1%
15,Non-Hispanic,1477,39.1%,450,77.1%,571,70.5%,153,73.2%,290,13.6%,77.9%,100.0%,120,26,878,76.1%
16,UI Ethnicity,1800,47.7%,0,0.0%,0,0.0%,0,0.0%,1800,84.1%,12.3%,0.0%,19,0,17,1.5%
17,Unknown Ethnicity,296,7.8%,88,15.1%,161,19.9%,30,14.4%,0,0.0%,3.9%,0.0%,6,0,141,12.2%
18,White,999,26.5%,277,47.4%,371,45.8%,145,69.4%,202,9.4%,35.1%,42.3%,54,11,598,51.9%
19,Black,117,3.1%,39,6.7%,31,3.8%,13,6.2%,32,1.5%,2.6%,0.0%,4,0,57,4.9%
20,AI/AN,503,13.3%,126,21.6%,139,17.2%,8,3.8%,223,10.4%,24.0%,34.6%,37,9,185,16.0%
21,Asian,103,2.7%,23,3.9%,47,5.8%,8,3.8%,24,1.1%,7.8%,7.7%,12,2,66,5.7%
22,NHOPI,155,4.1%,35,6.0%,54,6.7%,1,0.5%,65,3.0%,17.5%,15.4%,27,4,52,4.5%
23,Multiple,107,2.8%,26,4.5%,32,4.0%,8,3.8%,40,1.9%,0.6%,0.0%,1,0,49,4.2%
24,Other,92,2.4%,11,1.9%,23,2.8%,10,4.8%,47,2.2%,3.2%,0.0%,5,0,36,3.1%
25,UI Race,1507,39.9%,0,0.0%,0,0.0%,0,0.0%,1507,70.4%,6.5%,0.0%,10,0,15,1.3%
26,Unknown Race,192,5.1%,47,8.0%,113,14.0%,16,7.7%,0,0.0%,2.6%,0.0%,4,0,95,8.2%
