Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,28872,52.0%,928,52.4%,1134,51.2%,235,53.4%,26164,51.9%,673,55.1%,173,60.3%,1
Female,26681,48.0%,844,47.6%,1081,48.8%,205,46.6%,24194,48.0%,549,44.9%,114,39.7%,2
Unknown Sex,7,0.0%,0,0.0%,0,0.0%,0,0.0%,7,0.0%,0,0.0%,0,0.0%,3
<10 Years,3748,6.7%,39,2.2%,159,7.2%,14,3.2%,3506,7.0%,11,0.9%,0,0.0%,4
10-19 Years,6785,12.2%,146,8.2%,264,11.9%,64,14.5%,6227,12.4%,9,0.7%,0,0.0%,5
20-29 Years,11405,20.5%,467,26.4%,537,24.2%,77,17.5%,10172,20.2%,49,4.0%,3,1.0%,6
30-39 Years,10543,19.0%,304,17.2%,380,17.2%,83,18.9%,9641,19.1%,95,7.8%,6,2.1%,7
40-49 Years,7650,13.8%,266,15.0%,270,12.2%,68,15.5%,6952,13.8%,115,9.4%,11,3.8%,8
50-59 Years,7166,12.9%,225,12.7%,277,12.5%,61,13.9%,6512,12.9%,197,16.1%,20,7.0%,9
60-69 Years,5091,9.2%,188,10.6%,163,7.4%,49,11.1%,4585,9.1%,269,22.0%,58,20.2%,10
70-79 Years,2230,4.0%,88,5.0%,94,4.2%,22,5.0%,1975,3.9%,273,22.3%,87,30.3%,11
80+ Years,942,1.7%,49,2.8%,71,3.2%,2,0.5%,795,1.6%,204,16.7%,102,35.5%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2848,5.1%,134,7.6%,197,8.9%,47,10.7%,2443,4.9%,64,5.2%,12,4.2%,14
Non-Hispanic,28216,50.8%,1396,78.8%,1713,77.3%,337,76.6%,24483,48.6%,917,75.0%,268,93.4%,15
UI Ethnicity,23439,42.2%,0,0.0%,0,0.0%,0,0.0%,23439,46.5%,222,18.2%,5,1.7%,16
Unknown Ethnicity,1057,1.9%,242,13.7%,305,13.8%,56,12.7%,0,0.0%,19,1.6%,2,0.7%,17
White,17013,30.6%,781,44.1%,926,41.8%,272,61.8%,14830,29.4%,406,33.2%,122,42.5%,18
Black,1364,2.5%,96,5.4%,117,5.3%,21,4.8%,1113,2.2%,45,3.7%,9,3.1%,19
AI/AN,12024,21.6%,495,27.9%,560,25.3%,52,11.8%,10795,21.4%,328,26.8%,104,36.2%,20
Asian,2202,4.0%,89,5.0%,132,6.0%,19,4.3%,1935,3.8%,117,9.6%,29,10.1%,21
NHOPI,1466,2.6%,79,4.5%,149,6.7%,4,0.9%,1226,2.4%,123,10.1%,16,5.6%,22
Multiple,4285,7.7%,83,4.7%,97,4.4%,15,3.4%,4058,8.1%,67,5.5%,4,1.4%,23
Other,6759,12.2%,52,2.9%,62,2.8%,17,3.9%,6491,12.9%,52,4.3%,1,0.3%,24
UI Race,9917,17.8%,0,0.0%,0,0.0%,0,0.0%,9917,19.7%,75,6.1%,1,0.3%,25
Unknown Race,530,1.0%,97,5.5%,172,7.8%,40,9.1%,0,0.0%,9,0.7%,1,0.3%,26
