ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,694,50.1%,150,50.8%,204,46.8%,82,56.6%,258,50.9%,56.5%,52.9%,48,9,301,50.3%
2,Female,691,49.9%,145,49.2%,232,53.2%,63,43.4%,249,49.1%,43.5%,47.1%,37,8,297,49.7%
3,Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,51,3.7%,4,1.4%,21,4.8%,2,1.4%,24,4.7%,0.0%,0.0%,0,0,16,2.7%
5,10-19 Years,118,8.5%,21,7.1%,35,8.0%,11,7.6%,51,10.1%,1.2%,0.0%,1,0,44,7.4%
6,20-29 Years,315,22.7%,59,20.0%,93,21.3%,20,13.8%,143,28.2%,9.4%,0.0%,8,0,115,19.2%
7,30-39 Years,260,18.8%,60,20.3%,80,18.3%,27,18.6%,91,17.9%,9.4%,11.8%,8,2,121,20.2%
8,40-49 Years,209,15.1%,56,19.0%,61,14.0%,28,19.3%,64,12.6%,4.7%,0.0%,4,0,99,16.6%
9,50-59 Years,204,14.7%,44,14.9%,78,17.9%,21,14.5%,61,12.0%,20.0%,5.9%,17,1,98,16.4%
10,60-69 Years,135,9.7%,28,9.5%,43,9.9%,22,15.2%,42,8.3%,18.8%,11.8%,16,2,69,11.5%
11,70-79 Years,70,5.1%,18,6.1%,16,3.7%,13,9.0%,23,4.5%,28.2%,52.9%,24,9,29,4.8%
12,80+ Years,23,1.7%,5,1.7%,9,2.1%,1,0.7%,8,1.6%,8.2%,17.6%,7,3,7,1.2%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,83,6.0%,20,6.8%,37,8.5%,16,11.0%,10,2.0%,5.9%,0.0%,5,0,52,8.7%
15,Non-Hispanic,829,59.9%,249,84.4%,364,83.5%,119,82.1%,96,18.9%,81.2%,100.0%,69,17,511,85.5%
16,Unknown Ethnicity,473,34.2%,26,8.8%,35,8.0%,10,6.9%,401,79.1%,12.9%,0.0%,11,0,35,5.9%
17,White,623,45.0%,182,61.7%,260,59.6%,112,77.2%,68,13.4%,52.9%,64.7%,45,11,388,64.9%
18,Black,34,2.5%,13,4.4%,8,1.8%,7,4.8%,6,1.2%,1.2%,0.0%,1,0,17,2.8%
19,AI/AN,168,12.1%,49,16.6%,56,12.8%,2,1.4%,61,12.0%,18.8%,17.6%,16,3,61,10.2%
20,Asian,62,4.5%,13,4.4%,41,9.4%,5,3.4%,3,0.6%,9.4%,11.8%,8,2,54,9.0%
21,NHOPI,35,2.5%,10,3.4%,16,3.7%,1,0.7%,8,1.6%,7.1%,5.9%,6,1,14,2.3%
22,Multiple,41,3.0%,12,4.1%,17,3.9%,7,4.8%,5,1.0%,0.0%,0.0%,0,0,26,4.3%
23,Other,28,2.0%,4,1.4%,12,2.8%,6,4.1%,6,1.2%,4.7%,0.0%,4,0,16,2.7%
24,Unknown Race,394,28.4%,12,4.1%,26,6.0%,5,3.4%,350,69.0%,5.9%,0.0%,5,0,22,3.7%
