Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,21844,52.1%,744,52.5%,939,51.1%,198,52.8%,19680,52.1%,497,54.6%,110,60.4%,1
Female,20035,47.8%,673,47.5%,897,48.9%,177,47.2%,18036,47.8%,412,45.3%,72,39.6%,2
Unknown Sex,26,0.1%,0,0.0%,0,0.0%,0,0.0%,26,0.1%,1,0.1%,0,0.0%,3
<10 Years,2584,6.2%,30,2.1%,122,6.6%,9,2.4%,2409,6.4%,8,0.9%,0,0.0%,4
10-19 Years,4891,11.7%,121,8.5%,211,11.5%,56,14.9%,4436,11.8%,7,0.8%,0,0.0%,5
20-29 Years,8610,20.5%,403,28.4%,476,25.9%,62,16.5%,7559,20.0%,44,4.8%,3,1.6%,6
30-39 Years,8082,19.3%,260,18.3%,329,17.9%,78,20.8%,7310,19.4%,81,8.9%,5,2.7%,7
40-49 Years,5928,14.1%,215,15.2%,232,12.6%,58,15.5%,5352,14.2%,83,9.1%,7,3.8%,8
50-59 Years,5418,12.9%,175,12.4%,238,13.0%,50,13.3%,4894,13.0%,150,16.5%,12,6.6%,9
60-69 Years,3899,9.3%,144,10.2%,134,7.3%,39,10.4%,3512,9.3%,201,22.1%,36,19.8%,10
70-79 Years,1756,4.2%,52,3.7%,61,3.3%,22,5.9%,1590,4.2%,195,21.4%,54,29.7%,11
80+ Years,737,1.8%,17,1.2%,33,1.8%,1,0.3%,680,1.8%,141,15.5%,65,35.7%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2361,5.6%,113,8.0%,174,9.5%,40,10.7%,2011,5.3%,45,4.9%,4,2.2%,14
Non-Hispanic,22129,52.8%,1102,77.8%,1396,76.0%,287,76.5%,19193,50.9%,674,74.1%,147,80.8%,15
UI Ethnicity,16538,39.5%,0,0.0%,0,0.0%,0,0.0%,16538,43.8%,176,19.3%,28,15.4%,16
Unknown Ethnicity,877,2.1%,202,14.3%,266,14.5%,48,12.8%,0,0.0%,15,1.6%,3,1.6%,17
White,13249,31.6%,638,45.0%,785,42.8%,225,60.0%,11482,30.4%,294,32.3%,64,35.2%,18
Black,1131,2.7%,91,6.4%,115,6.3%,21,5.6%,894,2.4%,36,4.0%,7,3.8%,19
AI/AN,8510,20.3%,348,24.6%,409,22.3%,43,11.5%,7641,20.2%,240,26.4%,67,36.8%,20
Asian,1714,4.1%,72,5.1%,95,5.2%,18,4.8%,1516,4.0%,77,8.5%,19,10.4%,21
NHOPI,1232,2.9%,73,5.2%,133,7.2%,4,1.1%,1019,2.7%,104,11.4%,11,6.0%,22
Multiple,3375,8.1%,71,5.0%,90,4.9%,13,3.5%,3173,8.4%,64,7.0%,7,3.8%,23
Other,5368,12.8%,36,2.5%,49,2.7%,16,4.3%,5150,13.6%,40,4.4%,3,1.6%,24
UI Race,6867,16.4%,0,0.0%,0,0.0%,0,0.0%,6867,18.2%,48,5.3%,4,2.2%,25
Unknown Race,459,1.1%,88,6.2%,160,8.7%,35,9.3%,0,0.0%,7,0.8%,0,0.0%,26
