Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,4716,50.0%,576,53.2%,746,51.0%,169,51.8%,3174,49.0%,171,53.6%,39,65.0%,1,2561,49.9%
Female,4713,50.0%,507,46.8%,718,49.0%,157,48.2%,3295,50.9%,148,46.4%,21,35.0%,2,2575,50.1%
Unknown Sex,2,0.0%,0,0.0%,0,0.0%,0,0.0%,2,0.0%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,484,5.1%,21,1.9%,92,6.3%,8,2.5%,360,5.6%,3,0.9%,0,0.0%,4,253,4.9%
10-19 Years,979,10.4%,94,8.7%,151,10.3%,48,14.7%,673,10.4%,2,0.6%,0,0.0%,5,547,10.7%
20-29 Years,2285,24.2%,301,27.8%,399,27.3%,58,17.8%,1506,23.3%,18,5.6%,0,0.0%,6,1249,24.3%
30-39 Years,1797,19.1%,207,19.1%,265,18.1%,66,20.2%,1242,19.2%,27,8.5%,2,3.3%,7,1006,19.6%
40-49 Years,1282,13.6%,167,15.4%,178,12.2%,52,16.0%,868,13.4%,44,13.8%,4,6.7%,8,685,13.3%
50-59 Years,1215,12.9%,130,12.0%,196,13.4%,42,12.9%,844,13.0%,59,18.5%,6,10.0%,9,660,12.9%
60-69 Years,860,9.1%,112,10.3%,104,7.1%,32,9.8%,605,9.3%,63,19.7%,11,18.3%,10,477,9.3%
70-79 Years,373,4.0%,40,3.7%,50,3.4%,19,5.8%,261,4.0%,67,21.0%,23,38.3%,11,193,3.8%
80+ Years,156,1.7%,11,1.0%,29,2.0%,1,0.3%,112,1.7%,36,11.3%,14,23.3%,12,66,1.3%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,727,7.7%,88,8.1%,148,10.1%,34,10.4%,450,7.0%,19,6.0%,1,1.7%,14,525,10.2%
Non-Hispanic,5380,57.0%,823,76.0%,1077,73.6%,250,76.7%,3188,49.3%,253,79.3%,52,86.7%,15,3890,75.7%
UI Ethnicity,2833,30.0%,0,0.0%,0,0.0%,0,0.0%,2833,43.8%,30,9.4%,2,3.3%,16,432,8.4%
Unknown Ethnicity,491,5.2%,172,15.9%,239,16.3%,42,12.9%,0,0.0%,17,5.3%,5,8.3%,17,289,5.6%
White,3123,33.1%,460,42.5%,606,41.4%,199,61.0%,1836,28.4%,88,27.6%,24,40.0%,18,2259,44.0%
Black,399,4.2%,71,6.6%,98,6.7%,19,5.8%,207,3.2%,10,3.1%,2,3.3%,19,252,4.9%
AI/AN,2125,22.5%,283,26.1%,327,22.3%,34,10.4%,1458,22.5%,101,31.7%,21,35.0%,20,1108,21.6%
Asian,433,4.6%,47,4.3%,78,5.3%,18,5.5%,289,4.5%,23,7.2%,5,8.3%,21,291,5.7%
NHOPI,476,5.0%,65,6.0%,110,7.5%,3,0.9%,296,4.6%,52,16.3%,7,11.7%,22,346,6.7%
Multiple,397,4.2%,54,5.0%,59,4.0%,11,3.4%,270,4.2%,12,3.8%,0,0.0%,23,237,4.6%
Other,337,3.6%,24,2.2%,41,2.8%,12,3.7%,259,4.0%,11,3.4%,0,0.0%,24,169,3.3%
UI Race,1856,19.7%,0,0.0%,0,0.0%,0,0.0%,1856,28.7%,13,4.1%,0,0.0%,25,293,5.7%
Unknown Race,285,3.0%,79,7.3%,145,9.9%,30,9.2%,0,0.0%,9,2.8%,1,1.7%,26,181,3.5%
