Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,8551,50.1%,738,52.5%,925,50.9%,196,53.3%,6628,49.6%,244,52.5%,51,60.7%,1,3216,49.7%
Female,8510,49.8%,667,47.5%,894,49.1%,172,46.7%,6726,50.3%,221,47.5%,33,39.3%,2,3260,50.3%
Unknown Sex,11,0.1%,0,0.0%,0,0.0%,0,0.0%,11,0.1%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,916,5.4%,30,2.1%,119,6.5%,8,2.2%,756,5.7%,4,0.9%,0,0.0%,4,326,5.0%
10-19 Years,2028,11.9%,120,8.5%,210,11.5%,54,14.7%,1627,12.2%,3,0.6%,0,0.0%,5,690,10.7%
20-29 Years,3705,21.7%,399,28.4%,472,25.9%,62,16.8%,2742,20.5%,24,5.2%,1,1.2%,6,1553,24.0%
30-39 Years,3200,18.7%,257,18.3%,328,18.0%,75,20.4%,2518,18.8%,40,8.6%,2,2.4%,7,1244,19.2%
40-49 Years,2399,14.1%,214,15.2%,227,12.5%,58,15.8%,1882,14.1%,55,11.8%,5,6.0%,8,864,13.3%
50-59 Years,2211,13.0%,173,12.3%,238,13.1%,48,13.0%,1745,13.1%,78,16.8%,7,8.3%,9,853,13.2%
60-69 Years,1615,9.5%,143,10.2%,131,7.2%,40,10.9%,1291,9.7%,106,22.8%,14,16.7%,10,618,9.5%
70-79 Years,699,4.1%,52,3.7%,61,3.4%,22,6.0%,559,4.2%,92,19.8%,27,32.1%,11,240,3.7%
80+ Years,299,1.8%,17,1.2%,33,1.8%,1,0.3%,245,1.8%,63,13.5%,28,33.3%,12,88,1.4%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,963,5.6%,110,7.8%,171,9.4%,38,10.3%,637,4.8%,23,4.9%,1,1.2%,14,597,9.2%
Non-Hispanic,7744,45.4%,1077,76.7%,1358,74.7%,280,76.1%,4971,37.2%,332,71.4%,71,84.5%,15,4942,76.3%
UI Ethnicity,7757,45.4%,0,0.0%,0,0.0%,0,0.0%,7757,58.0%,94,20.2%,9,10.7%,16,568,8.8%
Unknown Ethnicity,608,3.6%,218,15.5%,290,15.9%,50,13.6%,0,0.0%,16,3.4%,3,3.6%,17,369,5.7%
White,4866,28.5%,628,44.7%,767,42.2%,222,60.3%,3222,24.1%,120,25.8%,31,36.9%,18,2796,43.2%
Black,550,3.2%,89,6.3%,114,6.3%,21,5.7%,321,2.4%,23,4.9%,3,3.6%,19,290,4.5%
AI/AN,3881,22.7%,343,24.4%,405,22.3%,42,11.4%,3058,22.9%,141,30.3%,27,32.1%,20,1451,22.4%
Asian,683,4.0%,70,5.0%,94,5.2%,18,4.9%,499,3.7%,29,6.2%,8,9.5%,21,418,6.5%
NHOPI,635,3.7%,73,5.2%,132,7.3%,4,1.1%,424,3.2%,62,13.3%,7,8.3%,22,390,6.0%
Multiple,905,5.3%,71,5.1%,88,4.8%,13,3.5%,728,5.4%,26,5.6%,3,3.6%,23,353,5.5%
Other,835,4.9%,33,2.3%,47,2.6%,14,3.8%,740,5.5%,16,3.4%,1,1.2%,24,196,3.0%
UI Race,4373,25.6%,0,0.0%,0,0.0%,0,0.0%,4373,32.7%,40,8.6%,4,4.8%,25,364,5.6%
Unknown Race,344,2.0%,98,7.0%,172,9.5%,34,9.2%,0,0.0%,8,1.7%,0,0.0%,26,218,3.4%
