Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,29891,52.0%,966,51.7%,1181,51.2%,240,53.3%,27077,52.1%,701,55.2%,179,59.5%,1
Female,27545,47.9%,902,48.3%,1125,48.8%,210,46.7%,24929,47.9%,569,44.8%,122,40.5%,2
Unknown Sex,13,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0.0%,0,0.0%,0,0.0%,3
<10 Years,3936,6.9%,45,2.4%,167,7.2%,14,3.1%,3680,7.1%,12,0.9%,0,0.0%,4
10-19 Years,7118,12.4%,158,8.5%,274,11.9%,65,14.4%,6533,12.6%,9,0.7%,0,0.0%,5
20-29 Years,11729,20.4%,478,25.6%,548,23.8%,78,17.3%,10466,20.1%,51,4.0%,3,1.0%,6
30-39 Years,10903,19.0%,326,17.5%,388,16.8%,85,18.9%,9966,19.2%,101,8.0%,6,2.0%,7
40-49 Years,7917,13.8%,277,14.8%,275,11.9%,70,15.6%,7198,13.8%,120,9.4%,12,4.0%,8
50-59 Years,7398,12.9%,235,12.6%,291,12.6%,61,13.6%,6715,12.9%,208,16.4%,20,6.6%,9
60-69 Years,5220,9.1%,196,10.5%,166,7.2%,52,11.6%,4697,9.0%,282,22.2%,59,19.6%,10
70-79 Years,2272,4.0%,98,5.2%,111,4.8%,23,5.1%,1984,3.8%,279,22.0%,93,30.9%,11
80+ Years,956,1.7%,55,2.9%,86,3.7%,2,0.4%,780,1.5%,208,16.4%,108,35.9%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2875,5.0%,141,7.5%,201,8.7%,49,10.9%,2455,4.7%,66,5.2%,13,4.3%,14
Non-Hispanic,28669,49.9%,1471,78.7%,1778,77.1%,343,76.2%,24771,47.6%,953,75.0%,281,93.4%,15
UI Ethnicity,24793,43.2%,0,0.0%,0,0.0%,0,0.0%,24793,47.7%,232,18.3%,5,1.7%,16
Unknown Ethnicity,1112,1.9%,256,13.7%,327,14.2%,58,12.9%,0,0.0%,19,1.5%,2,0.7%,17
White,17596,30.6%,834,44.6%,970,42.1%,279,62.0%,15294,29.4%,432,34.0%,126,41.9%,18
Black,1390,2.4%,95,5.1%,120,5.2%,21,4.7%,1137,2.2%,46,3.6%,9,3.0%,19
AI/AN,12266,21.4%,523,28.0%,581,25.2%,52,11.6%,10975,21.1%,338,26.6%,111,36.9%,20
Asian,2244,3.9%,90,4.8%,137,5.9%,19,4.2%,1971,3.8%,116,9.1%,29,9.6%,21
NHOPI,1488,2.6%,80,4.3%,150,6.5%,4,0.9%,1245,2.4%,128,10.1%,17,5.6%,22
Multiple,4368,7.6%,86,4.6%,101,4.4%,15,3.3%,4135,7.9%,67,5.3%,5,1.7%,23
Other,6921,12.0%,58,3.1%,64,2.8%,18,4.0%,6642,12.8%,55,4.3%,1,0.3%,24
UI Race,10620,18.5%,0,0.0%,0,0.0%,0,0.0%,10620,20.4%,79,6.2%,2,0.7%,25
Unknown Race,556,1.0%,102,5.5%,183,7.9%,42,9.3%,0,0.0%,9,0.7%,1,0.3%,26
