,"All People Tested
 (Positive and Negative)",,Cases,,Hospitalizations,,Deaths,,All People At Least Partially Vaccinated,,All People Fully Vaccinated,,Total Vaccine Doses Administered,
Age Group,"N=762,133",,"N=125,601",,"N=9,231",,"N=2,576",,"N=256,783",,"N=105,037",,"N=355,889",
0-4,24428,3%,2899,2%,76,1%,<5,--,0,0%,0,0%,0,0%
5-9,32068,4%,3631,3%,22,<1%,0,0%,0,0%,0,0%,0,0%
10-14,33310,4%,4636,4%,33,<1%,<5,--,<5,--,0,0%,<5,--
15-18,38983,5%,6237,5%,59,1%,0,0%,767,<1%,389,<1%,1138,<1%
19-24,82571,11%,14974,12%,230,2%,<5,--,7756,3%,4705,4%,12209,3%
25-29,63941,8%,11129,9%,293,3%,<5,--,9624,4%,6248,6%,15618,4%
30-39,113834,15%,19617,16%,573,6%,11,<1%,21778,8%,13519,13%,34588,10%
40-49,93001,12%,16779,13%,789,9%,32,1%,23934,9%,14257,14%,37205,10%
50-59,108922,14%,18596,15%,1313,14%,112,4%,33635,13%,19092,18%,51109,14%
60-69,90893,12%,13341,11%,1780,19%,304,12%,63773,25%,18343,17%,80557,23%
70-79,48846,6%,6967,6%,1901,21%,584,23%,60645,24%,14348,14%,74570,21%
80-89,21485,3%,4348,3%,1484,16%,821,32%,26770,10%,10065,10%,36739,10%
90+,8790,1%,2441,2%,671,7%,702,27%,8099,3%,4071,4%,12154,3%
Pending further information,1061,--,6,--,7,--,0,--,<5,--,0,--,<5,--
Race and Ethnicity,,,,,,,,,,,,,,
Hispanic or Latino†,56080,16%,31970,29%,1932,26%,214,10%,18964,8%,8032,9%,26407,9%
American Indian or Alaska Native*,4766,1%,332,<1%,23,<1%,<5,--,580,<1%,209,<1%,769,<1%
Asian*,9056,3%,2423,2%,169,2%,38,2%,3965,2%,1563,2%,5426,2%
Black or African American*,18922,6%,7976,7%,610,8%,106,5%,7684,3%,3626,4%,11161,4%
Native Hawaiian or Other Pacific Islander*,536,<1%,0,0%,0,0%,0,0%,364,<1%,117,<1%,475,<1%
White*,227623,67%,62051,57%,4438,60%,1854,84%,180621,81%,66509,77%,242676,80%
Other race*,20666,6%,2422,2%,206,3%,<5,--,11455,5%,5763,7%,16852,6%
Multiple race*,4255,1%,1274,1%,43,1%,<5,--,--,--,--,--,--,--
Declined,9819,--,2569,--,96,--,0,--,0,--,0,--,0,--
Unknown or pending further information,410410,--,14584,--,1714,--,356,--,33150,--,19218,--,52123,--
Sex Assigned at Birth,,,,,,,,,,,,,,
Female,356280,54%,63843,53%,4402,50%,1331,52%,154872,60%,66755,64%,218055,61%
Male,301950,46%,56530,47%,4425,50%,1241,48%,101703,40%,38187,36%,137536,39%
Other,196,<1%,172,<1%,14,<1%,<5,--,0,0%,0,0%,0,0%
Pending further information,103707,--,5056,--,390,--,0,--,208,--,95,--,298,--
"Lesbian, Gay, Bisexual, Transgender, Queer, or Other Gender or Sexual Minority (LGBTQ+)‡",,,,,,,,,,,,,,
Yes,--,--,3036,5%,98,3%,--,--,--,--,--,--,--,--
No,--,--,62400,95%,3215,97%,--,--,--,--,--,--,--,--
Unknown or pending,--,--,60165,--,5918,--,--,--,--,--,--,--,--,--
Gender Identity‡,,,,,,,,,,,,,,
Cisgender woman,--,--,40336,53%,4595,50%,--,--,--,--,--,--,--,--
Cisgender man,--,--,35351,46%,4617,50%,--,--,--,--,--,--,--,--
"Gender non-conforming, gender non-binary, or transgender",--,--,526,1%,0,0%,--,--,--,--,--,--,--,--
Other,--,--,235,<1%,<5,--,--,--,--,--,--,--,--,--
Declined,--,--,23012,--,0,--,--,--,--,--,--,--,--,--
Unknown or pending,--,--,26141,--,17,--,--,--,--,--,--,--,--,--
Sexual Orientation‡,,,,,,,,,,,,,,
Asexual,--,--,41,<1%,5,<1%,--,--,--,--,--,--,--,--
Bisexual,--,--,630,1%,8,<1%,--,--,--,--,--,--,--,--
Lesbian or gay,--,--,1122,2%,40,1%,--,--,--,--,--,--,--,--
Queer,--,--,133,<1%,<5,--,--,--,--,--,--,--,--,--
Straight,--,--,65828,96%,3405,98%,--,--,--,--,--,--,--,--
Other,--,--,612,1%,14,<1%,--,--,--,--,--,--,--,--
Declined,--,--,28311,--,2084,--,--,--,--,--,--,--,--,--
Unknown or pending,--,--,28924,--,3674,--,--,--,--,--,--,--,--,--
Source: Rhode Island Department of Health; Rhode Island Child and Adult Immunization Registry,,,,,,,,,,,,,,
"Notes: † Includes people who identify as any race. * Includes people who identify as non-Hispanic ethnicity or have unknown or declined ethnicity. Vaccination data for multiple race is not available at this time because many sites do not allow for selection of multiple races at the point of data collection. ‡Gender identity and sexual orientation data collection began on 6/1/20. Detailed gender identity and sexual orientation definitions are available at: https://pflag.org/glossary. Percentages for counts of less than five are not shown. Percentages do not include people with unknown or declined demographics or those that are pending further information. People tested for COVID-19, COVID-19 cases, COVID-19 associated deaths, and all vaccine data exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Last Updated:,3/10/2021,,,,,,,,,,,,,
