ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases
1,Male,412,50.5%,106,50.0%,167,47.9%,75,59.1%,64,50.0%,60.0%,50.0%,39,6
2,Female,403,49.4%,106,50.0%,182,52.1%,52,40.9%,63,49.2%,40.0%,50.0%,26,6
3,Unknown Sex,1,0.1%,0,0.0%,0,0.0%,0,0.0%,1,0.8%,0.0%,0.0%,0,0
4,<10 Years,29,3.6%,2,0.9%,15,4.3%,2,1.6%,10,7.8%,0.0%,0.0%,0,0
5,10-19 Years,66,8.1%,16,7.5%,30,8.6%,6,4.7%,14,10.9%,1.5%,0.0%,1,0
6,20-29 Years,154,18.9%,33,15.6%,74,21.2%,15,11.8%,32,25.0%,7.7%,0.0%,5,0
7,30-39 Years,155,19.0%,46,21.7%,59,16.9%,25,19.7%,25,19.5%,9.2%,16.7%,6,2
8,40-49 Years,126,15.4%,35,16.5%,47,13.5%,26,20.5%,18,14.1%,6.2%,0.0%,4,0
9,50-59 Years,135,16.5%,35,16.5%,68,19.5%,19,15.0%,13,10.2%,16.9%,8.3%,11,1
10,60-69 Years,87,10.7%,24,11.3%,33,9.5%,20,15.7%,10,7.8%,16.9%,8.3%,11,1
11,70-79 Years,47,5.8%,16,7.5%,15,4.3%,13,10.2%,3,2.3%,30.8%,50.0%,20,6
12,80+ Years,17,2.1%,5,2.4%,8,2.3%,1,0.8%,3,2.3%,10.8%,16.7%,7,2
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0
14,Hispanic,53,6.5%,12,5.7%,29,8.3%,12,9.4%,0,0.0%,7.7%,0.0%,5,0
15,Non-Hispanic,626,76.7%,184,86.8%,302,86.5%,108,85.0%,32,25.0%,87.7%,100.0%,57,12
16,Unknown Ethnicity,137,16.8%,16,7.5%,18,5.2%,7,5.5%,96,75.0%,4.6%,0.0%,3,0
17,White,470,57.6%,133,62.7%,216,61.9%,102,80.3%,19,14.8%,58.5%,58.3%,38,7
18,Black,23,2.8%,8,3.8%,7,2.0%,6,4.7%,2,1.6%,0.0%,0.0%,0,0
19,AI/AN,92,11.3%,35,16.5%,37,10.6%,1,0.8%,19,14.8%,13.8%,16.7%,9,2
20,Asian,59,7.2%,12,5.7%,41,11.7%,5,3.9%,1,0.8%,12.3%,16.7%,8,2
21,NHOPI,21,2.6%,5,2.4%,14,4.0%,1,0.8%,1,0.8%,7.7%,8.3%,5,1
22,Multiple,29,3.6%,10,4.7%,13,3.7%,4,3.1%,2,1.6%,0.0%,0.0%,0,0
23,Other,16,2.0%,2,0.9%,9,2.6%,4,3.1%,1,0.8%,6.2%,0.0%,4,0
24,Unknown Race,106,13.0%,7,3.3%,12,3.4%,4,3.1%,83,64.8%,1.5%,0.0%,1,0
