Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,18937,51.5%,742,52.5%,936,51.1%,196,52.7%,16837,51.5%,444,54.7%,86,59.3%,1
Female,17803,48.4%,672,47.5%,897,48.9%,176,47.3%,15853,48.5%,367,45.3%,59,40.7%,2
Unknown Sex,18,0.0%,0,0.0%,0,0.0%,0,0.0%,18,0.1%,0,0.0%,0,0.0%,3
<10 Years,2204,6.0%,30,2.1%,121,6.6%,9,2.4%,2034,6.2%,8,1.0%,0,0.0%,4
10-19 Years,4346,11.8%,121,8.6%,211,11.5%,55,14.8%,3906,11.9%,7,0.9%,0,0.0%,5
20-29 Years,7549,20.5%,400,28.3%,475,25.9%,62,16.7%,6522,19.9%,41,5.1%,2,1.4%,6
30-39 Years,7028,19.1%,260,18.4%,327,17.8%,77,20.7%,6276,19.2%,72,8.9%,5,3.4%,7
40-49 Years,5256,14.3%,215,15.2%,232,12.7%,58,15.6%,4690,14.3%,78,9.6%,7,4.8%,8
50-59 Years,4744,12.9%,175,12.4%,239,13.0%,49,13.2%,4235,12.9%,131,16.2%,10,6.9%,9
60-69 Years,3435,9.3%,144,10.2%,134,7.3%,39,10.5%,3066,9.4%,181,22.3%,30,20.7%,10
70-79 Years,1551,4.2%,52,3.7%,61,3.3%,22,5.9%,1391,4.3%,175,21.6%,41,28.3%,11
80+ Years,645,1.8%,17,1.2%,33,1.8%,1,0.3%,588,1.8%,118,14.5%,50,34.5%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,1862,5.1%,112,7.9%,174,9.5%,39,10.5%,1523,4.7%,37,4.6%,4,2.8%,14
Non-Hispanic,17412,47.4%,1102,77.9%,1390,75.8%,286,76.9%,14540,44.5%,579,71.4%,117,80.7%,15
UI Ethnicity,16645,45.3%,0,0.0%,0,0.0%,0,0.0%,16645,50.9%,180,22.2%,21,14.5%,16
Unknown Ethnicity,839,2.3%,200,14.1%,269,14.7%,47,12.6%,0,0.0%,15,1.8%,3,2.1%,17
White,10743,29.2%,637,45.0%,781,42.6%,225,60.5%,9033,27.6%,251,30.9%,51,35.2%,18
Black,962,2.6%,91,6.4%,115,6.3%,21,5.6%,727,2.2%,33,4.1%,6,4.1%,19
AI/AN,7508,20.4%,348,24.6%,409,22.3%,43,11.6%,6651,20.3%,222,27.4%,54,37.2%,20
Asian,1367,3.7%,72,5.1%,95,5.2%,18,4.8%,1177,3.6%,63,7.8%,13,9.0%,21
NHOPI,1086,3.0%,73,5.2%,133,7.3%,4,1.1%,873,2.7%,89,11.0%,10,6.9%,22
Multiple,2663,7.2%,71,5.0%,90,4.9%,13,3.5%,2462,7.5%,55,6.8%,6,4.1%,23
Other,4466,12.1%,35,2.5%,49,2.7%,15,4.0%,4255,13.0%,33,4.1%,3,2.1%,24
UI Race,7530,20.5%,0,0.0%,0,0.0%,0,0.0%,7530,23.0%,58,7.2%,2,1.4%,25
Unknown Race,433,1.2%,87,6.2%,161,8.8%,33,8.9%,0,0.0%,7,0.9%,0,0.0%,26
