Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,34450,52.1%,1124,52.0%,1453,50.0%,286,52.6%,31070,52.2%,829,55.0%,207,60.3%,1
Female,31650,47.9%,1039,48.0%,1453,50.0%,258,47.4%,28422,47.8%,679,45.0%,136,39.7%,2
Unknown Sex,20,0.0%,0,0.0%,0,0.0%,0,0.0%,20,0.0%,0,0.0%,0,0.0%,3
<10 Years,4823,7.3%,69,3.2%,274,9.4%,18,3.3%,4416,7.4%,16,1.1%,0,0.0%,4
10-19 Years,8628,13.0%,216,10.0%,386,13.3%,72,13.2%,7849,13.2%,15,1.0%,0,0.0%,5
20-29 Years,13547,20.5%,537,24.8%,625,21.5%,92,16.9%,12092,20.3%,62,4.1%,6,1.7%,6
30-39 Years,12478,18.9%,377,17.4%,471,16.2%,95,17.5%,11373,19.1%,121,8.0%,7,2.0%,7
40-49 Years,8996,13.6%,299,13.8%,341,11.7%,82,15.1%,8147,13.7%,153,10.1%,16,4.7%,8
50-59 Years,8372,12.7%,270,12.5%,358,12.3%,75,13.8%,7551,12.7%,264,17.5%,23,6.7%,9
60-69 Years,5769,8.7%,228,10.5%,216,7.4%,69,12.7%,5121,8.6%,337,22.3%,67,19.5%,10
70-79 Years,2483,3.8%,107,4.9%,133,4.6%,36,6.6%,2142,3.6%,316,21.0%,105,30.6%,11
80+ Years,1024,1.5%,60,2.8%,102,3.5%,5,0.9%,821,1.4%,224,14.9%,119,34.7%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3353,5.1%,138,6.4%,221,7.6%,57,10.5%,2902,4.9%,76,5.0%,16,4.7%,14
Non-Hispanic,34686,52.5%,1739,80.4%,2280,78.5%,412,75.7%,29841,50.1%,1124,74.5%,321,93.6%,15
UI Ethnicity,26769,40.5%,0,0.0%,0,0.0%,0,0.0%,26769,45.0%,286,19.0%,4,1.2%,16
Unknown Ethnicity,1312,2.0%,286,13.2%,405,13.9%,75,13.8%,0,0.0%,22,1.5%,2,0.6%,17
White,21855,33.1%,896,41.4%,1140,39.2%,322,59.2%,19228,32.3%,551,36.5%,152,44.3%,18
Black,1595,2.4%,98,4.5%,132,4.5%,22,4.0%,1325,2.2%,53,3.5%,10,2.9%,19
AI/AN,13755,20.8%,741,34.3%,896,30.8%,77,14.2%,11820,19.9%,388,25.7%,120,35.0%,20
Asian,2537,3.8%,94,4.3%,171,5.9%,25,4.6%,2216,3.7%,125,8.3%,33,9.6%,21
NHOPI,1700,2.6%,81,3.7%,161,5.5%,4,0.7%,1445,2.4%,136,9.0%,20,5.8%,22
Multiple,4965,7.5%,89,4.1%,126,4.3%,22,4.0%,4687,7.9%,79,5.2%,6,1.7%,23
Other,7656,11.6%,56,2.6%,75,2.6%,21,3.9%,7362,12.4%,70,4.6%,1,0.3%,24
UI Race,11429,17.3%,0,0.0%,0,0.0%,0,0.0%,11429,19.2%,97,6.4%,0,0.0%,25
Unknown Race,628,0.9%,108,5.0%,205,7.1%,51,9.4%,0,0.0%,9,0.6%,1,0.3%,26
