Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,2804,50.2%,364,49.3%,504,49.2%,135,51.7%,1771,50.5%,131,56.5%,26,65.0%,1,999,47.7%
Female,2780,49.8%,374,50.7%,520,50.8%,126,48.3%,1735,49.5%,101,43.5%,14,35.0%,2,1097,52.3%
Unknown Sex,2,0.0%,0,0.0%,0,0.0%,0,0.0%,2,0.1%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,265,4.7%,14,1.9%,66,6.4%,8,3.1%,176,5.0%,1,0.4%,0,0.0%,4,97,4.6%
10-19 Years,582,10.4%,55,7.5%,95,9.3%,37,14.2%,383,10.9%,1,0.4%,0,0.0%,5,230,11.0%
20-29 Years,1354,24.2%,191,25.9%,262,25.6%,49,18.8%,839,23.9%,14,6.0%,0,0.0%,6,542,25.9%
30-39 Years,1035,18.5%,150,20.3%,188,18.4%,50,19.2%,637,18.2%,20,8.6%,2,5.0%,7,409,19.5%
40-49 Years,771,13.8%,118,16.0%,121,11.8%,40,15.3%,481,13.7%,26,11.2%,2,5.0%,8,277,13.2%
50-59 Years,731,13.1%,91,12.3%,141,13.8%,35,13.4%,463,13.2%,43,18.5%,4,10.0%,9,259,12.4%
60-69 Years,516,9.2%,73,9.9%,87,8.5%,26,10.0%,326,9.3%,46,19.8%,5,12.5%,10,182,8.7%
70-79 Years,234,4.2%,36,4.9%,38,3.7%,15,5.7%,144,4.1%,51,22.0%,17,42.5%,11,77,3.7%
80+ Years,98,1.8%,10,1.4%,26,2.5%,1,0.4%,59,1.7%,30,12.9%,10,25.0%,12,23,1.1%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,273,4.9%,56,7.6%,93,9.1%,26,10.0%,95,2.7%,13,5.6%,1,2.5%,14,153,7.3%
Non-Hispanic,2000,35.8%,538,72.9%,669,65.3%,180,69.0%,591,16.8%,172,74.1%,38,95.0%,15,1190,56.8%
UI Ethnicity,2822,50.5%,0,0.0%,0,0.0%,0,0.0%,2822,80.4%,34,14.7%,0,0.0%,16,455,21.7%
Unknown Ethnicity,491,8.8%,144,19.5%,262,25.6%,55,21.1%,0,0.0%,13,5.6%,1,2.5%,17,298,14.2%
White,1259,22.5%,317,43.0%,409,39.9%,169,64.8%,356,10.1%,70,30.2%,17,42.5%,18,784,37.4%
Black,183,3.3%,44,6.0%,50,4.9%,15,5.7%,71,2.0%,7,3.0%,0,0.0%,19,89,4.2%
AI/AN,886,15.9%,164,22.2%,181,17.7%,12,4.6%,516,14.7%,61,26.3%,14,35.0%,20,296,14.1%
Asian,134,2.4%,27,3.7%,52,5.1%,8,3.1%,46,1.3%,12,5.2%,3,7.5%,21,83,4.0%
NHOPI,222,4.0%,50,6.8%,68,6.6%,2,0.8%,101,2.9%,42,18.1%,5,12.5%,22,107,5.1%
Multiple,179,3.2%,30,4.1%,37,3.6%,10,3.8%,100,2.9%,3,1.3%,0,0.0%,23,70,3.3%
Other,156,2.8%,15,2.0%,29,2.8%,10,3.8%,101,2.9%,7,3.0%,0,0.0%,24,56,2.7%
UI Race,2217,39.7%,0,0.0%,0,0.0%,0,0.0%,2217,63.2%,21,9.1%,0,0.0%,25,391,18.7%
Unknown Race,350,6.3%,91,12.3%,198,19.3%,35,13.4%,0,0.0%,9,3.9%,1,2.5%,26,220,10.5%
