Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,13573,50.1%,741,52.4%,935,51.0%,195,52.8%,11623,49.9%,331,54.7%,63,61.8%,1
Female,13477,49.8%,672,47.6%,897,49.0%,174,47.2%,11657,50.0%,274,45.3%,39,38.2%,2
Unknown Sex,35,0.1%,0,0.0%,0,0.0%,0,0.0%,35,0.2%,0,0.0%,0,0.0%,3
<10 Years,1568,5.8%,30,2.1%,121,6.6%,9,2.4%,1404,6.0%,5,0.8%,0,0.0%,4
10-19 Years,3217,11.9%,121,8.6%,211,11.5%,54,14.6%,2811,12.1%,4,0.7%,0,0.0%,5
20-29 Years,5728,21.1%,401,28.4%,475,25.9%,62,16.8%,4751,20.4%,30,5.0%,2,2.0%,6
30-39 Years,5172,19.1%,259,18.3%,328,17.9%,76,20.6%,4475,19.2%,53,8.8%,3,2.9%,7
40-49 Years,3866,14.3%,214,15.1%,231,12.6%,58,15.7%,3340,14.3%,66,10.9%,7,6.9%,8
50-59 Years,3442,12.7%,175,12.4%,240,13.1%,48,13.0%,2971,12.7%,100,16.5%,8,7.8%,9
60-69 Years,2504,9.2%,144,10.2%,132,7.2%,39,10.6%,2175,9.3%,139,23.0%,18,17.6%,10
70-79 Years,1113,4.1%,52,3.7%,61,3.3%,22,6.0%,969,4.2%,121,20.0%,28,27.5%,11
80+ Years,475,1.8%,17,1.2%,33,1.8%,1,0.3%,419,1.8%,87,14.4%,36,35.3%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,1634,6.0%,112,7.9%,174,9.5%,39,10.6%,1299,5.6%,33,5.5%,2,2.0%,14
Non-Hispanic,14805,54.7%,1102,78.0%,1390,75.9%,286,77.5%,11945,51.2%,457,75.5%,85,83.3%,15
UI Ethnicity,10071,37.2%,0,0.0%,0,0.0%,0,0.0%,10071,43.2%,100,16.5%,12,11.8%,16
Unknown Ethnicity,575,2.1%,199,14.1%,268,14.6%,44,11.9%,0,0.0%,15,2.5%,3,2.9%,17
White,8984,33.2%,637,45.1%,781,42.6%,223,60.4%,7307,31.3%,186,30.7%,36,35.3%,18
Black,863,3.2%,91,6.4%,115,6.3%,21,5.7%,629,2.7%,30,5.0%,4,3.9%,19
AI/AN,6002,22.2%,348,24.6%,409,22.3%,43,11.7%,5153,22.1%,175,28.9%,32,31.4%,20
Asian,1104,4.1%,72,5.1%,95,5.2%,18,4.9%,916,3.9%,38,6.3%,9,8.8%,21
NHOPI,946,3.5%,73,5.2%,133,7.3%,4,1.1%,734,3.1%,73,12.1%,9,8.8%,22
Multiple,1672,6.2%,71,5.0%,89,4.9%,13,3.5%,1492,6.4%,38,6.3%,4,3.9%,23
Other,1958,7.2%,34,2.4%,49,2.7%,15,4.1%,1859,8.0%,23,3.8%,2,2.0%,24
UI Race,5225,19.3%,0,0.0%,0,0.0%,0,0.0%,5225,22.4%,35,5.8%,6,5.9%,25
Unknown Race,331,1.2%,87,6.2%,161,8.8%,32,8.7%,0,0.0%,7,1.2%,0,0.0%,26
