ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,1600,48.8%,252,48.9%,347,48.9%,108,55.1%,877,47.9%,59.7%,62.5%,80,15,467,50.1%
2,Female,1680,51.2%,263,51.1%,363,51.1%,88,44.9%,952,52.1%,40.3%,37.5%,54,9,465,49.9%
3,Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,155,4.7%,9,1.7%,46,6.5%,3,1.5%,97,5.3%,0.0%,0.0%,0,0,38,4.1%
5,10-19 Years,336,10.2%,42,8.2%,58,8.2%,20,10.2%,208,11.4%,0.7%,0.0%,1,0,87,9.3%
6,20-29 Years,803,24.5%,128,24.9%,177,24.9%,30,15.3%,460,25.2%,6.7%,0.0%,9,0,211,22.6%
7,30-39 Years,619,18.9%,104,20.2%,134,18.9%,40,20.4%,336,18.4%,11.2%,8.3%,15,2,188,20.2%
8,40-49 Years,444,13.5%,81,15.7%,88,12.4%,36,18.4%,234,12.8%,9.0%,4.2%,12,1,137,14.7%
9,50-59 Years,424,12.9%,66,12.8%,109,15.4%,27,13.8%,221,12.1%,19.4%,12.5%,26,3,128,13.7%
10,60-69 Years,309,9.4%,50,9.7%,65,9.2%,25,12.8%,167,9.1%,19.4%,12.5%,26,3,98,10.5%
11,70-79 Years,140,4.3%,27,5.2%,23,3.2%,14,7.1%,76,4.2%,23.1%,45.8%,31,11,38,4.1%
12,80+ Years,50,1.5%,8,1.6%,10,1.4%,1,0.5%,30,1.6%,10.4%,16.7%,14,4,7,0.8%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,171,5.2%,42,8.2%,65,9.2%,24,12.2%,38,2.1%,5.2%,0.0%,7,0,96,10.3%
15,Non-Hispanic,1322,40.3%,407,79.0%,512,72.1%,147,75.0%,243,13.3%,79.9%,100.0%,107,24,755,81.0%
16,UI Ethnicity,1548,47.2%,0,0.0%,0,0.0%,0,0.0%,1548,84.6%,11.9%,0.0%,16,0,1,0.1%
17,Unknown Ethnicity,239,7.3%,66,12.8%,133,18.7%,25,12.8%,0,0.0%,3.0%,0.0%,4,0,80,8.6%
18,White,901,27.5%,250,48.5%,341,48.0%,138,70.4%,168,9.2%,36.6%,45.8%,49,11,525,56.3%
19,Black,93,2.8%,31,6.0%,19,2.7%,12,6.1%,29,1.6%,3.0%,0.0%,4,0,36,3.9%
20,AI/AN,414,12.6%,112,21.7%,116,16.3%,9,4.6%,171,9.3%,25.4%,33.3%,34,8,140,15.0%
21,Asian,94,2.9%,20,3.9%,46,6.5%,7,3.6%,20,1.1%,7.5%,8.3%,10,2,61,6.5%
22,NHOPI,128,3.9%,30,5.8%,43,6.1%,1,0.5%,54,3.0%,15.7%,12.5%,21,3,38,4.1%
23,Multiple,92,2.8%,21,4.1%,31,4.4%,8,4.1%,31,1.7%,0.0%,0.0%,0,0,41,4.4%
24,Other,64,2.0%,9,1.7%,17,2.4%,8,4.1%,29,1.6%,3.0%,0.0%,4,0,26,2.8%
25,UI Race,1327,40.5%,0,0.0%,0,0.0%,0,0.0%,1327,72.6%,6.0%,0.0%,8,0,3,0.3%
26,Unknown Race,167,5.1%,42,8.2%,97,13.7%,13,6.6%,0,0.0%,3.0%,0.0%,4,0,62,6.7%
