Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,7632,50.0%,733,52.4%,919,50.9%,192,53.0%,5726,49.4%,234,53.1%,51,62.2%,1,3204,49.7%
Female,7638,50.0%,665,47.6%,887,49.1%,170,47.0%,5865,50.6%,207,46.9%,31,37.8%,2,3248,50.3%
Unknown Sex,4,0.0%,0,0.0%,0,0.0%,0,0.0%,4,0.0%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,827,5.4%,30,2.1%,118,6.5%,8,2.2%,668,5.8%,4,0.9%,0,0.0%,4,324,5.0%
10-19 Years,1811,11.9%,120,8.6%,210,11.6%,54,14.9%,1410,12.2%,3,0.7%,0,0.0%,5,689,10.7%
20-29 Years,3340,21.9%,396,28.3%,470,26.0%,62,17.1%,2383,20.6%,23,5.2%,1,1.2%,6,1550,24.0%
30-39 Years,2884,18.9%,255,18.2%,326,18.1%,74,20.4%,2207,19.0%,38,8.6%,2,2.4%,7,1242,19.2%
40-49 Years,2110,13.8%,213,15.2%,227,12.6%,57,15.7%,1596,13.8%,53,12.0%,5,6.1%,8,861,13.3%
50-59 Years,1972,12.9%,173,12.4%,235,13.0%,47,13.0%,1510,13.0%,73,16.6%,7,8.5%,9,847,13.1%
60-69 Years,1445,9.5%,142,10.2%,129,7.1%,39,10.8%,1125,9.7%,98,22.2%,14,17.1%,10,614,9.5%
70-79 Years,624,4.1%,52,3.7%,58,3.2%,20,5.5%,489,4.2%,90,20.4%,27,32.9%,11,237,3.7%
80+ Years,261,1.7%,17,1.2%,33,1.8%,1,0.3%,207,1.8%,59,13.4%,26,31.7%,12,88,1.4%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,903,5.9%,110,7.9%,171,9.5%,38,10.5%,577,5.0%,20,4.5%,1,1.2%,14,597,9.3%
Non-Hispanic,7380,48.3%,1070,76.5%,1345,74.5%,275,76.0%,4634,40.0%,323,73.2%,69,84.1%,15,4920,76.3%
UI Ethnicity,6384,41.8%,0,0.0%,0,0.0%,0,0.0%,6384,55.1%,82,18.6%,9,11.0%,16,567,8.8%
Unknown Ethnicity,607,4.0%,218,15.6%,290,16.1%,49,13.5%,0,0.0%,16,3.6%,3,3.7%,17,368,5.7%
White,4537,29.7%,625,44.7%,760,42.1%,217,59.9%,2908,25.1%,114,25.9%,30,36.6%,18,2788,43.2%
Black,513,3.4%,89,6.4%,114,6.3%,21,5.8%,284,2.4%,21,4.8%,3,3.7%,19,290,4.5%
AI/AN,3494,22.9%,339,24.2%,403,22.3%,41,11.3%,2679,23.1%,137,31.1%,27,32.9%,20,1444,22.4%
Asian,638,4.2%,70,5.0%,94,5.2%,18,5.0%,454,3.9%,29,6.6%,8,9.8%,21,417,6.5%
NHOPI,605,4.0%,73,5.2%,130,7.2%,4,1.1%,396,3.4%,61,13.8%,7,8.5%,22,389,6.0%
Multiple,780,5.1%,71,5.1%,88,4.9%,13,3.6%,604,5.2%,23,5.2%,2,2.4%,23,351,5.4%
Other,666,4.4%,33,2.4%,47,2.6%,14,3.9%,571,4.9%,15,3.4%,1,1.2%,24,196,3.0%
UI Race,3699,24.2%,0,0.0%,0,0.0%,0,0.0%,3699,31.9%,33,7.5%,4,4.9%,25,360,5.6%
Unknown Race,342,2.2%,98,7.0%,170,9.4%,34,9.4%,0,0.0%,8,1.8%,0,0.0%,26,217,3.4%
