Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,32584,52.1%,1077,51.7%,1399,50.1%,268,52.2%,29352,52.2%,765,55.1%,185,59.7%,1
Female,29948,47.9%,1007,48.3%,1391,49.9%,245,47.8%,26845,47.8%,624,44.9%,125,40.3%,2
Unknown Sex,15,0.0%,0,0.0%,0,0.0%,0,0.0%,15,0.0%,0,0.0%,0,0.0%,3
<10 Years,4469,7.1%,63,3.0%,257,9.2%,18,3.5%,4087,7.3%,15,1.1%,0,0.0%,4
10-19 Years,8043,12.9%,206,9.9%,372,13.3%,69,13.5%,7293,13.0%,14,1.0%,0,0.0%,5
20-29 Years,12707,20.3%,528,25.3%,600,21.5%,85,16.6%,11302,20.1%,57,4.1%,3,1.0%,6
30-39 Years,11850,18.9%,361,17.3%,454,16.3%,90,17.5%,10792,19.2%,116,8.4%,6,1.9%,7
40-49 Years,8566,13.7%,293,14.1%,324,11.6%,78,15.2%,7754,13.8%,137,9.9%,12,3.9%,8
50-59 Years,8003,12.8%,258,12.4%,354,12.7%,67,13.1%,7213,12.8%,234,16.8%,20,6.5%,9
60-69 Years,5535,8.8%,217,10.4%,203,7.3%,68,13.3%,4917,8.7%,312,22.5%,61,19.7%,10
70-79 Years,2383,3.8%,102,4.9%,127,4.6%,34,6.6%,2057,3.7%,291,21.0%,95,30.6%,11
80+ Years,991,1.6%,56,2.7%,99,3.5%,4,0.8%,797,1.4%,213,15.3%,113,36.5%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3239,5.2%,136,6.5%,220,7.9%,54,10.5%,2795,5.0%,72,5.2%,13,4.2%,14
Non-Hispanic,33468,53.5%,1669,80.1%,2191,78.5%,392,76.4%,28825,51.3%,1052,75.7%,290,93.5%,15
UI Ethnicity,24592,39.3%,0,0.0%,0,0.0%,0,0.0%,24592,43.7%,245,17.6%,5,1.6%,16
Unknown Ethnicity,1248,2.0%,279,13.4%,379,13.6%,67,13.1%,0,0.0%,20,1.4%,2,0.6%,17
White,20667,33.0%,865,41.5%,1090,39.1%,305,59.5%,18157,32.3%,491,35.3%,132,42.6%,18
Black,1521,2.4%,96,4.6%,132,4.7%,21,4.1%,1255,2.2%,50,3.6%,10,3.2%,19
AI/AN,13212,21.1%,704,33.8%,852,30.5%,74,14.4%,11370,20.2%,376,27.1%,113,36.5%,20
Asian,2472,4.0%,93,4.5%,166,5.9%,20,3.9%,2163,3.8%,120,8.6%,30,9.7%,21
NHOPI,1632,2.6%,80,3.8%,160,5.7%,4,0.8%,1379,2.5%,132,9.5%,17,5.5%,22
Multiple,4755,7.6%,87,4.2%,117,4.2%,19,3.7%,4495,8.0%,73,5.3%,5,1.6%,23
Other,7366,11.8%,55,2.6%,75,2.7%,20,3.9%,7074,12.6%,59,4.2%,1,0.3%,24
UI Race,10319,16.5%,0,0.0%,0,0.0%,0,0.0%,10319,18.4%,79,5.7%,1,0.3%,25
Unknown Race,603,1.0%,104,5.0%,198,7.1%,50,9.7%,0,0.0%,9,0.6%,1,0.3%,26
