,"All People Tested
 (Positive and Negative)",,Cases,,Hospitalizations,,Deaths,,All People At Least Partially Vaccinated,,All People Fully Vaccinated,,Total Vaccine Doses Administered,
Age Group,"N=825,508",,"N=119,060",,"N=10,062",,"N=2,660",,"N=499,136",,"N=337,610",,"N=801,105",
0-4,28226,3%,2721,2%,83,1%,<5,--,0,0%,0,0%,0,0%
5-9,36823,4%,3390,3%,27,<1%,0,0%,<5,--,0,0%,<5,--
10-14,38485,5%,4333,4%,36,<1%,<5,--,6,<1%,<5,--,6,<1%
15-18,42961,5%,5851,5%,75,1%,0,0%,11407,2%,2172,1%,13216,2%
19-24,87622,11%,14015,12%,270,3%,<5,--,30337,6%,12897,4%,40708,5%
25-29,68443,8%,10600,9%,336,3%,<5,--,26585,5%,13613,4%,38152,5%
30-39,122940,15%,18621,16%,646,6%,12,<1%,59484,12%,32161,10%,86845,11%
40-49,100438,12%,15906,13%,891,9%,33,1%,63980,13%,35524,11%,94053,12%
50-59,116770,14%,17667,15%,1478,15%,122,5%,92909,19%,55270,16%,137685,17%
60-69,97199,12%,12693,11%,1951,19%,321,12%,107045,21%,87740,26%,187569,23%
70-79,52171,6%,6690,6%,2010,20%,607,23%,69285,14%,63416,19%,130805,16%
80-89,22918,3%,4201,4%,1544,15%,838,32%,29242,6%,26827,8%,55507,7%
90+,9288,1%,2369,2%,706,7%,717,27%,8850,2%,7987,2%,16551,2%
Pending further information,1224,--,<5,--,9,--,0,--,5,--,<5,--,7,--
Race and Ethnicity,,,,,,,,,,,,,,
Hispanic or Latino†,62431,16%,30910,30%,2115,26%,220,10%,49088,11%,29399,9%,73134,10%
American Indian or Alaska Native*,4935,1%,314,<1%,29,<1%,<5,--,1573,<1%,960,<1%,2435,<1%
Asian*,10207,3%,2348,2%,186,2%,44,2%,16211,3%,7060,2%,22083,3%
Black or African American*,20841,5%,7681,7%,688,8%,109,5%,18502,4%,11255,4%,28076,4%
Native Hawaiian or Other Pacific Islander*,561,<1%,0,0%,0,0%,0,0%,796,<1%,485,<1%,1238,<1%
White*,251506,66%,59236,57%,4897,60%,1913,84%,359025,77%,249448,80%,584656,78%
Other race*,22085,6%,2302,2%,215,3%,<5,--,21832,5%,14562,5%,34744,5%
Multiple race*,6446,2%,1199,1%,55,1%,<5,--,--,--,--,--,--,--
Declined,11620,--,2474,--,114,--,0,--,0,--,0,--,0,--
Unknown or pending further information,434876,--,12596,--,1763,--,364,--,32109,--,24441,--,54739,--
Sex Assigned at Birth,,,,,,,,,,,,,,
Female,372515,54%,61188,53%,4771,50%,1370,52%,277592,56%,197107,58%,455857,57%
Male,317826,46%,53805,47%,4769,50%,1284,48%,220928,44%,140190,42%,344396,43%
Other,207,<1%,172,<1%,14,<1%,<5,--,0,0%,0,0%,0,0%
Pending further information,134960,--,3895,--,508,--,<5,--,616,--,313,--,852,--
"Lesbian, Gay, Bisexual, Transgender, Queer, or Other Gender or Sexual Minority (LGBTQ+)‡",,,,,,,,,,,,,,
Yes,--,--,2951,5%,118,3%,--,--,--,--,--,--,--,--
No,--,--,59127,95%,3611,97%,--,--,--,--,--,--,--,--
Unknown or pending,--,--,56982,--,6333,--,--,--,--,--,--,--,--,--
Gender Identity‡,,,,,,,,,,,,,,
Cisgender woman,--,--,38443,53%,5039,50%,--,--,--,--,--,--,--,--
Cisgender man,--,--,33486,46%,5002,50%,--,--,--,--,--,--,--,--
"Gender non-conforming, gender non-binary, or transgender",--,--,540,1%,0,0%,--,--,--,--,--,--,--,--
Other,--,--,226,<1%,<5,--,--,--,--,--,--,--,--,--
Declined,--,--,22031,--,0,--,--,--,--,--,--,--,--,--
Unknown or pending,--,--,24334,--,19,--,--,--,--,--,--,--,--,--
Sexual Orientation‡,,,,,,,,,,,,,,
Asexual,--,--,38,<1%,5,<1%,--,--,--,--,--,--,--,--
Bisexual,--,--,603,1%,12,<1%,--,--,--,--,--,--,--,--
Lesbian or gay,--,--,1079,2%,46,1%,--,--,--,--,--,--,--,--
Queer,--,--,129,<1%,<5,--,--,--,--,--,--,--,--,--
Straight,--,--,63031,96%,3863,98%,--,--,--,--,--,--,--,--
Other,--,--,592,1%,19,<1%,--,--,--,--,--,--,--,--
Declined,--,--,26522,--,2496,--,--,--,--,--,--,--,--,--
Unknown or pending,--,--,27066,--,3620,--,--,--,--,--,--,--,--,--
Source: Rhode Island Department of Health; Rhode Island Child and Adult Immunization Registry,,,,,,,,,,,,,,
"Notes: † Includes people who identify as any race. * Includes people who identify as non-Hispanic ethnicity or have unknown or declined ethnicity. Vaccination data for multiple race is not available at this time because many sites do not allow for selection of multiple races at the point of data collection. ‡Gender identity and sexual orientation data collection began on 6/1/20. Detailed gender identity and sexual orientation definitions are available at: https://pflag.org/glossary. Percentages for counts of less than five are not shown. Percentages do not include people with unknown or declined demographics or those that are pending further information. Testing data exclude asymptomatic K-12 and employer test results that are reported to RIDOH in aggregate form. People tested for COVID-19, COVID-19 cases, COVID-19 associated deaths, and all vaccine data exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Last Updated:,4/28/2021,,,,,,,,,,,,,
