Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,33829,52.1%,1104,51.8%,1433,49.9%,280,52.5%,30503,52.2%,803,54.6%,205,60.1%,1
Female,31075,47.9%,1027,48.2%,1441,50.1%,253,47.5%,27883,47.7%,668,45.4%,136,39.9%,2
Unknown Sex,12,0.0%,0,0.0%,0,0.0%,0,0.0%,12,0.0%,0,0.0%,0,0.0%,3
<10 Years,4702,7.2%,66,3.1%,270,9.4%,18,3.4%,4304,7.4%,17,1.2%,0,0.0%,4
10-19 Years,8428,13.0%,213,10.0%,381,13.3%,72,13.5%,7657,13.1%,15,1.0%,0,0.0%,5
20-29 Years,13288,20.5%,534,25.1%,616,21.4%,89,16.7%,11853,20.3%,60,4.1%,5,1.5%,6
30-39 Years,12280,18.9%,375,17.6%,468,16.3%,91,17.1%,11185,19.2%,121,8.2%,7,2.1%,7
40-49 Years,8843,13.6%,296,13.9%,337,11.7%,82,15.4%,8006,13.7%,148,10.1%,16,4.7%,8
50-59 Years,8232,12.7%,260,12.2%,356,12.4%,72,13.5%,7428,12.7%,254,17.3%,22,6.5%,9
60-69 Years,5677,8.7%,222,10.4%,213,7.4%,68,12.8%,5039,8.6%,329,22.4%,67,19.6%,10
70-79 Years,2452,3.8%,106,5.0%,131,4.6%,36,6.8%,2114,3.6%,305,20.7%,105,30.8%,11
80+ Years,1014,1.6%,59,2.8%,102,3.5%,5,0.9%,812,1.4%,222,15.1%,119,34.9%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3322,5.1%,137,6.4%,221,7.7%,57,10.7%,2872,4.9%,76,5.2%,16,4.7%,14
Non-Hispanic,34286,52.8%,1708,80.2%,2253,78.4%,403,75.6%,29514,50.5%,1105,75.1%,319,93.5%,15
UI Ethnicity,26012,40.1%,0,0.0%,0,0.0%,0,0.0%,26012,44.5%,267,18.2%,4,1.2%,16
Unknown Ethnicity,1296,2.0%,286,13.4%,400,13.9%,73,13.7%,0,0.0%,23,1.6%,2,0.6%,17
White,21446,33.0%,878,41.2%,1121,39.0%,315,59.1%,18869,32.3%,533,36.2%,151,44.3%,18
Black,1579,2.4%,97,4.6%,132,4.6%,22,4.1%,1311,2.2%,52,3.5%,10,2.9%,19
AI/AN,13567,20.9%,728,34.2%,886,30.8%,77,14.4%,11657,20.0%,384,26.1%,120,35.2%,20
Asian,2511,3.9%,94,4.4%,170,5.9%,23,4.3%,2193,3.8%,123,8.4%,32,9.4%,21
NHOPI,1671,2.6%,81,3.8%,160,5.6%,4,0.8%,1417,2.4%,135,9.2%,20,5.9%,22
Multiple,4910,7.6%,89,4.2%,126,4.4%,21,3.9%,4633,7.9%,80,5.4%,6,1.8%,23
Other,7558,11.6%,55,2.6%,75,2.6%,21,3.9%,7265,12.4%,65,4.4%,1,0.3%,24
UI Race,11053,17.0%,0,0.0%,0,0.0%,0,0.0%,11053,18.9%,90,6.1%,0,0.0%,25
Unknown Race,621,1.0%,109,5.1%,204,7.1%,50,9.4%,0,0.0%,9,0.6%,1,0.3%,26
