Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,26159,52.0%,835,52.0%,1035,51.5%,221,53.5%,23711,52.0%,631,55.8%,140,61.4%,1
Female,24127,48.0%,771,48.0%,976,48.5%,192,46.5%,21872,48.0%,499,44.2%,88,38.6%,2
Unknown Sex,10,0.0%,0,0.0%,0,0.0%,0,0.0%,10,0.0%,0,0.0%,0,0.0%,3
<10 Years,3237,6.4%,35,2.2%,141,7.0%,14,3.4%,3023,6.6%,11,1.0%,0,0.0%,4
10-19 Years,5980,11.9%,136,8.5%,244,12.1%,60,14.5%,5469,12.0%,8,0.7%,0,0.0%,5
20-29 Years,10450,20.8%,428,26.7%,493,24.5%,67,16.2%,9322,20.4%,52,4.6%,3,1.3%,6
30-39 Years,9621,19.1%,286,17.8%,353,17.6%,81,19.6%,8774,19.2%,89,7.9%,6,2.6%,7
40-49 Years,6970,13.9%,237,14.8%,251,12.5%,65,15.7%,6334,13.9%,104,9.2%,8,3.5%,8
50-59 Years,6495,12.9%,202,12.6%,255,12.7%,54,13.1%,5906,13.0%,189,16.7%,18,7.9%,9
60-69 Years,4641,9.2%,168,10.5%,142,7.1%,47,11.4%,4193,9.2%,250,22.1%,41,18.0%,10
70-79 Years,2039,4.1%,74,4.6%,84,4.2%,23,5.6%,1818,4.0%,250,22.1%,71,31.1%,11
80+ Years,863,1.7%,40,2.5%,48,2.4%,2,0.5%,754,1.7%,177,15.7%,81,35.5%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2730,5.4%,122,7.6%,181,9.0%,44,10.7%,2357,5.2%,58,5.1%,10,4.4%,14
Non-Hispanic,26416,52.5%,1268,79.0%,1559,77.5%,317,76.8%,23044,50.5%,850,75.2%,212,93.0%,15
UI Ethnicity,20192,40.1%,0,0.0%,0,0.0%,0,0.0%,20192,44.3%,202,17.9%,5,2.2%,16
Unknown Ethnicity,958,1.9%,216,13.4%,271,13.5%,52,12.6%,0,0.0%,20,1.8%,1,0.4%,17
White,15742,31.3%,715,44.5%,854,42.5%,253,61.3%,13751,30.2%,369,32.7%,87,38.2%,18
Black,1285,2.6%,93,5.8%,116,5.8%,21,5.1%,1041,2.3%,45,4.0%,9,3.9%,19
AI/AN,10724,21.3%,435,27.1%,491,24.4%,51,12.3%,9642,21.1%,302,26.7%,90,39.5%,20
Asian,2008,4.0%,78,4.9%,101,5.0%,19,4.6%,1788,3.9%,109,9.6%,23,10.1%,21
NHOPI,1393,2.8%,76,4.7%,139,6.9%,4,1.0%,1169,2.6%,121,10.7%,16,7.0%,22
Multiple,3965,7.9%,73,4.5%,92,4.6%,13,3.1%,3757,8.2%,67,5.9%,2,0.9%,23
Other,6338,12.6%,42,2.6%,55,2.7%,16,3.9%,6101,13.4%,47,4.2%,0,0.0%,24
UI Race,8344,16.6%,0,0.0%,0,0.0%,0,0.0%,8344,18.3%,61,5.4%,0,0.0%,25
Unknown Race,497,1.0%,94,5.9%,163,8.1%,36,8.7%,0,0.0%,9,0.8%,1,0.4%,26
