Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,25395,52.0%,822,52.0%,1020,51.5%,218,53.4%,22981,52.0%,597,55.1%,136,61.0%,1
Female,23388,47.9%,759,48.0%,961,48.5%,190,46.6%,21167,47.9%,485,44.8%,87,39.0%,2
Unknown Sex,14,0.0%,0,0.0%,0,0.0%,0,0.0%,14,0.0%,1,0.1%,0,0.0%,3
<10 Years,3115,6.4%,34,2.2%,135,6.8%,14,3.4%,2908,6.6%,11,1.0%,0,0.0%,4
10-19 Years,5779,11.8%,136,8.6%,236,11.9%,60,14.7%,5277,11.9%,8,0.7%,0,0.0%,5
20-29 Years,10115,20.7%,425,26.9%,493,24.9%,67,16.4%,8990,20.4%,49,4.5%,3,1.3%,6
30-39 Years,9367,19.2%,285,18.0%,346,17.5%,81,19.9%,8530,19.3%,88,8.1%,6,2.7%,7
40-49 Years,6786,13.9%,231,14.6%,248,12.5%,63,15.4%,6161,14.0%,101,9.3%,8,3.6%,8
50-59 Years,6310,12.9%,196,12.4%,253,12.8%,53,13.0%,5733,13.0%,175,16.2%,18,8.1%,9
60-69 Years,4508,9.2%,164,10.4%,140,7.1%,45,11.0%,4068,9.2%,240,22.2%,41,18.4%,10
70-79 Years,1976,4.0%,72,4.6%,83,4.2%,23,5.6%,1760,4.0%,241,22.3%,68,30.5%,11
80+ Years,841,1.7%,38,2.4%,47,2.4%,2,0.5%,735,1.7%,170,15.7%,79,35.4%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2698,5.5%,121,7.7%,181,9.1%,43,10.5%,2328,5.3%,55,5.1%,9,4.0%,14
Non-Hispanic,25873,53.0%,1247,78.9%,1532,77.3%,313,76.7%,22557,51.1%,822,75.9%,210,94.2%,15
UI Ethnicity,19277,39.5%,0,0.0%,0,0.0%,0,0.0%,19277,43.7%,188,17.4%,3,1.3%,16
Unknown Ethnicity,949,1.9%,213,13.5%,268,13.5%,52,12.7%,0,0.0%,18,1.7%,1,0.4%,17
White,15401,31.6%,705,44.6%,842,42.5%,250,61.3%,13436,30.4%,353,32.6%,84,37.7%,18
Black,1264,2.6%,92,5.8%,116,5.9%,21,5.1%,1021,2.3%,41,3.8%,9,4.0%,19
AI/AN,10266,21.0%,425,26.9%,476,24.0%,49,12.0%,9216,20.9%,293,27.1%,88,39.5%,20
Asian,1966,4.0%,75,4.7%,101,5.1%,19,4.7%,1749,4.0%,104,9.6%,22,9.9%,21
NHOPI,1381,2.8%,75,4.7%,139,7.0%,4,1.0%,1158,2.6%,118,10.9%,15,6.7%,22
Multiple,3896,8.0%,74,4.7%,91,4.6%,13,3.2%,3688,8.4%,67,6.2%,4,1.8%,23
Other,6210,12.7%,41,2.6%,55,2.8%,16,3.9%,5975,13.5%,45,4.2%,0,0.0%,24
UI Race,7919,16.2%,0,0.0%,0,0.0%,0,0.0%,7919,17.9%,53,4.9%,0,0.0%,25
Unknown Race,494,1.0%,94,5.9%,161,8.1%,36,8.8%,0,0.0%,9,0.8%,1,0.4%,26
