Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,20272,51.8%,744,52.5%,936,51.1%,196,52.5%,18150,51.8%,473,54.6%,104,59.4%,1
Female,18799,48.1%,673,47.5%,896,48.9%,177,47.5%,16830,48.1%,393,45.4%,71,40.6%,2
Unknown Sex,30,0.1%,0,0.0%,0,0.0%,0,0.0%,30,0.1%,0,0.0%,0,0.0%,3
<10 Years,2364,6.0%,30,2.1%,121,6.6%,9,2.4%,2193,6.3%,8,0.9%,0,0.0%,4
10-19 Years,4605,11.8%,121,8.5%,210,11.5%,55,14.7%,4159,11.9%,7,0.8%,0,0.0%,5
20-29 Years,8044,20.6%,403,28.4%,475,25.9%,62,16.6%,7008,20.0%,44,5.1%,3,1.7%,6
30-39 Years,7483,19.1%,260,18.3%,328,17.9%,77,20.6%,6724,19.2%,77,8.9%,5,2.9%,7
40-49 Years,5555,14.2%,215,15.2%,232,12.7%,58,15.5%,4986,14.2%,81,9.4%,7,4.0%,8
50-59 Years,5066,13.0%,175,12.4%,238,13.0%,50,13.4%,4551,13.0%,140,16.2%,12,6.9%,9
60-69 Years,3641,9.3%,144,10.2%,134,7.3%,39,10.5%,3264,9.3%,193,22.3%,33,18.9%,10
70-79 Years,1648,4.2%,52,3.7%,61,3.3%,22,5.9%,1487,4.2%,187,21.6%,52,29.7%,11
80+ Years,695,1.8%,17,1.2%,33,1.8%,1,0.3%,638,1.8%,129,14.9%,63,36.0%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,1958,5.0%,113,8.0%,174,9.5%,40,10.7%,1613,4.6%,40,4.6%,4,2.3%,14
Non-Hispanic,18170,46.5%,1102,77.8%,1390,75.9%,286,76.7%,15282,43.7%,610,70.4%,140,80.0%,15
UI Ethnicity,18115,46.3%,0,0.0%,0,0.0%,0,0.0%,18115,51.7%,201,23.2%,28,16.0%,16
Unknown Ethnicity,858,2.2%,202,14.3%,268,14.6%,47,12.6%,0,0.0%,15,1.7%,3,1.7%,17
White,11323,29.0%,638,45.0%,781,42.6%,225,60.3%,9595,27.4%,266,30.7%,61,34.9%,18
Black,1015,2.6%,91,6.4%,115,6.3%,21,5.6%,780,2.2%,34,3.9%,7,4.0%,19
AI/AN,7916,20.2%,348,24.6%,409,22.3%,43,11.5%,7051,20.1%,234,27.0%,65,37.1%,20
Asian,1477,3.8%,72,5.1%,95,5.2%,18,4.8%,1286,3.7%,70,8.1%,18,10.3%,21
NHOPI,1115,2.9%,73,5.2%,133,7.3%,4,1.1%,902,2.6%,96,11.1%,11,6.3%,22
Multiple,2866,7.3%,71,5.0%,90,4.9%,13,3.5%,2665,7.6%,59,6.8%,6,3.4%,23
Other,4764,12.2%,36,2.5%,49,2.7%,16,4.3%,4547,13.0%,38,4.4%,3,1.7%,24
UI Race,8184,20.9%,0,0.0%,0,0.0%,0,0.0%,8184,23.4%,62,7.2%,4,2.3%,25
Unknown Race,441,1.1%,88,6.2%,160,8.7%,33,8.8%,0,0.0%,7,0.8%,0,0.0%,26
