ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases
1,Male,436,51.1%,111,50.5%,171,47.5%,76,58.5%,78,54.2%,59.7%,50.0%,40,7
2,Female,418,48.9%,109,49.5%,189,52.5%,54,41.5%,66,45.8%,40.3%,50.0%,27,7
3,Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0
4,<10 Years,32,3.7%,2,0.9%,18,5.0%,2,1.5%,10,6.9%,0.0%,0.0%,0,0
5,10-19 Years,67,7.8%,17,7.7%,31,8.6%,8,6.2%,11,7.6%,1.5%,0.0%,1,0
6,20-29 Years,161,18.9%,37,16.8%,77,21.4%,16,12.3%,31,21.5%,7.5%,0.0%,5,0
7,30-39 Years,161,18.9%,48,21.8%,61,16.9%,25,19.2%,27,18.8%,9.0%,14.3%,6,2
8,40-49 Years,135,15.8%,36,16.4%,48,13.3%,26,20.0%,25,17.4%,6.0%,0.0%,4,0
9,50-59 Years,141,16.5%,35,15.9%,68,18.9%,19,14.6%,19,13.2%,16.4%,7.1%,11,1
10,60-69 Years,90,10.5%,24,10.9%,33,9.2%,20,15.4%,13,9.0%,17.9%,14.3%,12,2
11,70-79 Years,50,5.9%,16,7.3%,15,4.2%,13,10.0%,6,4.2%,31.3%,50.0%,21,7
12,80+ Years,17,2.0%,5,2.3%,9,2.5%,1,0.8%,2,1.4%,10.4%,14.3%,7,2
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0
14,Hispanic,55,6.4%,12,5.5%,29,8.1%,14,10.8%,0,0.0%,7.5%,0.0%,5,0
15,Non-Hispanic,645,75.5%,191,86.8%,307,85.3%,109,83.8%,38,26.4%,88.1%,100.0%,59,14
16,Unknown Ethnicity,154,18.0%,17,7.7%,24,6.7%,7,5.4%,106,73.6%,4.5%,0.0%,3,0
17,White,484,56.7%,138,62.7%,219,60.8%,103,79.2%,24,16.7%,59.7%,64.3%,40,9
18,Black,22,2.6%,8,3.6%,7,1.9%,6,4.6%,1,0.7%,0.0%,0.0%,0,0
19,AI/AN,95,11.1%,36,16.4%,38,10.6%,2,1.5%,19,13.2%,13.4%,14.3%,9,2
20,Asian,60,7.0%,13,5.9%,41,11.4%,5,3.8%,1,0.7%,11.9%,14.3%,8,2
21,NHOPI,25,2.9%,6,2.7%,14,3.9%,1,0.8%,4,2.8%,7.5%,7.1%,5,1
22,Multiple,32,3.7%,10,4.5%,14,3.9%,5,3.8%,3,2.1%,0.0%,0.0%,0,0
23,Other,15,1.8%,2,0.9%,8,2.2%,4,3.1%,1,0.7%,6.0%,0.0%,4,0
24,Unknown Race,121,14.2%,7,3.2%,19,5.3%,4,3.1%,91,63.2%,1.5%,0.0%,1,0
