Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,28697,52.0%,914,52.3%,1119,51.5%,235,53.7%,26021,52.0%,668,55.3%,173,60.5%,1
Female,26491,48.0%,835,47.7%,1055,48.5%,203,46.3%,24044,48.0%,539,44.7%,113,39.5%,2
Unknown Sex,10,0.0%,0,0.0%,0,0.0%,0,0.0%,10,0.0%,0,0.0%,0,0.0%,3
<10 Years,3710,6.7%,39,2.2%,159,7.3%,14,3.2%,3468,6.9%,11,0.9%,0,0.0%,4
10-19 Years,6730,12.2%,146,8.3%,263,12.1%,64,14.6%,6173,12.3%,9,0.7%,0,0.0%,5
20-29 Years,11341,20.5%,462,26.4%,526,24.2%,76,17.4%,10126,20.2%,49,4.1%,3,1.0%,6
30-39 Years,10476,19.0%,302,17.3%,373,17.2%,83,18.9%,9583,19.1%,94,7.8%,6,2.1%,7
40-49 Years,7607,13.8%,261,14.9%,262,12.1%,68,15.5%,6924,13.8%,114,9.4%,11,3.8%,8
50-59 Years,7118,12.9%,220,12.6%,268,12.3%,60,13.7%,6481,12.9%,196,16.2%,20,7.0%,9
60-69 Years,5060,9.2%,184,10.5%,159,7.3%,49,11.2%,4563,9.1%,266,22.0%,58,20.3%,10
70-79 Years,2220,4.0%,87,5.0%,94,4.3%,22,5.0%,1966,3.9%,269,22.3%,86,30.1%,11
80+ Years,936,1.7%,48,2.7%,70,3.2%,2,0.5%,791,1.6%,199,16.5%,102,35.7%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2837,5.1%,131,7.5%,195,9.0%,46,10.5%,2438,4.9%,62,5.1%,12,4.2%,14
Non-Hispanic,28082,50.9%,1380,78.9%,1676,77.1%,336,76.7%,24408,48.7%,909,75.3%,267,93.4%,15
UI Ethnicity,23229,42.1%,0,0.0%,0,0.0%,0,0.0%,23229,46.4%,216,17.9%,5,1.7%,16
Unknown Ethnicity,1050,1.9%,238,13.6%,303,13.9%,56,12.8%,0,0.0%,20,1.7%,2,0.7%,17
White,16899,30.6%,773,44.2%,905,41.6%,271,61.9%,14749,29.5%,400,33.1%,121,42.3%,18
Black,1361,2.5%,96,5.5%,117,5.4%,21,4.8%,1110,2.2%,46,3.8%,9,3.1%,19
AI/AN,11957,21.7%,490,28.0%,557,25.6%,52,11.9%,10736,21.4%,325,26.9%,104,36.4%,20
Asian,2182,4.0%,83,4.7%,121,5.6%,19,4.3%,1932,3.9%,116,9.6%,29,10.1%,21
NHOPI,1455,2.6%,79,4.5%,148,6.8%,4,0.9%,1215,2.4%,122,10.1%,16,5.6%,22
Multiple,4278,7.8%,81,4.6%,96,4.4%,15,3.4%,4054,8.1%,67,5.6%,4,1.4%,23
Other,6730,12.2%,51,2.9%,59,2.7%,16,3.7%,6468,12.9%,51,4.2%,1,0.3%,24
UI Race,9811,17.8%,0,0.0%,0,0.0%,0,0.0%,9811,19.6%,71,5.9%,1,0.3%,25
Unknown Race,525,1.0%,96,5.5%,171,7.9%,40,9.1%,0,0.0%,9,0.7%,1,0.3%,26
