Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,31077,52.0%,1059,52.0%,1304,50.4%,259,52.1%,27995,52.1%,738,55.1%,184,59.5%,1
Female,28607,47.9%,979,48.0%,1281,49.6%,238,47.9%,25679,47.8%,602,44.9%,125,40.5%,2
Unknown Sex,26,0.0%,0,0.0%,0,0.0%,0,0.0%,26,0.0%,0,0.0%,0,0.0%,3
<10 Years,4129,6.9%,59,2.9%,226,8.7%,18,3.6%,3786,7.1%,14,1.0%,0,0.0%,4
10-19 Years,7523,12.6%,200,9.8%,323,12.5%,66,13.3%,6837,12.7%,13,1.0%,0,0.0%,5
20-29 Years,12170,20.4%,518,25.4%,579,22.4%,85,17.1%,10812,20.1%,52,3.9%,3,1.0%,6
30-39 Years,11320,19.0%,349,17.1%,425,16.4%,88,17.7%,10309,19.2%,110,8.2%,6,1.9%,7
40-49 Years,8200,13.7%,291,14.3%,308,11.9%,76,15.3%,7416,13.8%,131,9.8%,12,3.9%,8
50-59 Years,7695,12.9%,249,12.2%,337,13.0%,66,13.3%,6940,12.9%,223,16.6%,20,6.5%,9
60-69 Years,5368,9.0%,213,10.5%,183,7.1%,63,12.7%,4789,8.9%,301,22.5%,61,19.7%,10
70-79 Years,2330,3.9%,103,5.1%,115,4.4%,31,6.2%,2020,3.8%,285,21.3%,95,30.7%,11
80+ Years,975,1.6%,56,2.7%,89,3.4%,4,0.8%,791,1.5%,211,15.7%,112,36.2%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3179,5.3%,138,6.8%,214,8.3%,52,10.5%,2744,5.1%,69,5.1%,13,4.2%,14
Non-Hispanic,32469,54.4%,1631,80.0%,2005,77.6%,380,76.5%,28086,52.3%,1025,76.5%,290,93.9%,15
UI Ethnicity,22870,38.3%,0,0.0%,0,0.0%,0,0.0%,22870,42.6%,226,16.9%,4,1.3%,16
Unknown Ethnicity,1192,2.0%,269,13.2%,366,14.2%,65,13.1%,0,0.0%,20,1.5%,2,0.6%,17
White,19756,33.1%,851,41.8%,1033,40.0%,300,60.4%,17338,32.3%,469,35.0%,131,42.4%,18
Black,1477,2.5%,96,4.7%,127,4.9%,21,4.2%,1216,2.3%,50,3.7%,10,3.2%,19
AI/AN,12789,21.4%,674,33.1%,735,28.4%,67,13.5%,11121,20.7%,366,27.3%,113,36.6%,20
Asian,2411,4.0%,90,4.4%,161,6.2%,20,4.0%,2110,3.9%,117,8.7%,30,9.7%,21
NHOPI,1586,2.7%,81,4.0%,156,6.0%,4,0.8%,1336,2.5%,130,9.7%,17,5.5%,22
Multiple,4598,7.7%,87,4.3%,109,4.2%,19,3.8%,4348,8.1%,70,5.2%,5,1.6%,23
Other,7157,12.0%,56,2.7%,71,2.7%,19,3.8%,6870,12.8%,58,4.3%,1,0.3%,24
UI Race,9361,15.7%,0,0.0%,0,0.0%,0,0.0%,9361,17.4%,71,5.3%,1,0.3%,25
Unknown Race,575,1.0%,103,5.1%,193,7.5%,47,9.5%,0,0.0%,9,0.7%,1,0.3%,26
