Last updated: 6/15/2020,Cases,,Hospitalizations,,Deaths,
Sex,"N=15,595",,N=1882,,N=851,
Female,"8,626",56%,860,46%,455,53%
Male,"6,845",44%,1013,54%,396,47%
Pending further information,124,--,9,--,0,--
Age Group,,,,,,
0-9,395,3%,9,<1%,0,0%
10-19,773,5%,16,1%,<5,--
20-29,"2,346",15%,77,4%,<5,--
30-39,"2,453",16%,134,7%,6,1%
40-49,"2,403",15%,218,12%,11,1%
50-59,"2,453",16%,312,17%,38,4%
60-69,"1,746",11%,391,21%,87,10%
70-79,1171,8%,362,19%,215,25%
80-89,1094,7%,254,13%,270,32%
90-99,707,4%,104,6%,209,25%
100+,52,<1%,5,<1%,13,2%
Pending further information,<5,--,0,--,0,--
Race and Ethnicity,,,,,,
Hispanic/Latinx (any race),"5,529",46%,491,33%,72,10%
Black (non-Hispanic or ethnicity unknown),1496,12%,174,12%,44,6%
White (non-Hispanic or ethnicity unknown),"4,303",36%,721,48%,583,82%
Other race (non-Hispanic or ethnicity unknown),445,4%,46,3%,11,2%
Multiple races (non-Hispanic or ethnicity unknown),327,3%,55,4%,0,0%
"Unknown, declined, or pending further information","3,495",--,395,--,141,--
Source: RIDOH,,,,,,
"-- Percentages for counts of less than five are not shown. Percentages do not include cases with unknown or declined demographics or those that are pending further information. COVID-19 cases and COVID-19 involved deaths exclude out of state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents. ",,,,,,
