Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,9603,50.0%,738,52.4%,929,50.9%,195,53.0%,7670,49.6%,255,52.9%,51,60.7%,1,3236,49.7%
Female,9561,49.8%,670,47.6%,896,49.1%,173,47.0%,7761,50.2%,227,47.1%,33,39.3%,2,3275,50.3%
Unknown Sex,23,0.1%,0,0.0%,0,0.0%,0,0.0%,23,0.1%,0,0.0%,0,0.0%,3,1,0.0%
<10 Years,1055,5.5%,30,2.1%,121,6.6%,9,2.4%,892,5.8%,5,1.0%,0,0.0%,4,329,5.1%
10-19 Years,2279,11.9%,120,8.5%,211,11.6%,54,14.7%,1874,12.1%,3,0.6%,0,0.0%,5,693,10.6%
20-29 Years,4139,21.6%,399,28.3%,473,25.9%,62,16.8%,3171,20.5%,25,5.2%,1,1.2%,6,1559,23.9%
30-39 Years,3612,18.8%,258,18.3%,328,18.0%,75,20.4%,2926,18.9%,40,8.3%,2,2.4%,7,1255,19.3%
40-49 Years,2733,14.2%,214,15.2%,229,12.5%,58,15.8%,2212,14.3%,56,11.6%,5,6.0%,8,867,13.3%
50-59 Years,2461,12.8%,174,12.4%,238,13.0%,48,13.0%,1994,12.9%,83,17.2%,7,8.3%,9,855,13.1%
60-69 Years,1792,9.3%,144,10.2%,131,7.2%,39,10.6%,1466,9.5%,108,22.4%,14,16.7%,10,623,9.6%
70-79 Years,785,4.1%,52,3.7%,61,3.3%,22,6.0%,642,4.2%,96,19.9%,27,32.1%,11,243,3.7%
80+ Years,331,1.7%,17,1.2%,33,1.8%,1,0.3%,277,1.8%,66,13.7%,28,33.3%,12,88,1.4%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,1023,5.3%,110,7.8%,171,9.4%,38,10.3%,697,4.5%,24,5.0%,1,1.2%,14,597,9.2%
Non-Hispanic,8326,43.4%,1079,76.6%,1360,74.5%,280,76.1%,5538,35.8%,343,71.2%,71,84.5%,15,4967,76.3%
UI Ethnicity,9219,48.0%,0,0.0%,0,0.0%,0,0.0%,9219,59.7%,99,20.5%,9,10.7%,16,574,8.8%
Unknown Ethnicity,619,3.2%,219,15.6%,294,16.1%,50,13.6%,0,0.0%,16,3.3%,3,3.6%,17,374,5.7%
White,5263,27.4%,629,44.7%,767,42.0%,221,60.1%,3618,23.4%,129,26.8%,31,36.9%,18,2798,43.0%
Black,572,3.0%,89,6.3%,114,6.2%,21,5.7%,343,2.2%,24,5.0%,3,3.6%,19,292,4.5%
AI/AN,4385,22.9%,344,24.4%,407,22.3%,43,11.7%,3547,23.0%,142,29.5%,27,32.1%,20,1473,22.6%
Asian,712,3.7%,70,5.0%,94,5.2%,18,4.9%,528,3.4%,30,6.2%,8,9.5%,21,419,6.4%
NHOPI,663,3.5%,73,5.2%,132,7.2%,4,1.1%,452,2.9%,63,13.1%,7,8.3%,22,392,6.0%
Multiple,1063,5.5%,71,5.0%,88,4.8%,13,3.5%,886,5.7%,26,5.4%,3,3.6%,23,353,5.4%
Other,1055,5.5%,33,2.3%,48,2.6%,14,3.8%,959,6.2%,19,3.9%,1,1.2%,24,196,3.0%
UI Race,5121,26.7%,0,0.0%,0,0.0%,0,0.0%,5121,33.1%,41,8.5%,4,4.8%,25,367,5.6%
Unknown Race,353,1.8%,99,7.0%,175,9.6%,34,9.2%,0,0.0%,8,1.7%,0,0.0%,26,222,3.4%
