,"All People Tested
 (Positive and Negative)",,Cases,,Hospitalizations,,Deaths,
Sex,"N=428,514",,"N=36,375",,"N=3,595",,"N=1,232",
Female,221254,55%,19452,54%,1732,48%,652,53%
Male,180619,45%,16445,46%,1849,52%,580,47%
Other,82,<1%,30,<1%,5,<1%,0,0%
Pending further information,26559,--,448,--,9,--,0,--
Age Group,,,,,,,,
0-4,10244,2%,624,2%,27,1%,0,0%
5-9,12731,3%,736,2%,11,<1%,0,0%
10-14,12640,3%,952,2%,17,<1%,<5,--
15-18,20606,5%,1538,4%,23,1%,0,0%
19-24,53611,13%,4296,12%,102,3%,<5,--
25-29,37854,9%,3340,9%,125,3%,<5,--
30-39,65893,15%,5845,16%,255,7%,7,1%
40-49,52796,12%,5178,14%,391,11%,16,1%
50-59,62145,15%,5296,14%,553,15%,53,4%
60-69,50657,12%,3661,10%,700,19%,135,11%
70-79,27120,6%,2184,6%,686,19%,282,23%
80-89,13386,3%,1650,5%,486,14%,400,32%
90+,6228,1%,1072,3%,218,6%,334,27%
Pending further information,2603,--,<5,--,<5,--,0,--
Race and Ethnicity,,,,,,,,
Hispanic or Latino†,28855,17%,12382,42%,1007,35%,117,12%
American Indian or Alaska Native*,3941,2%,102,<1%,6,<1%,<5,--
Asian*,4005,2%,555,2%,56,2%,14,1%
Black or African American*,11910,7%,3226,11%,344,12%,66,6%
Native Hawaiian or Other Pacific Islander*,499,<1%,0,0%,0,0%,0,0%
White*,102220,61%,12518,42%,1389,48%,820,81%
Other race*,14651,9%,497,2%,62,2%,0,0%
Multiple race*,141,<1%,251,1%,12,<1%,0,0%
Declined,3345,--,350,--,11,--,0,--
Unknown or pending further information,258947,--,6494,--,708,--,214,--
† Includes people who identify as any race.,,,,,,,,
* Includes people who identify as non-Hispanic ethnicity or have unknown or declined ethnicity.,,,,,,,,
Source: Rhode Island Department of Health,,,,,,,,
"Notes: Percentages for counts of less than five are not shown. Percentages do not include people with unknown demographics or those that are pending further information. People tested for COVID-19, COVID-19 cases, and COVID-19 associated deaths exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents.",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Last updated:,11/11/2020,,,,,,,
