Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,10103,50.0%,738,52.4%,929,50.9%,195,52.8%,8169,49.6%,274,53.4%,58,60.4%,1,3236,49.7%
Female,10098,50.0%,670,47.6%,896,49.1%,174,47.2%,8297,50.4%,239,46.6%,38,39.6%,2,3275,50.3%
Unknown Sex,6,0.0%,0,0.0%,0,0.0%,0,0.0%,6,0.0%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,1127,5.6%,30,2.1%,121,6.6%,9,2.4%,964,5.9%,5,1.0%,0,0.0%,4,329,5.1%
10-19 Years,2404,11.9%,120,8.5%,211,11.6%,54,14.6%,1999,12.1%,4,0.8%,0,0.0%,5,693,10.6%
20-29 Years,4344,21.5%,399,28.3%,473,25.9%,62,16.8%,3376,20.5%,27,5.3%,2,2.1%,6,1559,23.9%
30-39 Years,3833,19.0%,258,18.3%,328,18.0%,76,20.6%,3146,19.1%,43,8.4%,2,2.1%,7,1255,19.3%
40-49 Years,2867,14.2%,214,15.2%,229,12.5%,58,15.7%,2346,14.2%,59,11.5%,6,6.3%,8,867,13.3%
50-59 Years,2575,12.7%,174,12.4%,238,13.0%,48,13.0%,2108,12.8%,87,17.0%,7,7.3%,9,855,13.1%
60-69 Years,1884,9.3%,144,10.2%,131,7.2%,39,10.6%,1558,9.5%,119,23.2%,17,17.7%,10,623,9.6%
70-79 Years,823,4.1%,52,3.7%,61,3.3%,22,6.0%,680,4.1%,99,19.3%,28,29.2%,11,242,3.7%
80+ Years,350,1.7%,17,1.2%,33,1.8%,1,0.3%,295,1.8%,70,13.6%,34,35.4%,12,88,1.4%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,1046,5.2%,110,7.8%,171,9.4%,38,10.3%,720,4.4%,26,5.1%,1,1.0%,14,597,9.2%
Non-Hispanic,8726,43.2%,1079,76.6%,1360,74.5%,281,76.2%,5936,36.0%,360,70.2%,80,83.3%,15,4967,76.3%
UI Ethnicity,9816,48.6%,0,0.0%,0,0.0%,0,0.0%,9816,59.6%,111,21.6%,12,12.5%,16,574,8.8%
Unknown Ethnicity,619,3.1%,219,15.6%,294,16.1%,50,13.6%,0,0.0%,16,3.1%,3,3.1%,17,373,5.7%
White,5530,27.4%,629,44.7%,767,42.0%,222,60.2%,3883,23.6%,138,26.9%,32,33.3%,18,2798,43.0%
Black,592,2.9%,89,6.3%,114,6.2%,21,5.7%,363,2.2%,28,5.5%,4,4.2%,19,292,4.5%
AI/AN,4636,22.9%,344,24.4%,407,22.3%,43,11.7%,3798,23.1%,150,29.2%,31,32.3%,20,1473,22.6%
Asian,738,3.7%,70,5.0%,94,5.2%,18,4.9%,554,3.4%,32,6.2%,8,8.3%,21,419,6.4%
NHOPI,681,3.4%,73,5.2%,132,7.2%,4,1.1%,470,2.9%,64,12.5%,9,9.4%,22,392,6.0%
Multiple,1144,5.7%,71,5.0%,88,4.8%,13,3.5%,967,5.9%,27,5.3%,4,4.2%,23,353,5.4%
Other,1148,5.7%,33,2.3%,48,2.6%,14,3.8%,1052,6.4%,21,4.1%,1,1.0%,24,196,3.0%
UI Race,5385,26.6%,0,0.0%,0,0.0%,0,0.0%,5385,32.7%,45,8.8%,7,7.3%,25,367,5.6%
Unknown Race,353,1.7%,99,7.0%,175,9.6%,34,9.2%,0,0.0%,8,1.6%,0,0.0%,26,221,3.4%
