ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,2139,48.9%,315,48.3%,451,49.1%,122,53.3%,1227,48.4%,57.5%,65.5%,103,19,631,49.1%
2,Female,2230,51.0%,337,51.7%,467,50.9%,107,46.7%,1304,51.5%,42.5%,34.5%,76,10,654,50.9%
3,Unknown Sex,2,0.0%,0,0.0%,0,0.0%,0,0.0%,2,0.1%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,219,5.0%,13,2.0%,60,6.5%,4,1.7%,142,5.6%,0.0%,0.0%,0,0,58,4.5%
5,10-19 Years,454,10.4%,47,7.2%,85,9.3%,28,12.2%,286,11.3%,0.6%,0.0%,1,0,120,9.3%
6,20-29 Years,1053,24.1%,171,26.2%,236,25.7%,39,17.0%,597,23.6%,6.7%,0.0%,12,0,327,25.4%
7,30-39 Years,817,18.7%,134,20.6%,167,18.2%,45,19.7%,464,18.3%,9.5%,6.9%,17,2,259,20.2%
8,40-49 Years,613,14.0%,104,16.0%,106,11.5%,39,17.0%,354,14.0%,10.6%,3.4%,19,1,176,13.7%
9,50-59 Years,546,12.5%,78,12.0%,131,14.3%,32,14.0%,304,12.0%,16.8%,10.3%,30,3,166,12.9%
10,60-69 Years,408,9.3%,65,10.0%,78,8.5%,26,11.4%,237,9.4%,21.2%,13.8%,38,4,121,9.4%
11,70-79 Years,189,4.3%,31,4.8%,32,3.5%,15,6.6%,111,4.4%,23.5%,44.8%,42,13,46,3.6%
12,80+ Years,72,1.6%,9,1.4%,23,2.5%,1,0.4%,38,1.5%,11.2%,20.7%,20,6,12,0.9%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,233,5.3%,51,7.8%,88,9.6%,26,11.4%,66,2.6%,5.6%,0.0%,10,0,130,10.1%
15,Non-Hispanic,1662,38.0%,485,74.4%,605,65.9%,161,70.3%,395,15.6%,77.1%,96.6%,138,28,960,74.7%
16,UI Ethnicity,2072,47.4%,0,0.0%,0,0.0%,0,0.0%,2072,81.8%,12.3%,3.4%,22,1,18,1.4%
17,Unknown Ethnicity,404,9.2%,116,17.8%,225,24.5%,42,18.3%,0,0.0%,5.0%,0.0%,9,0,177,13.8%
18,White,1077,24.6%,295,45.2%,386,42.0%,153,66.8%,238,9.4%,33.5%,41.4%,60,12,641,49.9%
19,Black,152,3.5%,42,6.4%,42,4.6%,14,6.1%,51,2.0%,3.4%,0.0%,6,0,69,5.4%
20,AI/AN,616,14.1%,135,20.7%,151,16.4%,10,4.4%,313,12.4%,24.0%,34.5%,43,10,200,15.6%
21,Asian,114,2.6%,25,3.8%,48,5.2%,8,3.5%,31,1.2%,6.7%,6.9%,12,2,71,5.5%
22,NHOPI,183,4.2%,44,6.7%,61,6.6%,1,0.4%,77,3.0%,17.9%,13.8%,32,4,72,5.6%
23,Multiple,127,2.9%,26,4.0%,33,3.6%,8,3.5%,59,2.3%,0.6%,0.0%,1,0,52,4.0%
24,Other,115,2.6%,13,2.0%,29,3.2%,10,4.4%,62,2.4%,3.4%,0.0%,6,0,45,3.5%
25,UI Race,1702,38.9%,0,0.0%,0,0.0%,0,0.0%,1702,67.2%,7.8%,3.4%,14,1,16,1.2%
26,Unknown Race,285,6.5%,72,11.0%,168,18.3%,25,10.9%,0,0.0%,2.8%,0.0%,5,0,119,9.3%
