ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,540,50.8%,119,51.3%,182,47.8%,78,58.6%,161,50.8%,60.9%,53.3%,42,8,274,50.8%
2,Female,523,49.2%,113,48.7%,199,52.2%,55,41.4%,156,49.2%,39.1%,46.7%,27,7,265,49.2%
3,Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,35,3.3%,4,1.7%,19,5.0%,2,1.5%,10,3.2%,0.0%,0.0%,0,0,15,2.8%
5,10-19 Years,82,7.7%,17,7.3%,32,8.4%,9,6.8%,24,7.6%,1.4%,0.0%,1,0,42,7.8%
6,20-29 Years,216,20.3%,40,17.2%,83,21.8%,17,12.8%,76,24.0%,8.7%,0.0%,6,0,104,19.3%
7,30-39 Years,213,20.0%,49,21.1%,68,17.8%,26,19.5%,70,22.1%,8.7%,13.3%,6,2,105,19.5%
8,40-49 Years,162,15.2%,40,17.2%,50,13.1%,26,19.5%,46,14.5%,5.8%,0.0%,4,0,83,15.4%
9,50-59 Years,169,15.9%,37,15.9%,70,18.4%,19,14.3%,43,13.6%,15.9%,6.7%,11,1,94,17.4%
10,60-69 Years,107,10.1%,24,10.3%,35,9.2%,20,15.0%,28,8.8%,17.4%,13.3%,12,2,63,11.7%
11,70-79 Years,58,5.5%,16,6.9%,15,3.9%,13,9.8%,14,4.4%,31.9%,46.7%,22,7,26,4.8%
12,80+ Years,21,2.0%,5,2.2%,9,2.4%,1,0.8%,6,1.9%,10.1%,20.0%,7,3,7,1.3%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,62,5.8%,13,5.6%,32,8.4%,14,10.5%,3,0.9%,7.2%,0.0%,5,0,45,8.3%
15,Non-Hispanic,702,66.0%,201,86.6%,321,84.3%,111,83.5%,69,21.8%,87.0%,100.0%,60,15,465,86.3%
16,Unknown Ethnicity,299,28.1%,18,7.8%,28,7.3%,8,6.0%,245,77.3%,5.8%,0.0%,4,0,29,5.4%
17,White,524,49.3%,143,61.6%,229,60.1%,105,78.9%,47,14.8%,59.4%,60.0%,41,9,352,65.3%
18,Black,24,2.3%,11,4.7%,7,1.8%,6,4.5%,0,0.0%,0.0%,0.0%,0,0,17,3.2%
19,AI/AN,123,11.6%,39,16.8%,43,11.3%,3,2.3%,38,12.0%,14.5%,20.0%,10,3,53,9.8%
20,Asian,60,5.6%,13,5.6%,41,10.8%,5,3.8%,1,0.3%,11.6%,13.3%,8,2,53,9.8%
21,NHOPI,28,2.6%,6,2.6%,15,3.9%,1,0.8%,6,1.9%,7.2%,6.7%,5,1,13,2.4%
22,Multiple,35,3.3%,10,4.3%,16,4.2%,5,3.8%,4,1.3%,0.0%,0.0%,0,0,23,4.3%
23,Other,21,2.0%,2,0.9%,8,2.1%,4,3.0%,7,2.2%,5.8%,0.0%,4,0,12,2.2%
24,Unknown Race,248,23.3%,8,3.4%,22,5.8%,4,3.0%,214,67.5%,1.4%,0.0%,1,0,16,3.0%
