"code","date","cumulative_cases","cumulative_deaths","daily_cases","daily_deaths"
"AK",2020-01-01,0,0,0,0
"AK",2020-01-02,0,0,0,0
"AK",2020-01-03,0,0,0,0
"AK",2020-01-04,0,0,0,0
"AK",2020-01-05,0,0,0,0
"AK",2020-01-06,0,0,0,0
"AK",2020-01-07,0,0,0,0
"AK",2020-01-08,0,0,0,0
"AK",2020-01-09,0,0,0,0
"AK",2020-01-10,0,0,0,0
"AK",2020-01-11,0,0,0,0
"AK",2020-01-12,0,0,0,0
"AK",2020-01-13,0,0,0,0
"AK",2020-01-14,0,0,0,0
"AK",2020-01-15,0,0,0,0
"AK",2020-01-16,0,0,0,0
"AK",2020-01-17,0,0,0,0
"AK",2020-01-18,0,0,0,0
"AK",2020-01-19,0,0,0,0
"AK",2020-01-20,0,0,0,0
"AK",2020-01-21,0,0,0,0
"AK",2020-01-22,0,0,0,0
"AK",2020-01-23,0,0,0,0
"AK",2020-01-24,0,0,0,0
"AK",2020-01-25,0,0,0,0
"AK",2020-01-26,0,0,0,0
"AK",2020-01-27,0,0,0,0
"AK",2020-01-28,0,0,0,0
"AK",2020-01-29,0,0,0,0
"AK",2020-01-30,0,0,0,0
"AK",2020-01-31,0,0,0,0
"AK",2020-02-01,0,0,0,0
"AK",2020-02-02,0,0,0,0
"AK",2020-02-03,0,0,0,0
"AK",2020-02-04,0,0,0,0
"AK",2020-02-05,0,0,0,0
"AK",2020-02-06,0,0,0,0
"AK",2020-02-07,0,0,0,0
"AK",2020-02-08,0,0,0,0
"AK",2020-02-09,0,0,0,0
"AK",2020-02-10,0,0,0,0
"AK",2020-02-11,0,0,0,0
"AK",2020-02-12,0,0,0,0
"AK",2020-02-13,0,0,0,0
"AK",2020-02-14,0,0,0,0
"AK",2020-02-15,0,0,0,0
"AK",2020-02-16,0,0,0,0
"AK",2020-02-17,0,0,0,0
"AK",2020-02-18,0,0,0,0
"AK",2020-02-19,0,0,0,0
"AK",2020-02-20,0,0,0,0
"AK",2020-02-21,0,0,0,0
"AK",2020-02-22,0,0,0,0
"AK",2020-02-23,0,0,0,0
"AK",2020-02-24,0,0,0,0
"AK",2020-02-25,0,0,0,0
"AK",2020-02-26,0,0,0,0
"AK",2020-02-27,0,0,0,0
"AK",2020-02-28,0,0,0,0
"AK",2020-02-29,0,0,0,0
"AK",2020-03-01,0,0,0,0
"AK",2020-03-02,0,0,0,0
"AK",2020-03-03,0,0,0,0
"AK",2020-03-04,0,0,0,0
"AK",2020-03-05,0,0,0,0
"AK",2020-03-06,0,0,0,0
"AK",2020-03-07,0,0,0,0
"AK",2020-03-08,0,0,0,0
"AK",2020-03-09,0,0,0,0
"AK",2020-03-10,0,0,0,0
"AK",2020-03-11,0,0,0,0
"AK",2020-03-12,0,0,0,0
"AK",2020-03-13,1,0,1,0
"AK",2020-03-14,1,0,0,0
"AK",2020-03-15,1,0,0,0
"AK",2020-03-16,1,0,0,0
"AK",2020-03-17,3,0,2,0
"AK",2020-03-18,6,0,3,0
"AK",2020-03-19,9,0,3,0
"AK",2020-03-20,12,0,3,0
"AK",2020-03-21,15,0,3,0
"AK",2020-03-22,20,0,5,0
"AK",2020-03-23,30,0,10,0
"AK",2020-03-24,34,0,4,0
"AK",2020-03-25,41,1,7,1
"AK",2020-03-26,56,1,15,0
"AK",2020-03-27,58,1,2,0
"AK",2020-03-28,85,2,27,1
"AK",2020-03-29,102,2,17,0
"AK",2020-03-30,114,3,12,1
"AK",2020-03-31,119,3,5,0
"AK",2020-04-01,132,3,13,0
"AK",2020-04-02,143,3,11,0
"AK",2020-04-03,157,3,14,0
"AK",2020-04-04,171,5,14,2
"AK",2020-04-05,185,6,14,1
"AK",2020-04-06,190,6,5,0
"AK",2020-04-07,213,6,23,0
"AK",2020-04-08,226,7,13,1
"AK",2020-04-09,235,7,9,0
"AK",2020-04-10,246,7,11,0
"AK",2020-04-11,257,8,11,1
"AK",2020-04-12,272,8,15,0
"AK",2020-04-13,277,8,5,0
"AK",2020-04-14,285,9,8,1
"AK",2020-04-15,293,9,8,0
"AK",2020-04-16,300,9,7,0
"AK",2020-04-17,309,9,9,0
"AK",2020-04-18,314,9,5,0
"AK",2020-04-19,319,9,5,0
"AK",2020-04-20,321,9,2,0
"AK",2020-04-21,329,9,8,0
