Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,35100,52.1%,1227,52.5%,1577,50.0%,306,51.8%,31440,52.3%,853,54.8%,220,60.8%,1
Female,32188,47.8%,1112,47.5%,1574,50.0%,285,48.2%,28702,47.7%,704,45.2%,142,39.2%,2
Unknown Sex,29,0.0%,0,0.0%,0,0.0%,0,0.0%,29,0.0%,0,0.0%,0,0.0%,3
<10 Years,4978,7.4%,80,3.4%,309,9.8%,24,4.1%,4514,7.5%,16,1.0%,0,0.0%,4
10-19 Years,8828,13.1%,240,10.3%,447,14.2%,79,13.4%,7950,13.2%,15,1.0%,0,0.0%,5
20-29 Years,13808,20.5%,581,24.8%,661,21.0%,97,16.4%,12255,20.4%,67,4.3%,6,1.7%,6
30-39 Years,12689,18.8%,410,17.5%,509,16.2%,104,17.6%,11498,19.1%,126,8.1%,8,2.2%,7
40-49 Years,9128,13.6%,318,13.6%,358,11.4%,87,14.7%,8223,13.7%,160,10.3%,16,4.4%,8
50-59 Years,8503,12.6%,287,12.3%,384,12.2%,84,14.2%,7622,12.7%,272,17.5%,27,7.5%,9
60-69 Years,5838,8.7%,243,10.4%,233,7.4%,75,12.7%,5143,8.5%,349,22.4%,72,19.9%,10
70-79 Years,2516,3.7%,114,4.9%,144,4.6%,36,6.1%,2152,3.6%,328,21.1%,111,30.7%,11
80+ Years,1029,1.5%,66,2.8%,106,3.4%,5,0.8%,814,1.4%,224,14.4%,122,33.7%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3417,5.1%,148,6.3%,229,7.3%,58,9.8%,2941,4.9%,82,5.3%,18,5.0%,14
Non-Hispanic,35311,52.5%,1870,79.9%,2487,78.9%,449,76.0%,30060,50.0%,1161,74.6%,336,92.8%,15
UI Ethnicity,27170,40.4%,0,0.0%,0,0.0%,0,0.0%,27170,45.2%,289,18.6%,4,1.1%,16
Unknown Ethnicity,1419,2.1%,321,13.7%,435,13.8%,84,14.2%,0,0.0%,25,1.6%,4,1.1%,17
White,22333,33.2%,988,42.2%,1263,40.1%,342,57.9%,19440,32.3%,574,36.9%,165,45.6%,18
Black,1632,2.4%,112,4.8%,136,4.3%,22,3.7%,1342,2.2%,57,3.7%,10,2.8%,19
AI/AN,13964,20.7%,766,32.7%,955,30.3%,84,14.2%,11926,19.8%,395,25.4%,121,33.4%,20
Asian,2589,3.8%,104,4.4%,186,5.9%,30,5.1%,2235,3.7%,127,8.2%,35,9.7%,21
NHOPI,1739,2.6%,85,3.6%,166,5.3%,10,1.7%,1470,2.4%,141,9.1%,21,5.8%,22
Multiple,5061,7.5%,99,4.2%,143,4.5%,24,4.1%,4753,7.9%,84,5.4%,7,1.9%,23
Other,7731,11.5%,62,2.7%,80,2.5%,23,3.9%,7423,12.3%,73,4.7%,1,0.3%,24
UI Race,11582,17.2%,0,0.0%,0,0.0%,0,0.0%,11582,19.2%,95,6.1%,1,0.3%,25
Unknown Race,686,1.0%,123,5.3%,222,7.0%,56,9.5%,0,0.0%,11,0.7%,1,0.3%,26
