Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,25609,52.0%,824,52.0%,1025,51.4%,219,53.5%,23187,52.0%,622,55.8%,137,60.9%,1
Female,23590,47.9%,762,48.0%,969,48.6%,190,46.5%,21358,47.9%,493,44.2%,88,39.1%,2
Unknown Sex,4,0.0%,0,0.0%,0,0.0%,0,0.0%,4,0.0%,0,0.0%,0,0.0%,3
<10 Years,3140,6.4%,34,2.1%,138,6.9%,14,3.4%,2930,6.6%,11,1.0%,0,0.0%,4
10-19 Years,5831,11.9%,136,8.6%,238,11.9%,60,14.7%,5327,12.0%,8,0.7%,0,0.0%,5
20-29 Years,10207,20.7%,426,26.9%,493,24.7%,67,16.4%,9081,20.4%,50,4.5%,3,1.3%,6
30-39 Years,9430,19.2%,285,18.0%,350,17.6%,81,19.8%,8589,19.3%,89,8.0%,6,2.7%,7
40-49 Years,6835,13.9%,234,14.8%,250,12.5%,63,15.4%,6205,13.9%,104,9.3%,8,3.6%,8
50-59 Years,6370,12.9%,196,12.4%,254,12.7%,53,13.0%,5792,13.0%,187,16.8%,18,8.0%,9
60-69 Years,4534,9.2%,164,10.3%,140,7.0%,46,11.2%,4093,9.2%,247,22.2%,41,18.2%,10
70-79 Years,2004,4.1%,73,4.6%,84,4.2%,23,5.6%,1786,4.0%,246,22.1%,70,31.1%,11
80+ Years,852,1.7%,38,2.4%,47,2.4%,2,0.5%,746,1.7%,173,15.5%,79,35.1%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2705,5.5%,121,7.6%,181,9.1%,44,10.8%,2334,5.2%,57,5.1%,9,4.0%,14
Non-Hispanic,26035,52.9%,1251,78.9%,1544,77.4%,313,76.5%,22703,51.0%,837,75.1%,211,93.8%,15
UI Ethnicity,19512,39.7%,0,0.0%,0,0.0%,0,0.0%,19512,43.8%,203,18.2%,4,1.8%,16
Unknown Ethnicity,951,1.9%,214,13.5%,269,13.5%,52,12.7%,0,0.0%,18,1.6%,1,0.4%,17
White,15505,31.5%,707,44.6%,844,42.3%,250,61.1%,13536,30.4%,361,32.4%,85,37.8%,18
Black,1269,2.6%,92,5.8%,116,5.8%,21,5.1%,1026,2.3%,44,3.9%,9,4.0%,19
AI/AN,10392,21.1%,427,26.9%,486,24.4%,50,12.2%,9329,20.9%,297,26.6%,89,39.6%,20
Asian,1973,4.0%,75,4.7%,101,5.1%,19,4.6%,1756,3.9%,106,9.5%,22,9.8%,21
NHOPI,1382,2.8%,75,4.7%,139,7.0%,4,1.0%,1159,2.6%,119,10.7%,15,6.7%,22
Multiple,3909,7.9%,74,4.7%,92,4.6%,13,3.2%,3700,8.3%,71,6.4%,4,1.8%,23
Other,6229,12.7%,42,2.6%,55,2.8%,16,3.9%,5993,13.5%,47,4.2%,0,0.0%,24
UI Race,8050,16.4%,0,0.0%,0,0.0%,0,0.0%,8050,18.1%,61,5.5%,0,0.0%,25
Unknown Race,494,1.0%,94,5.9%,161,8.1%,36,8.8%,0,0.0%,9,0.8%,1,0.4%,26
