Report Date,Health District,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths
7/14/2020,Norfolk,0-9,55,2,0
7/14/2020,Cumberland Plateau,40-49,20,1,0
7/14/2020,Eastern Shore,10-19,60,1,0
7/14/2020,Mount Rogers,10-19,66,0,0
7/14/2020,Rappahannock Rapidan,0-9,80,1,0
7/14/2020,Three Rivers,0-9,12,1,0
7/14/2020,Henrico,40-49,428,26,2
7/14/2020,Alexandria,50-59,315,51,10
7/14/2020,Arlington,0-9,53,2,0
7/14/2020,Chickahominy,Missing,15,0,0
7/14/2020,New River,20-29,86,0,0
7/14/2020,Virginia Beach,20-29,532,9,0
7/14/2020,Chesapeake,50-59,202,27,1
7/14/2020,Alleghany,80+,43,8,6
7/14/2020,Fairfax,10-19,920,27,0
7/14/2020,Chesapeake,60-69,138,32,5
7/14/2020,West Piedmont,Missing,0,0,0
7/14/2020,Peninsula,80+,65,26,15
7/14/2020,Crater,40-49,244,15,1
7/14/2020,Chesapeake,40-49,204,27,1
7/14/2020,Thomas Jefferson,20-29,217,2,0
7/14/2020,Lord Fairfax,20-29,373,5,0
7/14/2020,Norfolk,20-29,496,5,0
7/14/2020,Arlington,30-39,479,42,0
7/14/2020,West Piedmont,60-69,68,8,0
7/14/2020,Henrico,50-59,373,40,8
7/14/2020,West Piedmont,50-59,120,15,1
7/14/2020,Cumberland Plateau,20-29,12,0,0
7/14/2020,Alexandria,70-79,104,38,19
7/14/2020,Portsmouth,20-29,176,9,0
7/14/2020,Western Tidewater,30-39,167,10,0
7/14/2020,Central Shenandoah,0-9,61,0,0
7/14/2020,Henrico,80+,323,66,86
7/14/2020,Alexandria,0-9,138,2,0
7/14/2020,Pittsylvania-Danville,40-49,66,6,0
7/14/2020,Henrico,20-29,425,15,0
7/14/2020,Roanoke,60-69,40,3,0
7/14/2020,Peninsula,30-39,265,7,1
7/14/2020,Alleghany,60-69,68,8,1
7/14/2020,Prince William,70-79,319,98,44
7/14/2020,Norfolk,60-69,156,32,2
7/14/2020,Southside,40-49,65,5,0
7/14/2020,Chesterfield,30-39,689,11,0
7/14/2020,Loudoun,70-79,144,46,18
7/14/2020,Central Virginia,40-49,73,0,0
7/14/2020,New River,Missing,0,0,0
7/14/2020,Chickahominy,20-29,110,1,0
7/14/2020,New River,0-9,8,0,0
7/14/2020,Cumberland Plateau,0-9,3,0,0
7/14/2020,Three Rivers,70-79,37,8,5
7/14/2020,Rappahannock Rapidan,40-49,319,21,2
7/14/2020,Hampton,0-9,20,0,0
7/14/2020,Piedmont,50-59,201,23,1
7/14/2020,Rappahannock,20-29,467,13,0
7/14/2020,West Piedmont,20-29,98,1,0
7/14/2020,Arlington,70-79,176,72,33
7/14/2020,Chickahominy,50-59,123,23,1
7/14/2020,Alleghany,40-49,90,1,0
7/14/2020,Prince William,50-59,1503,196,15
7/14/2020,Mount Rogers,0-9,39,1,0
7/14/2020,Eastern Shore,0-9,20,2,0
7/14/2020,Thomas Jefferson,60-69,107,19,3
7/14/2020,Pittsylvania-Danville,70-79,25,12,1
7/14/2020,Chesterfield,80+,147,30,46
7/14/2020,Richmond,0-9,108,6,0
7/14/2020,Chesapeake,80+,74,25,13
7/14/2020,Peninsula,40-49,216,8,1
7/14/2020,Henrico,0-9,108,2,0
7/14/2020,Lenowisco,80+,6,1,0
7/14/2020,Piedmont,60-69,142,21,2
7/14/2020,Chesapeake,20-29,271,4,0
7/14/2020,Three Rivers,Missing,4,0,0
7/14/2020,Henrico,10-19,200,3,0
7/14/2020,Mount Rogers,30-39,121,4,0
7/14/2020,Eastern Shore,30-39,236,8,0
7/14/2020,Chesterfield,0-9,130,0,0
7/14/2020,Central Shenandoah,10-19,129,1,0
7/14/2020,Crater,0-9,30,1,0
7/14/2020,Fairfax,70-79,686,247,110
7/14/2020,Rappahannock,80+,98,34,19
7/14/2020,Alexandria,10-19,181,4,0
7/14/2020,Portsmouth,40-49,98,7,0
7/14/2020,Three Rivers,50-59,114,9,1
7/14/2020,Alleghany,Missing,2,0,0
7/14/2020,Alexandria,30-39,563,31,0
7/14/2020,Southside,Missing,0,0,0
7/14/2020,Portsmouth,60-69,80,20,6
7/14/2020,Roanoke,30-39,138,1,0
7/14/2020,Three Rivers,60-69,82,13,0
7/14/2020,Fairfax,50-59,2279,301,33
7/14/2020,Portsmouth,50-59,103,21,2
7/14/2020,Chickahominy,80+,82,34,26
7/14/2020,Rappahannock Rapidan,50-59,234,29,2
7/14/2020,Fairfax,80+,796,297,290
7/14/2020,Hampton,Missing,12,0,0
7/14/2020,Cumberland Plateau,80+,4,2,0
