Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,26866,52.0%,867,52.0%,1070,51.3%,224,52.8%,24332,52.0%,641,55.2%,156,60.7%,1
Female,24820,48.0%,799,48.0%,1014,48.7%,200,47.2%,22477,48.0%,520,44.8%,101,39.3%,2
Unknown Sex,7,0.0%,0,0.0%,0,0.0%,0,0.0%,7,0.0%,0,0.0%,0,0.0%,3
<10 Years,3373,6.5%,38,2.3%,148,7.1%,14,3.3%,3149,6.7%,10,0.9%,0,0.0%,4
10-19 Years,6171,11.9%,141,8.5%,254,12.2%,62,14.6%,5641,12.0%,9,0.8%,0,0.0%,5
20-29 Years,10741,20.8%,433,26.0%,502,24.1%,69,16.3%,9595,20.5%,52,4.5%,3,1.2%,6
30-39 Years,9847,19.0%,289,17.3%,362,17.4%,81,19.1%,8984,19.2%,91,7.8%,6,2.3%,7
40-49 Years,7140,13.8%,245,14.7%,253,12.1%,68,16.0%,6490,13.9%,105,9.0%,9,3.5%,8
50-59 Years,6682,12.9%,209,12.5%,262,12.6%,59,13.9%,6069,13.0%,192,16.5%,18,7.0%,9
60-69 Years,4760,9.2%,179,10.7%,150,7.2%,48,11.3%,4287,9.2%,255,22.0%,50,19.5%,10
70-79 Years,2091,4.0%,86,5.2%,91,4.4%,21,5.0%,1847,3.9%,261,22.5%,83,32.3%,11
80+ Years,888,1.7%,46,2.8%,62,3.0%,2,0.5%,754,1.6%,186,16.0%,88,34.2%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2764,5.3%,126,7.6%,185,8.9%,44,10.4%,2382,5.1%,59,5.1%,11,4.3%,14
Non-Hispanic,26933,52.1%,1317,79.1%,1607,77.1%,327,77.1%,23432,50.1%,878,75.6%,240,93.4%,15
UI Ethnicity,21002,40.6%,0,0.0%,0,0.0%,0,0.0%,21002,44.9%,205,17.7%,6,2.3%,16
Unknown Ethnicity,994,1.9%,223,13.4%,292,14.0%,53,12.5%,0,0.0%,19,1.6%,0,0.0%,17
White,16065,31.1%,735,44.1%,877,42.1%,261,61.6%,14010,29.9%,385,33.2%,105,40.9%,18
Black,1304,2.5%,94,5.6%,116,5.6%,21,5.0%,1058,2.3%,46,4.0%,9,3.5%,19
AI/AN,11149,21.6%,465,27.9%,532,25.5%,51,12.0%,9987,21.3%,314,27.0%,97,37.7%,20
Asian,2049,4.0%,80,4.8%,104,5.0%,19,4.5%,1822,3.9%,112,9.6%,27,10.5%,21
NHOPI,1412,2.7%,77,4.6%,139,6.7%,4,0.9%,1187,2.5%,119,10.2%,16,6.2%,22
Multiple,4040,7.8%,77,4.6%,94,4.5%,14,3.3%,3825,8.2%,67,5.8%,2,0.8%,23
Other,6441,12.5%,44,2.6%,56,2.7%,16,3.8%,6198,13.2%,47,4.0%,0,0.0%,24
UI Race,8729,16.9%,0,0.0%,0,0.0%,0,0.0%,8729,18.6%,62,5.3%,1,0.4%,25
Unknown Race,504,1.0%,94,5.6%,166,8.0%,38,9.0%,0,0.0%,9,0.8%,0,0.0%,26
