ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,1887,48.6%,299,48.4%,427,49.0%,116,53.7%,1026,47.9%,57.9%,63.0%,95,17,579,49.1%
2,Female,1994,51.4%,319,51.6%,444,51.0%,100,46.3%,1116,52.1%,42.1%,37.0%,69,10,601,50.9%
3,Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,186,4.8%,13,2.1%,55,6.3%,3,1.4%,115,5.4%,0.0%,0.0%,0,0,50,4.2%
5,10-19 Years,410,10.6%,47,7.6%,82,9.4%,23,10.6%,250,11.7%,0.6%,0.0%,1,0,114,9.7%
6,20-29 Years,947,24.4%,160,25.9%,223,25.6%,37,17.1%,518,24.2%,7.3%,0.0%,12,0,288,24.4%
7,30-39 Years,725,18.7%,126,20.4%,162,18.6%,44,20.4%,388,18.1%,9.8%,7.4%,16,2,240,20.3%
8,40-49 Years,538,13.9%,100,16.2%,104,11.9%,38,17.6%,288,13.4%,10.4%,3.7%,17,1,163,13.8%
9,50-59 Years,486,12.5%,76,12.3%,125,14.4%,30,13.9%,254,11.9%,17.1%,11.1%,28,3,157,13.3%
10,60-69 Years,365,9.4%,56,9.1%,75,8.6%,25,11.6%,207,9.7%,20.7%,14.8%,34,4,114,9.7%
11,70-79 Years,165,4.3%,31,5.0%,30,3.4%,15,6.9%,89,4.2%,24.4%,48.1%,40,13,44,3.7%
12,80+ Years,59,1.5%,9,1.5%,15,1.7%,1,0.5%,33,1.5%,9.8%,14.8%,16,4,10,0.8%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,203,5.2%,46,7.4%,81,9.3%,26,12.0%,48,2.2%,5.5%,0.0%,9,0,118,10.0%
15,Non-Hispanic,1517,39.1%,468,75.7%,585,67.2%,156,72.2%,294,13.7%,78.0%,100.0%,128,27,900,76.3%
16,UI Ethnicity,1800,46.4%,0,0.0%,0,0.0%,0,0.0%,1800,84.0%,11.6%,0.0%,19,0,14,1.2%
17,Unknown Ethnicity,361,9.3%,104,16.8%,205,23.5%,34,15.7%,0,0.0%,4.9%,0.0%,8,0,148,12.5%
18,White,1015,26.2%,284,46.0%,378,43.4%,148,68.5%,201,9.4%,34.1%,40.7%,56,11,606,51.4%
19,Black,120,3.1%,40,6.5%,34,3.9%,14,6.5%,30,1.4%,3.7%,0.0%,6,0,59,5.0%
20,AI/AN,520,13.4%,131,21.2%,146,16.8%,9,4.2%,226,10.6%,23.8%,37.0%,39,10,190,16.1%
21,Asian,105,2.7%,24,3.9%,47,5.4%,8,3.7%,25,1.2%,7.3%,7.4%,12,2,67,5.7%
22,NHOPI,166,4.3%,41,6.6%,58,6.7%,1,0.5%,66,3.1%,17.7%,14.8%,29,4,61,5.2%
23,Multiple,110,2.8%,26,4.2%,32,3.7%,8,3.7%,43,2.0%,0.6%,0.0%,1,0,50,4.2%
24,Other,92,2.4%,11,1.8%,23,2.6%,10,4.6%,47,2.2%,3.0%,0.0%,5,0,36,3.1%
25,UI Race,1504,38.8%,0,0.0%,0,0.0%,0,0.0%,1504,70.2%,7.3%,0.0%,12,0,12,1.0%
26,Unknown Race,249,6.4%,61,9.9%,153,17.6%,18,8.3%,0,0.0%,2.4%,0.0%,4,0,99,8.4%
