,"All People Tested
 (Positive and Negative)",,Cases,,Hospitalizations,,Deaths,
Sex,"N=215,413",,"N=19,266",,"N=2,314",,"N=1,015",
Female,117121,56%,10619,55%,1081,47%,533,53%
Male,92338,44%,8584,45%,1221,53%,482,47%
Other,12,<1%,24,<1%,<5,--,0,0%
Pending further information,5942,--,39,--,10,--,0,--
Age Group,,,,,,,,
0-9,6956,3%,578,3%,22,1%,0,0%
10-19,12276,6%,1159,6%,30,1%,<5,--
20-29,36943,17%,3208,17%,119,5%,<5,--
30-39,35718,17%,3131,16%,178,8%,7,1%
40-49,29674,14%,2889,15%,267,12%,16,2%
50-59,34832,16%,2892,15%,372,16%,46,5%
60-69,28505,13%,2071,11%,458,20%,104,10%
70-79,16216,8%,1339,7%,441,19%,244,24%
80-89,9316,4%,1199,6%,296,13%,324,32%
90-99,4558,2%,742,4%,119,5%,249,25%
100+,261,<1%,55,<1%,6,<1%,22,2%
Pending further information,158,--,<5,--,6,--,0,--
Race and Ethnicity,,,,,,,,
Hispanic/Latinx (any race),19129,26%,6981,45%,636,34%,92,11%
Black (non-Hispanic or ethnicity unknown),6659,9%,1858,12%,217,12%,52,6%
White (non-Hispanic or ethnicity unknown),41600,57%,5483,36%,866,46%,673,81%
Other race (non-Hispanic or ethnicity unknown),4961,7%,576,4%,65,3%,14,2%
Multiple races (non-Hispanic or ethnicity unknown),,,,,,,,
"Unknown, declined, or pending further information",142983,--,3866,--,439,--,184,--
Source: Rhode Island Department of Health,,,,,,,,
"Notes: Percentages for counts of less than five are not shown. Percentages do not include people with unknown or declined demographics or those that are pending further information. People tested for COVID-19, COVID-19 cases, and COVID-19 associated deaths exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents.",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Last updated:,8/12/2020,,,,,,,
