Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,3511,50.5%,462,52.1%,614,51.1%,139,50.4%,2264,50.0%,146,54.9%,27,60.0%,1,1189,49.2%
Female,3439,49.5%,425,47.9%,587,48.9%,137,49.6%,2263,50.0%,120,45.1%,18,40.0%,2,1226,50.8%
Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,345,5.0%,16,1.8%,75,6.2%,8,2.9%,245,5.4%,3,1.1%,0,0.0%,4,110,4.6%
10-19 Years,703,10.1%,73,8.2%,111,9.2%,39,14.1%,468,10.3%,1,0.4%,0,0.0%,5,277,11.5%
20-29 Years,1717,24.7%,234,26.4%,326,27.1%,51,18.5%,1092,24.1%,15,5.6%,0,0.0%,6,608,25.2%
30-39 Years,1332,19.2%,181,20.4%,226,18.8%,54,19.6%,859,19.0%,24,9.0%,2,4.4%,7,471,19.5%
40-49 Years,946,13.6%,141,15.9%,141,11.7%,42,15.2%,610,13.5%,37,13.9%,4,8.9%,8,320,13.3%
50-59 Years,899,12.9%,108,12.2%,163,13.6%,37,13.4%,590,13.0%,50,18.8%,4,8.9%,9,306,12.7%
60-69 Years,623,9.0%,88,9.9%,91,7.6%,28,10.1%,412,9.1%,49,18.4%,5,11.1%,10,211,8.7%
70-79 Years,274,3.9%,36,4.1%,41,3.4%,16,5.8%,180,4.0%,56,21.1%,17,37.8%,11,85,3.5%
80+ Years,111,1.6%,10,1.1%,27,2.2%,1,0.4%,71,1.6%,31,11.7%,13,28.9%,12,27,1.1%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,332,4.8%,69,7.8%,111,9.2%,26,9.4%,122,2.7%,13,4.9%,1,2.2%,14,176,7.3%
Non-Hispanic,2494,35.9%,647,72.9%,816,67.9%,191,69.2%,813,18.0%,195,73.3%,40,88.9%,15,1453,60.2%
UI Ethnicity,3592,51.7%,0,0.0%,0,0.0%,0,0.0%,3592,79.3%,41,15.4%,1,2.2%,16,494,20.5%
Unknown Ethnicity,532,7.7%,171,19.3%,274,22.8%,59,21.4%,0,0.0%,17,6.4%,3,6.7%,17,292,12.1%
White,1565,22.5%,365,41.1%,475,39.6%,174,63.0%,539,11.9%,75,28.2%,18,40.0%,18,923,38.2%
Black,232,3.3%,58,6.5%,75,6.2%,16,5.8%,79,1.7%,8,3.0%,1,2.2%,19,109,4.5%
AI/AN,1262,18.2%,210,23.7%,227,18.9%,16,5.8%,794,17.5%,81,30.5%,16,35.6%,20,370,15.3%
Asian,168,2.4%,32,3.6%,56,4.7%,9,3.3%,70,1.5%,15,5.6%,3,6.7%,21,93,3.9%
NHOPI,257,3.7%,57,6.4%,89,7.4%,2,0.7%,108,2.4%,43,16.2%,5,11.1%,22,133,5.5%
Multiple,266,3.8%,44,5.0%,47,3.9%,11,4.0%,162,3.6%,6,2.3%,0,0.0%,23,96,4.0%
Other,204,2.9%,19,2.1%,32,2.7%,11,4.0%,141,3.1%,7,2.6%,0,0.0%,24,63,2.6%
UI Race,2634,37.9%,0,0.0%,0,0.0%,0,0.0%,2634,58.2%,21,7.9%,1,2.2%,25,415,17.2%
Unknown Race,362,5.2%,102,11.5%,200,16.7%,37,13.4%,0,0.0%,10,3.8%,1,2.2%,26,213,8.8%
