,"All People Tested
 (Positive and Negative)",,Cases,,Hospitalizations,,Deaths,,All People At Least Partially Vaccinated,,All People Fully Vaccinated,,Total Vaccine Doses Administered,
Age Group,"N=860,243",,"N=142,528",,"N=10,459",,"N=2,711",,"N=595,865",,"N=508,966",,"N=106,3763",
0-4,30771,4%,3644,3%,89,1%,<5,--,0,0%,0,0%,0,0%
5-9,40104,5%,4700,3%,29,<1%,0,0%,<5,--,<5,--,5,<1%
10-14,41729,5%,5970,4%,40,<1%,<5,--,11430,2%,8,<1%,11437,1%
15-18,45435,5%,7820,5%,82,1%,0,0%,24425,4%,14305,3%,38263,4%
19-24,90407,11%,17881,13%,288,3%,<5,--,42389,7%,32881,6%,72108,7%
25-29,70804,8%,12702,9%,355,3%,5,<1%,34511,6%,28012,6%,59960,6%
30-39,127586,15%,22330,16%,696,7%,13,<1%,75163,13%,62515,12%,131846,12%
40-49,104009,12%,18712,13%,940,9%,35,1%,77474,13%,66310,13%,137379,13%
50-59,120489,14%,20418,14%,1558,15%,134,5%,105651,18%,93947,18%,187882,18%
60-69,100189,12%,14254,10%,2016,19%,331,12%,113875,19%,106199,21%,212183,20%
70-79,54028,6%,7231,5%,2065,20%,615,23%,71775,12%,68115,13%,137775,13%
80-89,23786,3%,4416,3%,1577,15%,847,31%,30064,5%,28292,6%,57739,5%
90+,9594,1%,2444,2%,717,7%,725,27%,9102,2%,8381,2%,17184,2%
Pending further information,1312,--,6,--,7,--,0,--,<5,--,0,--,<5,--
Race and Ethnicity,,,,,,,,,,,,,,
Hispanic or Latino†,66508,17%,36509,29%,2210,26%,223,10%,67873,12%,52137,11%,113997,11%
American Indian or Alaska Native*,5023,1%,413,<1%,30,<1%,<5,--,2035,<1%,1573,<1%,3483,<1%
Asian*,10921,3%,2862,2%,202,2%,49,2%,20528,4%,17122,4%,36354,4%
Black or African American*,22109,6%,9123,7%,729,9%,117,5%,24430,4%,19326,4%,41852,4%
Native Hawaiian or Other Pacific Islander*,585,<1%,0,0%,0,0%,0,0%,938,<1%,807,<1%,1694,<1%
White*,263596,66%,71344,57%,5116,60%,1945,83%,418787,75%,367252,77%,758359,76%
Other race*,23022,6%,2739,2%,220,3%,7,<1%,26040,5%,21563,4%,45722,5%
Multiple race*,7170,2%,1654,1%,56,1%,<5,--,--,--,--,--,--,--
Declined,12422,--,3049,--,115,--,0,--,0,--,0,--,0,--
Unknown or pending further information,448887,--,14835,--,1781,--,364,--,35234,--,29186,--,62302,--
Sex Assigned at Birth,,,,,,,,,,,,,,
Female,381680,54%,70265,53%,4755,51%,1392,51%,325018,55%,281167,55%,585400,55%
Male,326652,46%,62649,47%,4631,49%,1316,49%,270096,45%,227211,45%,477116,45%
Other,210,<1%,205,<1%,14,<1%,<5,--,0,0%,0,0%,0,0%
Pending further information,151701,--,9409,--,1059,--,<5,--,751,--,588,--,1247,--
"Lesbian, Gay, Bisexual, Transgender, Queer, or Other Gender or Sexual Minority (LGBTQ+)‡",,,,,,,,,,,,,,
Yes,--,--,3576,5%,123,3%,--,--,--,--,--,--,--,--
No,--,--,70900,95%,3812,97%,--,--,--,--,--,--,--,--
Unknown or pending,--,--,68052,--,6524,--,--,--,--,--,--,--,--,--
Gender Identity‡,,,,,,,,,,,,,,
Cisgender woman,--,--,46122,52%,5257,50%,--,--,--,--,--,--,--,--
Cisgender man,--,--,40841,46%,5182,50%,--,--,--,--,--,--,--,--
"Gender non-conforming, gender non-binary, or transgender",--,--,627,1%,0,0%,--,--,--,--,--,--,--,--
Other,--,--,283,<1%,<5,--,--,--,--,--,--,--,--,--
Declined,--,--,27862,--,0,--,--,--,--,--,--,--,--,--
Unknown or pending,--,--,26793,--,18,--,--,--,--,--,--,--,--,--
Sexual Orientation‡,,,,,,,,,,,,,,
Asexual,--,--,46,<1%,5,<1%,--,--,--,--,--,--,--,--
Bisexual,--,--,772,1%,13,<1%,--,--,--,--,--,--,--,--
Lesbian or gay,--,--,1308,2%,52,1%,--,--,--,--,--,--,--,--
Queer,--,--,157,<1%,<5,--,--,--,--,--,--,--,--,--
Straight,--,--,75458,96%,4068,98%,--,--,--,--,--,--,--,--
Other,--,--,708,1%,19,<1%,--,--,--,--,--,--,--,--
Declined,--,--,34016,--,2573,--,--,--,--,--,--,--,--,--
Unknown or pending,--,--,30063,--,3728,--,--,--,--,--,--,--,--,--
Source: Rhode Island Department of Health; Rhode Island Child and Adult Immunization Registry,,,,,,,,,,,,,,
"Notes: † Includes people who identify as any race. * Includes people who identify as non-Hispanic ethnicity or have unknown or declined ethnicity. Vaccination data for multiple race is not available at this time because many sites do not allow for selection of multiple races at the point of data collection. ‡Gender identity and sexual orientation data collection began on 6/1/20. Detailed gender identity and sexual orientation definitions are available at: https://pflag.org/glossary. Percentages for counts of less than five are not shown. Percentages do not include people with unknown or declined demographics or those that are pending further information. Testing data exclude asymptomatic K-12 and employer test results that are reported to RIDOH in aggregate form. People tested for COVID-19, COVID-19 cases, COVID-19 associated deaths, and all vaccine data exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Last Updated:,6/4/2021,,,,,,,,,,,,,
