Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,2858,50.3%,381,49.7%,512,49.1%,135,51.7%,1800,50.6%,131,56.5%,27,64.3%,1,1012,47.8%
Female,2819,49.6%,386,50.3%,530,50.9%,126,48.3%,1752,49.3%,101,43.5%,15,35.7%,2,1107,52.2%
Unknown Sex,2,0.0%,0,0.0%,0,0.0%,0,0.0%,2,0.1%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,266,4.7%,14,1.8%,66,6.3%,8,3.1%,177,5.0%,1,0.4%,0,0.0%,4,97,4.6%
10-19 Years,588,10.4%,55,7.2%,96,9.2%,37,14.2%,388,10.9%,1,0.4%,0,0.0%,5,232,10.9%
20-29 Years,1383,24.4%,195,25.4%,272,26.1%,49,18.8%,854,24.0%,14,6.0%,0,0.0%,6,547,25.8%
30-39 Years,1059,18.6%,158,20.6%,191,18.3%,50,19.2%,650,18.3%,20,8.6%,2,4.8%,7,416,19.6%
40-49 Years,782,13.8%,125,16.3%,121,11.6%,40,15.3%,485,13.6%,26,11.2%,2,4.8%,8,280,13.2%
50-59 Years,743,13.1%,96,12.5%,143,13.7%,35,13.4%,468,13.2%,43,18.5%,4,9.5%,9,264,12.5%
60-69 Years,524,9.2%,78,10.2%,87,8.3%,26,10.0%,329,9.3%,46,19.8%,5,11.9%,10,183,8.6%
70-79 Years,236,4.2%,36,4.7%,39,3.7%,15,5.7%,145,4.1%,51,22.0%,17,40.5%,11,77,3.6%
80+ Years,98,1.7%,10,1.3%,27,2.6%,1,0.4%,58,1.6%,30,12.9%,12,28.6%,12,23,1.1%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,277,4.9%,56,7.3%,95,9.1%,26,10.0%,97,2.7%,13,5.6%,1,2.4%,14,154,7.3%
Non-Hispanic,2048,36.1%,556,72.5%,686,65.8%,180,69.0%,604,17.0%,172,74.1%,39,92.9%,15,1213,57.2%
UI Ethnicity,2853,50.2%,0,0.0%,0,0.0%,0,0.0%,2853,80.3%,34,14.7%,1,2.4%,16,452,21.3%
Unknown Ethnicity,501,8.8%,155,20.2%,261,25.0%,55,21.1%,0,0.0%,13,5.6%,1,2.4%,17,300,14.2%
White,1286,22.6%,326,42.5%,422,40.5%,169,64.8%,361,10.2%,70,30.2%,18,42.9%,18,800,37.8%
Black,190,3.3%,46,6.0%,50,4.8%,15,5.7%,76,2.1%,7,3.0%,0,0.0%,19,91,4.3%
AI/AN,912,16.1%,174,22.7%,183,17.6%,12,4.6%,530,14.9%,61,26.3%,14,33.3%,20,297,14.0%
Asian,135,2.4%,28,3.7%,53,5.1%,8,3.1%,45,1.3%,12,5.2%,3,7.1%,21,84,4.0%
NHOPI,223,3.9%,50,6.5%,68,6.5%,2,0.8%,102,2.9%,42,18.1%,5,11.9%,22,107,5.0%
Multiple,181,3.2%,31,4.0%,38,3.6%,10,3.8%,100,2.8%,3,1.3%,0,0.0%,23,71,3.4%
Other,159,2.8%,15,2.0%,29,2.8%,10,3.8%,104,2.9%,7,3.0%,0,0.0%,24,56,2.6%
UI Race,2236,39.4%,0,0.0%,0,0.0%,0,0.0%,2236,62.9%,21,9.1%,1,2.4%,25,388,18.3%
Unknown Race,357,6.3%,97,12.6%,199,19.1%,35,13.4%,0,0.0%,9,3.9%,1,2.4%,26,225,10.6%
