Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,19276,51.6%,743,52.5%,936,51.1%,196,52.7%,17168,51.6%,457,55.0%,89,59.7%,1
Female,18044,48.3%,672,47.5%,896,48.9%,176,47.3%,16090,48.3%,374,45.0%,60,40.3%,2
Unknown Sex,22,0.1%,0,0.0%,0,0.0%,0,0.0%,22,0.1%,0,0.0%,0,0.0%,3
<10 Years,2243,6.0%,30,2.1%,121,6.6%,9,2.4%,2073,6.2%,8,1.0%,0,0.0%,4
10-19 Years,4421,11.8%,121,8.6%,210,11.5%,55,14.8%,3978,12.0%,7,0.8%,0,0.0%,5
20-29 Years,7681,20.6%,401,28.3%,475,25.9%,62,16.7%,6650,20.0%,43,5.2%,2,1.3%,6
30-39 Years,7139,19.1%,260,18.4%,327,17.8%,77,20.7%,6386,19.2%,73,8.8%,5,3.4%,7
40-49 Years,5334,14.3%,215,15.2%,232,12.7%,58,15.6%,4768,14.3%,79,9.5%,7,4.7%,8
50-59 Years,4824,12.9%,175,12.4%,239,13.0%,49,13.2%,4313,13.0%,136,16.4%,10,6.7%,9
60-69 Years,3476,9.3%,144,10.2%,134,7.3%,39,10.5%,3106,9.3%,185,22.3%,30,20.1%,10
70-79 Years,1570,4.2%,52,3.7%,61,3.3%,22,5.9%,1409,4.2%,178,21.4%,43,28.9%,11
80+ Years,654,1.8%,17,1.2%,33,1.8%,1,0.3%,597,1.8%,122,14.7%,52,34.9%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,1881,5.0%,112,7.9%,174,9.5%,39,10.5%,1542,4.6%,38,4.6%,4,2.7%,14
Non-Hispanic,17583,47.1%,1102,77.9%,1390,75.9%,286,76.9%,14706,44.2%,587,70.6%,121,81.2%,15
UI Ethnicity,17032,45.6%,0,0.0%,0,0.0%,0,0.0%,17032,51.2%,191,23.0%,21,14.1%,16
Unknown Ethnicity,846,2.3%,201,14.2%,268,14.6%,47,12.6%,0,0.0%,15,1.8%,3,2.0%,17
White,10866,29.1%,638,45.1%,781,42.6%,225,60.5%,9155,27.5%,257,30.9%,53,35.6%,18
Black,975,2.6%,91,6.4%,115,6.3%,21,5.6%,740,2.2%,33,4.0%,6,4.0%,19
AI/AN,7607,20.4%,348,24.6%,409,22.3%,43,11.6%,6743,20.3%,224,27.0%,55,36.9%,20
Asian,1391,3.7%,72,5.1%,95,5.2%,18,4.8%,1201,3.6%,65,7.8%,14,9.4%,21
NHOPI,1094,2.9%,73,5.2%,133,7.3%,4,1.1%,881,2.6%,93,11.2%,10,6.7%,22
Multiple,2713,7.3%,71,5.0%,90,4.9%,13,3.5%,2512,7.5%,57,6.9%,6,4.0%,23
Other,4582,12.3%,35,2.5%,49,2.7%,15,4.0%,4367,13.1%,36,4.3%,3,2.0%,24
UI Race,7681,20.6%,0,0.0%,0,0.0%,0,0.0%,7681,23.1%,59,7.1%,2,1.3%,25
Unknown Race,433,1.2%,87,6.1%,160,8.7%,33,8.9%,0,0.0%,7,0.8%,0,0.0%,26
