,"All People Tested
 (Positive and Negative)",,Cases,,Hospitalizations,,Deaths,
Age Group,"N=516,136",,"N=62,870",,"N=5,073",,"N=1,431",
0-4,13488,3%,1175,2%,41,1%,<5,--
5-9,17311,3%,1436,2%,13,<1%,0,0%
10-14,17560,3%,1965,3%,20,<1%,<5,--
15-18,25305,5%,2775,4%,34,1%,0,0%
19-24,61472,12%,7132,11%,131,3%,<5,--
25-29,45698,9%,5780,9%,158,3%,<5,--
30-39,80013,16%,10141,16%,337,7%,8,1%
40-49,63729,12%,8840,14%,496,10%,20,1%
50-59,75227,15%,9487,15%,761,15%,59,4%
60-69,61109,12%,6589,10%,994,20%,160,11%
70-79,32284,6%,3574,6%,1001,20%,319,22%
80-89,15211,3%,2450,4%,761,15%,470,33%
90+,6850,1%,1521,2%,325,6%,388,27%
Pending further information,879,--,5,--,<5,--,0,--
Race and Ethnicity,,,,,,,,
Hispanic or Latino†,38647,18%,18983,38%,1253,33%,134,11%
American Indian or Alaska Native*,4399,2%,144,<1%,8,<1%,<5,--
Asian*,5054,2%,987,2%,80,2%,16,1%
Black or African American*,13541,6%,4562,9%,422,11%,74,6%
Native Hawaiian or Other Pacific Islander*,452,<1%,0,0%,0,0%,0,0%
White*,133831,63%,24484,48%,1979,52%,983,81%
Other race*,15429,7%,881,2%,79,2%,0,0%
Multiple race*,141,<1%,475,1%,16,<1%,0,0%
Declined,3994,--,791,--,24,--,0,--
Unknown or pending further information,300648,--,11563,--,1212,--,223,--
Sex Assigned at Birth,,,,,,,,
Female,265006,55%,33232,54%,2438,48%,739,52%
Male,219262,45%,28734,46%,2604,52%,691,48%
Other,93,<1%,98,<1%,9,<1%,<5,--
Pending further information,31775,--,806,--,22,--,0,--
"Lesbian, Gay, Bisexual, Transgender, Queer, or Other Gender or Sexual Minority (LGBTQ+)‡",,,,,,,,
Yes,--,--,1097,4%,36,3%,--,--
No,--,--,25346,96%,1278,97%,--,--
Unknown or pending,--,--,36427,--,3759,--,--,--
Gender Identity‡,,,,,,,,
Cisgender woman,--,--,16593,54%,2466,49%,--,--
Cisgender man,--,--,13727,45%,2603,51%,--,--
"Gender non-conforming, gender non-binary, or transgender",--,--,175,1%,0,0%,--,--
Other,--,--,115,<1%,<5,--,--,--
Declined,--,--,6202,--,0,--,--,--
Unknown or pending,--,--,26058,--,<5,--,--,--
Sexual Orientation‡,,,,,,,,
Asexual,--,--,11,<1%,<5,--,--,--
Bisexual,--,--,214,1%,<5,--,--,--
Lesbian or gay,--,--,420,2%,14,1%,--,--
Queer,--,--,38,<1%,<5,--,--,--
Straight,--,--,26229,97%,1327,98%,--,--
Other,--,--,223,1%,9,1%,--,--
Declined,--,--,8211,--,422,--,--,--
Unknown or pending,--,--,27524,--,3297,--,--,--
Source: Rhode Island Department of Health,,,,,,,,
"Notes: † Includes people who identify as any race. * Includes people who identify as non-Hispanic ethnicity or have unknown or declined ethnicity. ‡Gender identity and sexual orientation data collection began on 6/1/20. Detailed gender identity and sexual orientation definitions are available at: https://pflag.org/glossary. Percentages for counts of less than five are not shown. Percentages do not include people with unknown or declined demographics or those that are pending further information. People tested for COVID-19, COVID-19 cases, and COVID-19 associated deaths exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents.",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Last Updated:,12/9/2020,,,,,,,
