Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,3461,50.6%,449,51.9%,577,50.3%,138,50.9%,2266,50.4%,145,55.3%,27,60.0%,1,1085,48.7%
Female,3375,49.4%,416,48.1%,570,49.7%,133,49.1%,2230,49.6%,117,44.7%,18,40.0%,2,1141,51.3%
Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,338,4.9%,15,1.7%,72,6.3%,8,3.0%,242,5.4%,2,0.8%,0,0.0%,4,104,4.7%
10-19 Years,697,10.2%,72,8.3%,108,9.4%,39,14.4%,466,10.4%,1,0.4%,0,0.0%,5,256,11.5%
20-29 Years,1692,24.8%,228,26.4%,312,27.2%,51,18.8%,1087,24.2%,15,5.7%,0,0.0%,6,575,25.8%
30-39 Years,1304,19.1%,174,20.1%,217,18.9%,53,19.6%,849,18.9%,24,9.2%,2,4.4%,7,439,19.7%
40-49 Years,928,13.6%,138,16.0%,133,11.6%,41,15.1%,605,13.5%,36,13.7%,4,8.9%,8,292,13.1%
50-59 Years,880,12.9%,107,12.4%,152,13.3%,36,13.3%,584,13.0%,50,19.1%,4,8.9%,9,275,12.4%
60-69 Years,617,9.0%,85,9.8%,87,7.6%,27,10.0%,414,9.2%,49,18.7%,5,11.1%,10,185,8.3%
70-79 Years,270,3.9%,36,4.2%,39,3.4%,15,5.5%,179,4.0%,54,20.6%,17,37.8%,11,77,3.5%
80+ Years,110,1.6%,10,1.2%,27,2.4%,1,0.4%,70,1.6%,31,11.8%,13,28.9%,12,23,1.0%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,317,4.6%,66,7.6%,106,9.2%,26,9.6%,116,2.6%,13,5.0%,1,2.2%,14,162,7.3%
Non-Hispanic,2333,34.1%,616,71.2%,761,66.3%,186,68.6%,746,16.6%,189,72.1%,40,88.9%,15,1297,58.3%
UI Ethnicity,3634,53.2%,0,0.0%,0,0.0%,0,0.0%,3634,80.8%,42,16.0%,1,2.2%,16,450,20.2%
Unknown Ethnicity,552,8.1%,183,21.2%,280,24.4%,59,21.8%,0,0.0%,18,6.9%,3,6.7%,17,317,14.2%
White,1477,21.6%,350,40.5%,452,39.4%,171,63.1%,494,11.0%,73,27.9%,18,40.0%,18,836,37.6%
Black,225,3.3%,56,6.5%,71,6.2%,15,5.5%,79,1.8%,8,3.1%,1,2.2%,19,103,4.6%
AI/AN,1205,17.6%,204,23.6%,201,17.5%,15,5.5%,772,17.2%,79,30.2%,16,35.6%,20,321,14.4%
Asian,157,2.3%,31,3.6%,56,4.9%,9,3.3%,60,1.3%,15,5.7%,3,6.7%,21,86,3.9%
NHOPI,257,3.8%,58,6.7%,89,7.8%,2,0.7%,107,2.4%,43,16.4%,5,11.1%,22,127,5.7%
Multiple,241,3.5%,40,4.6%,42,3.7%,10,3.7%,148,3.3%,5,1.9%,0,0.0%,23,79,3.5%
Other,202,3.0%,18,2.1%,30,2.6%,11,4.1%,142,3.2%,7,2.7%,0,0.0%,24,59,2.7%
UI Race,2694,39.4%,0,0.0%,0,0.0%,0,0.0%,2694,59.9%,22,8.4%,1,2.2%,25,384,17.3%
Unknown Race,378,5.5%,108,12.5%,206,18.0%,38,14.0%,0,0.0%,10,3.8%,1,2.2%,26,231,10.4%
