Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,16914,50.8%,741,52.4%,935,51.0%,196,52.7%,14863,50.7%,420,54.7%,80,62.0%,1
Female,16322,49.0%,672,47.6%,897,49.0%,176,47.3%,14414,49.1%,347,45.2%,49,38.0%,2
Unknown Sex,55,0.2%,0,0.0%,0,0.0%,0,0.0%,55,0.2%,1,0.1%,0,0.0%,3
<10 Years,1986,6.0%,30,2.1%,121,6.6%,9,2.4%,1818,6.2%,8,1.0%,0,0.0%,4
10-19 Years,3925,11.8%,121,8.6%,211,11.5%,55,14.8%,3494,11.9%,7,0.9%,0,0.0%,5
20-29 Years,6857,20.6%,400,28.3%,474,25.9%,62,16.7%,5849,19.9%,42,5.5%,2,1.6%,6
30-39 Years,6391,19.2%,260,18.4%,327,17.8%,77,20.7%,5656,19.3%,68,8.9%,5,3.9%,7
40-49 Years,4793,14.4%,214,15.1%,232,12.7%,58,15.6%,4237,14.4%,78,10.2%,7,5.4%,8
50-59 Years,4251,12.8%,175,12.4%,239,13.0%,49,13.2%,3758,12.8%,123,16.0%,8,6.2%,9
60-69 Years,3086,9.3%,144,10.2%,134,7.3%,39,10.5%,2728,9.3%,167,21.7%,23,17.8%,10
70-79 Years,1412,4.2%,52,3.7%,61,3.3%,22,5.9%,1259,4.3%,163,21.2%,40,31.0%,11
80+ Years,590,1.8%,17,1.2%,33,1.8%,1,0.3%,533,1.8%,112,14.6%,44,34.1%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,1622,4.9%,68,4.8%,101,5.5%,23,6.2%,1420,4.8%,23,3.0%,1,0.8%,14
Non-Hispanic,16493,49.5%,1108,78.4%,1393,76.0%,287,77.2%,13612,46.4%,549,71.5%,99,76.7%,15
UI Ethnicity,14300,43.0%,0,0.0%,0,0.0%,0,0.0%,14300,48.8%,178,23.2%,25,19.4%,16
Unknown Ethnicity,876,2.6%,237,16.8%,338,18.4%,62,16.7%,0,0.0%,18,2.3%,4,3.1%,17
White,10115,30.4%,637,45.1%,781,42.6%,225,60.5%,8415,28.7%,230,29.9%,41,31.8%,18
Black,922,2.8%,91,6.4%,115,6.3%,21,5.6%,687,2.3%,32,4.2%,6,4.7%,19
AI/AN,7004,21.0%,348,24.6%,409,22.3%,43,11.6%,6153,21.0%,214,27.9%,50,38.8%,20
Asian,1249,3.8%,72,5.1%,95,5.2%,18,4.8%,1059,3.6%,53,6.9%,9,7.0%,21
NHOPI,1037,3.1%,73,5.2%,133,7.3%,4,1.1%,824,2.8%,88,11.5%,9,7.0%,22
Multiple,2234,6.7%,71,5.0%,89,4.9%,13,3.5%,2037,6.9%,53,6.9%,3,2.3%,23
Other,3673,11.0%,34,2.4%,49,2.7%,15,4.0%,3503,11.9%,32,4.2%,3,2.3%,24
UI Race,6654,20.0%,0,0.0%,0,0.0%,0,0.0%,6654,22.7%,59,7.7%,8,6.2%,25
Unknown Race,403,1.2%,87,6.2%,161,8.8%,33,8.9%,0,0.0%,7,0.9%,0,0.0%,26
