Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,4238,50.4%,512,52.9%,660,50.8%,147,50.7%,2884,49.9%,163,54.3%,38,65.5%,1,2320,49.3%
Female,4167,49.6%,456,47.1%,638,49.2%,143,49.3%,2901,50.1%,137,45.7%,20,34.5%,2,2384,50.7%
Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,428,5.1%,17,1.8%,79,6.1%,8,2.8%,323,5.6%,3,1.0%,0,0.0%,4,240,5.1%
10-19 Years,865,10.3%,79,8.2%,130,10.0%,42,14.5%,601,10.4%,2,0.7%,0,0.0%,5,504,10.7%
20-29 Years,2072,24.7%,272,28.1%,351,27.0%,53,18.3%,1382,23.9%,17,5.7%,0,0.0%,6,1158,24.6%
30-39 Years,1593,19.0%,191,19.7%,241,18.6%,57,19.7%,1092,18.9%,26,8.7%,2,3.4%,7,935,19.9%
40-49 Years,1130,13.4%,149,15.4%,151,11.6%,46,15.9%,771,13.3%,41,13.7%,4,6.9%,8,616,13.1%
50-59 Years,1089,13.0%,115,11.9%,177,13.6%,37,12.8%,759,13.1%,54,18.0%,6,10.3%,9,598,12.7%
60-69 Years,758,9.0%,99,10.2%,95,7.3%,29,10.0%,531,9.2%,57,19.0%,11,19.0%,10,427,9.1%
70-79 Years,328,3.9%,36,3.7%,46,3.5%,17,5.9%,226,3.9%,64,21.3%,21,36.2%,11,168,3.6%
80+ Years,142,1.7%,10,1.0%,28,2.2%,1,0.3%,100,1.7%,36,12.0%,14,24.1%,12,58,1.2%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,674,8.0%,81,8.4%,131,10.1%,30,10.3%,425,7.3%,19,6.3%,1,1.7%,14,485,10.3%
Non-Hispanic,4839,57.6%,743,76.8%,963,74.2%,218,75.2%,2879,49.8%,238,79.3%,51,87.9%,15,3553,75.5%
UI Ethnicity,2481,29.5%,0,0.0%,0,0.0%,0,0.0%,2481,42.9%,28,9.3%,1,1.7%,16,417,8.9%
Unknown Ethnicity,411,4.9%,144,14.9%,204,15.7%,42,14.5%,0,0.0%,15,5.0%,5,8.6%,17,249,5.3%
White,2799,33.3%,412,42.6%,552,42.5%,187,64.5%,1629,28.2%,84,28.0%,23,39.7%,18,2086,44.3%
Black,371,4.4%,66,6.8%,94,7.2%,18,6.2%,189,3.3%,8,2.7%,2,3.4%,19,245,5.2%
AI/AN,1865,22.2%,250,25.8%,268,20.6%,21,7.2%,1309,22.6%,93,31.0%,21,36.2%,20,982,20.9%
Asian,379,4.5%,35,3.6%,63,4.9%,9,3.1%,270,4.7%,21,7.0%,4,6.9%,21,255,5.4%
NHOPI,437,5.2%,62,6.4%,100,7.7%,3,1.0%,271,4.7%,51,17.0%,7,12.1%,22,317,6.7%
Multiple,357,4.2%,51,5.3%,50,3.9%,10,3.4%,243,4.2%,11,3.7%,0,0.0%,23,222,4.7%
Other,297,3.5%,21,2.2%,37,2.9%,12,4.1%,226,3.9%,11,3.7%,0,0.0%,24,159,3.4%
UI Race,1648,19.6%,0,0.0%,0,0.0%,0,0.0%,1648,28.5%,13,4.3%,0,0.0%,25,274,5.8%
Unknown Race,252,3.0%,71,7.3%,134,10.3%,30,10.3%,0,0.0%,8,2.7%,1,1.7%,26,164,3.5%
